,,
,,
Latitude,Longitude,thickness (m)
71.5017570,-156.4750935,3.278
71.5017833,-156.4751401,3.414
71.5018097,-156.4751866,3.408
71.5018360,-156.4752331,3.279
71.5018624,-156.4752796,3.159
71.5018887,-156.4753261,3.121
71.5019150,-156.4753727,3.125
71.5019413,-156.4754192,3.133
71.5019677,-156.4754657,3.145
71.5019940,-156.4755122,3.109
71.5020203,-156.4755587,2.960
71.5020465,-156.4756052,2.739
71.5020728,-156.4756518,2.525
71.5020991,-156.4756983,2.343
71.5021254,-156.4757448,2.186
71.5021516,-156.4757913,2.035
71.5021779,-156.4758378,1.893
71.5022041,-156.4758843,1.821
71.5022303,-156.4759308,1.828
71.5022566,-156.4759773,1.802
71.5022828,-156.4760239,1.686
71.5023090,-156.4760704,1.567
71.5023352,-156.4761169,1.528
71.5023614,-156.4761634,1.516
71.5023876,-156.4762099,1.455
71.5024138,-156.4762564,1.371
71.5024400,-156.4763029,1.332
71.5024661,-156.4763494,1.332
71.5024923,-156.4763959,1.338
71.5025184,-156.4764424,1.368
71.5025446,-156.4764889,1.456
71.5025707,-156.4765354,1.574
71.5025969,-156.4765819,1.635
71.5026230,-156.4766284,1.593
71.5026491,-156.4766749,1.517
71.5026752,-156.4767214,1.462
71.5027013,-156.4767679,1.371
71.5027274,-156.4768144,1.216
71.5027535,-156.4768609,1.061
71.5027796,-156.4769074,0.942
71.5028056,-156.4769539,0.844
71.5028317,-156.4770004,0.745
71.5028577,-156.4770469,0.630
71.5028838,-156.4770934,0.516
71.5029098,-156.4771399,0.427
71.5029359,-156.4771864,0.378
71.5029619,-156.4772329,0.382
71.5029879,-156.4772794,0.437
71.5030139,-156.4773259,0.511
71.5030399,-156.4773724,0.581
71.5030659,-156.4774189,0.673
71.5030919,-156.4774654,0.819
71.5031179,-156.4775119,1.000
71.5031438,-156.4775583,1.178
71.5031698,-156.4776048,1.323
71.5031957,-156.4776513,1.436
71.5032217,-156.4776978,1.531
71.5032476,-156.4777443,1.587
71.5032736,-156.4777908,1.580
71.5032995,-156.4778372,1.545
71.5033254,-156.4778837,1.538
71.5033513,-156.4779302,1.573
71.5033772,-156.4779767,1.614
71.5034031,-156.4780232,1.608
71.5034290,-156.4780697,1.545
71.5034549,-156.4781161,1.467
71.5034808,-156.4781626,1.411
71.5035066,-156.4782091,1.396
71.5035325,-156.4782556,1.446
71.5035583,-156.4783020,1.538
71.5035842,-156.4783485,1.595
71.5036100,-156.4783950,1.566
71.5036358,-156.4784415,1.488
71.5036616,-156.4784879,1.441
71.5036875,-156.4785344,1.460
71.5037133,-156.4785809,1.500
71.5037391,-156.4786273,1.495
71.5037648,-156.4786738,1.443
71.5037906,-156.4787203,1.403
71.5038164,-156.4787667,1.412
71.5038422,-156.4788132,1.445
71.5038679,-156.4788597,1.456
71.5038937,-156.4789061,1.429
71.5039194,-156.4789526,1.373
71.5039451,-156.4789990,1.301
71.5039709,-156.4790455,1.239
71.5039966,-156.4790920,1.196
71.5040223,-156.4791384,1.152
71.5040480,-156.4791849,1.117
71.5040737,-156.4792313,1.149
71.5040994,-156.4792778,1.255
71.5041251,-156.4793242,1.356
71.5041507,-156.4793707,1.381
71.5041764,-156.4794171,1.339
71.5042021,-156.4794636,1.295
71.5042277,-156.4795100,1.286
71.5042533,-156.4795565,1.291
71.5042790,-156.4796029,1.277
71.5043046,-156.4796494,1.243
71.5043302,-156.4796958,1.196
71.5043558,-156.4797423,1.134
71.5043814,-156.4797887,1.076
71.5044070,-156.4798352,1.043
71.5044326,-156.4798816,1.025
71.5044582,-156.4799280,1.010
71.5044838,-156.4799745,1.007
71.5045093,-156.4800209,1.015
71.5045349,-156.4800674,1.022
71.5045604,-156.4801138,1.022
71.5045860,-156.4801602,1.011
71.5046115,-156.4802067,0.988
71.5046370,-156.4802531,0.973
