 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             AC33
 Log Date:         74JUL25 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99    7.777
      9.14   999.99    7.794
     12.19   999.99    7.800
     15.24   999.99    7.811
     18.29   999.99    7.836
     21.34   999.99    7.856
     24.38   999.99    7.857
     27.43   999.99    7.862
     30.48   999.99    7.872
     33.53   999.99    7.876
     36.58   999.99    7.892
     39.62   999.99    7.905
     42.67   999.99    7.918
     45.72   999.99    7.932
     48.77   999.99    7.944
     51.82   999.99    7.959
     54.86   999.99    7.975
     57.91   999.99    7.992
     60.96   999.99    8.010
     64.01   999.99    8.041
     67.06   999.99    8.053
     70.10   999.99    8.064
     73.15   999.99    8.078
     76.20   999.99    8.091
     79.25   999.99    8.103
     82.30   999.99    8.115
     85.34   999.99    8.125
     88.39   999.99    8.137
     91.44   999.99    8.150
     94.49   999.99    8.161
     97.54   999.99    8.172
    100.58   999.99    8.185
    103.63   999.99    8.196
    106.68   999.99    8.205
    109.73   999.99    8.214
    112.78   999.99    8.230
    115.82   999.99    8.238
    118.87   999.99    8.289
    121.92   999.99    8.295
    124.97   999.99    8.615
    128.02   999.99    8.678
    131.06   999.99    8.705
    134.11   999.99    8.721
    137.16   999.99    8.734
    140.21   999.99    8.738
    143.26   999.99    8.777
    146.30   999.99    8.814
    149.35   999.99    8.827
    152.40   999.99    8.842
    155.45   999.99    8.848
    158.50   999.99    8.858
    161.54   999.99    8.879
    164.59   999.99    8.888
    167.64   999.99    8.896
    170.69   999.99    8.910
    173.74   999.99    8.930
    176.78   999.99    8.970
    179.83   999.99    9.080
    182.88   999.99    9.088
    185.93   999.99    9.100
    188.98   999.99    9.111
    192.02   999.99    9.164
    195.07   999.99    9.815
    198.12   999.99    9.831
    201.17   999.99    9.857
    204.22   999.99    9.883
    207.26   999.99    9.938
    210.31   999.99    9.968
    213.36   999.99   10.216
    216.41   999.99   10.235
    219.46   999.99   10.245
    222.50   999.99   10.255
    225.55   999.99   10.264
    228.60   999.99   10.288
    231.65   999.99   10.292
    234.70   999.99   10.309
    237.74   999.99   10.326
    240.79   999.99   10.344
    243.84   999.99   10.358
    246.89   999.99   10.364
    249.94   999.99   10.376
    252.98   999.99   10.398
    256.03   999.99   10.404
    259.08   999.99   10.420
    262.13   999.99   10.428
    265.18   999.99   10.444
    268.22   999.99   10.453
    271.27   999.99   10.455
    274.32   999.99   10.468
    277.37   999.99   10.475
    280.42   999.99   10.487
    283.46   999.99   10.499
    286.51   999.99   10.497
    289.56   999.99   10.510
    292.61   999.99   10.520
    295.66   999.99   10.530
    298.70   999.99   10.535
    301.75   999.99   10.544
    304.80   999.99   10.551
    307.85   999.99   10.558
    310.90   999.99   10.562
    313.94   999.99   10.566
    316.99   999.99   10.577
    320.04   999.99   10.583
    323.09   999.99   10.589
    326.14   999.99   10.597
    329.18   999.99   10.582
    332.23   999.99   10.629
    335.28   999.99   10.636
    338.33   999.99   10.643
    341.38   999.99   10.623
    344.42   999.99   10.655
    347.47   999.99   10.632
    350.52   999.99   10.644
    353.57   999.99   10.658
    356.62   999.99   10.644
    359.66   999.99   10.646
    362.71   999.99   10.616
    365.76   999.99   10.594
    368.81   999.99   10.628
    371.86   999.99   10.678
    374.90   999.99   10.763
    377.95   999.99   10.797
    381.00   999.99   10.812
    384.05   999.99   10.941
    387.10   999.99   10.983
    390.14   999.99   11.091
    392.28   999.99   11.118
