 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ATI 
 Log Date:         84AUG08a
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      4.88   999.99   -1.746
      5.18   999.99   -1.835
      5.49   999.99   -1.952
      5.79   999.99   -2.212
      6.10   999.99   -2.478
      6.40   999.99   -2.597
      6.71   999.99   -2.772
      7.01   999.99   -2.953
      7.32   999.99   -3.064
      7.62   999.99   -3.194
      7.92   999.99   -3.309
      8.23   999.99   -3.452
      8.53   999.99   -3.585
      8.84   999.99   -3.728
      9.14   999.99   -3.909
      9.45   999.99   -4.070
      9.75   999.99   -4.199
     10.06   999.99   -4.348
     10.36   999.99   -5.434
     10.67   999.99   -6.290
     10.97   999.99   -7.311
     11.28   999.99   -8.161
     11.58   999.99   -8.628
     11.89   999.99   -9.191
     12.19   999.99   -9.599
     12.50   999.99   -9.747
     12.80   999.99   -9.897
     13.11   999.99  -10.007
     13.41   999.99  -10.049
     13.72   999.99  -10.078
     14.02   999.99  -10.093
     14.33   999.99  -10.098
     14.63   999.99  -10.095
     14.94   999.99  -10.085
     15.24   999.99  -10.075
     15.54   999.99  -10.063
     15.85   999.99  -10.052
     16.15   999.99  -10.042
     16.46   999.99  -10.022
     16.76   999.99  -10.004
     17.07   999.99   -9.986
     17.37   999.99   -9.976
     17.68   999.99   -9.964
     17.98   999.99   -9.953
     18.29   999.99   -9.944
     18.59   999.99   -9.933
     18.90   999.99   -9.922
     19.20   999.99   -9.909
     19.51   999.99   -9.901
     19.81   999.99   -9.888
     20.12   999.99   -9.868
     20.42   999.99   -9.857
     20.73   999.99   -9.847
     21.03   999.99   -9.834
     21.34   999.99   -9.828
     21.64   999.99   -9.818
     21.95   999.99   -9.804
     22.25   999.99   -9.797
     22.56   999.99   -9.784
     22.86   999.99   -9.772
     23.16   999.99   -9.766
     23.47   999.99   -9.753
     23.77   999.99   -9.745
     24.08   999.99   -9.738
     24.38   999.99   -9.726
     24.69   999.99   -9.719
     24.99   999.99   -9.714
     25.30   999.99   -9.702
     25.60   999.99   -9.693
     25.91   999.99   -9.688
     26.21   999.99   -9.682
     26.52   999.99   -9.678
     26.82   999.99   -9.673
     27.13   999.99   -9.667
     27.43   999.99   -9.664
     27.74   999.99   -9.657
     28.04   999.99   -9.650
     28.35   999.99   -9.646
     28.65   999.99   -9.640
     28.96   999.99   -9.633
     29.26   999.99   -9.631
     29.57   999.99   -9.625
     29.87   999.99   -9.621
     30.18   999.99   -9.616
     30.48   999.99   -9.610
     30.78   999.99   -9.587
     31.09   999.99   -9.587
     31.39   999.99   -9.586
     31.70   999.99   -9.585
     32.00   999.99   -9.582
     32.31   999.99   -9.579
     32.61   999.99   -9.578
     32.92   999.99   -9.575
     33.22   999.99   -9.573
     33.53   999.99   -9.570
     33.83   999.99   -9.567
     34.14   999.99   -9.565
     34.44   999.99   -9.562
     34.75   999.99   -9.556
     35.05   999.99   -9.553
     35.36   999.99   -9.550
     35.66   999.99   -9.548
     35.97   999.99   -9.547
     36.27   999.99   -9.544
     36.58   999.99   -9.540
     36.88   999.99   -9.538
     37.19   999.99   -9.535
     37.49   999.99   -9.530
     37.80   999.99   -9.529
     38.10   999.99   -9.525
     38.40   999.99   -9.521
     38.71   999.99   -9.520
     39.01   999.99   -9.518
     39.32   999.99   -9.517
     39.62   999.99   -9.515
     39.93   999.99   -9.512
     40.23   999.99   -9.509
     40.54   999.99   -9.506
     40.84   999.99   -9.504
     41.15   999.99   -9.501
     41.45   999.99   -9.497
     41.76   999.99   -9.494
     42.06   999.99   -9.492
     42.37   999.99   -9.489
     42.67   999.99   -9.488
     42.98   999.99   -9.486
     43.28   999.99   -9.482
     43.59   999.99   -9.479
     43.89   999.99   -9.476
     44.20   999.99   -9.472
     44.50   999.99   -9.470
     44.81   999.99   -9.468
     45.11   999.99   -9.466
     45.42   999.99   -9.464
     45.72   999.99   -9.462
     46.02   999.99   -9.460
     46.33   999.99   -9.457
     46.63   999.99   -9.452
     46.94   999.99   -9.451
     47.24   999.99   -9.447
     47.55   999.99   -9.444
     47.85   999.99   -9.442
     48.16   999.99   -9.439
     48.46   999.99   -9.435
     48.77   999.99   -9.432
     49.07   999.99   -9.428
     49.38   999.99   -9.424
     49.68   999.99   -9.421
     49.99   999.99   -9.418
     50.29   999.99   -9.415
     50.60   999.99   -9.412
     50.90   999.99   -9.408
     51.21   999.99   -9.402
     51.51   999.99   -9.399
     51.82   999.99   -9.394
     52.12   999.99   -9.392
     52.43   999.99   -9.390
     52.73   999.99   -9.386
     53.04   999.99   -9.383
     53.34   999.99   -9.379
     53.64   999.99   -9.374
     53.95   999.99   -9.371
     54.25   999.99   -9.365
     54.56   999.99   -9.360
     54.86   999.99   -9.358
     55.17   999.99   -9.354
     55.47   999.99   -9.351
     55.78   999.99   -9.347
     56.08   999.99   -9.341
     56.39   999.99   -9.334
     56.69   999.99   -9.331
     57.00   999.99   -9.324
     57.30   999.99   -9.320
     57.61   999.99   -9.316
     57.91   999.99   -9.311
     58.22   999.99   -9.308
     58.52   999.99   -9.304
     58.83   999.99   -9.297
     59.13   999.99   -9.294
     59.44   999.99   -9.290
     59.74   999.99   -9.286
     60.05   999.99   -9.284
     60.35   999.99   -9.279
     60.66   999.99   -9.273
     60.96   999.99   -9.270
     61.26   999.99   -9.265
     61.57   999.99   -9.259
     61.87   999.99   -9.256
     62.18   999.99   -9.250
     62.48   999.99   -9.244
     62.79   999.99   -9.239
     63.09   999.99   -9.232
     63.40   999.99   -9.226
     63.70   999.99   -9.221
     64.01   999.99   -9.215
     64.31   999.99   -9.211
     64.62   999.99   -9.207
     64.92   999.99   -9.201
     65.23   999.99   -9.197
     65.53   999.99   -9.193
     65.84   999.99   -9.186
     66.14   999.99   -9.183
     66.45   999.99   -9.177
     66.75   999.99   -9.173
     67.06   999.99   -9.169
     67.36   999.99   -9.160
     67.67   999.99   -9.155
     67.97   999.99   -9.150
     68.28   999.99   -9.142
     68.58   999.99   -9.136
     68.88   999.99   -9.128
     69.19   999.99   -9.118
     69.49   999.99   -9.113
     69.80   999.99   -9.106
     70.10   999.99   -9.100
     70.41   999.99   -9.097
     70.71   999.99   -9.090
     71.02   999.99   -9.078
     71.32   999.99   -9.071
     71.63   999.99   -9.064
     71.93   999.99   -9.056
     72.24   999.99   -9.049
     72.54   999.99   -9.041
     72.85   999.99   -9.037
     73.15   999.99   -9.031
     73.46   999.99   -9.019
     73.76   999.99   -9.014
     74.07   999.99   -9.007
     74.37   999.99   -9.001
     74.68   999.99   -8.997
     74.98   999.99   -8.991
     75.29   999.99   -8.988
     75.59   999.99   -8.984
     75.90   999.99   -8.977
     76.20   999.99   -8.973
     76.50   999.99   -8.968
     76.81   999.99   -8.960
     77.11   999.99   -8.957
     77.42   999.99   -8.951
     77.72   999.99   -8.945
     78.03   999.99   -8.942
     78.33   999.99   -8.935
     78.64   999.99   -8.932
     78.94   999.99   -8.927
     79.25   999.99   -8.915
     79.55   999.99   -8.910
     79.86   999.99   -8.902
     80.16   999.99   -8.897
     80.47   999.99   -8.891
     80.77   999.99   -8.884
     81.08   999.99   -8.879
     81.38   999.99   -8.873
     81.69   999.99   -8.862
     81.99   999.99   -8.858
     82.30   999.99   -8.852
     82.60   999.99   -8.843
     82.91   999.99   -8.837
     83.21   999.99   -8.833
     83.52   999.99   -8.827
     83.82   999.99   -8.819
     84.12   999.99   -8.812
     84.43   999.99   -8.807
     84.73   999.99   -8.801
     85.04   999.99   -8.793
     85.34   999.99   -8.790
     85.65   999.99   -8.785
     85.95   999.99   -8.779
     86.26   999.99   -8.774
     86.56   999.99   -8.767
     86.87   999.99   -8.760
     87.17   999.99   -8.753
     87.48   999.99   -8.745
     87.78   999.99   -8.740
     88.09   999.99   -8.737
     88.39   999.99   -8.730
     88.70   999.99   -8.727
     89.00   999.99   -8.722
     89.31   999.99   -8.718
     89.61   999.99   -8.713
     89.92   999.99   -8.704
     90.22   999.99   -8.699
     90.53   999.99   -8.694
     90.83   999.99   -8.688
     91.14   999.99   -8.681
     91.44   999.99   -8.674
     91.74   999.99   -8.643
     92.05   999.99   -8.641
     92.35   999.99   -8.638
     92.66   999.99   -8.633
     92.96   999.99   -8.630
     93.27   999.99   -8.626
     93.57   999.99   -8.623
     93.88   999.99   -8.618
     94.18   999.99   -8.611
     94.49   999.99   -8.605
     94.79   999.99   -8.601
     95.10   999.99   -8.590
     95.40   999.99   -8.585
     95.71   999.99   -8.579
     96.01   999.99   -8.569
     96.32   999.99   -8.565
     96.62   999.99   -8.560
     96.93   999.99   -8.553
     97.23   999.99   -8.550
     97.54   999.99   -8.545
     97.84   999.99   -8.539
     98.15   999.99   -8.535
     98.45   999.99   -8.530
     98.76   999.99   -8.525
     99.06   999.99   -8.521
     99.36   999.99   -8.516
     99.67   999.99   -8.510
     99.97   999.99   -8.503
    100.28   999.99   -8.496
    100.58   999.99   -8.490
    100.89   999.99   -8.482
    101.19   999.99   -8.474
    101.50   999.99   -8.470
    101.80   999.99   -8.463
    102.11   999.99   -8.454
    102.41   999.99   -8.448
    102.72   999.99   -8.441
    103.02   999.99   -8.438
    103.33   999.99   -8.434
    103.63   999.99   -8.428
    103.94   999.99   -8.424
    104.24   999.99   -8.418
    104.55   999.99   -8.412
    104.85   999.99   -8.405
    105.16   999.99   -8.394
    105.46   999.99   -8.388
    105.77   999.99   -8.381
    106.07   999.99   -8.372
    106.38   999.99   -8.367
    106.68   999.99   -8.361
    106.99   999.99   -8.355
    107.29   999.99   -8.352
    107.59   999.99   -8.348
    107.90   999.99   -8.340
    108.20   999.99   -8.335
    108.51   999.99   -8.325
    108.81   999.99   -8.318
    109.12   999.99   -8.313
    109.42   999.99   -8.306
    109.73   999.99   -8.301
    110.03   999.99   -8.298
    110.34   999.99   -8.287
    110.64   999.99   -8.282
    110.95   999.99   -8.276
    111.25   999.99   -8.270
    111.56   999.99   -8.266
    111.86   999.99   -8.261
    112.17   999.99   -8.255
    112.47   999.99   -8.249
    112.78   999.99   -8.242
    113.08   999.99   -8.238
    113.39   999.99   -8.233
    113.69   999.99   -8.223
    114.00   999.99   -8.216
    114.30   999.99   -8.206
    114.61   999.99   -8.200
    114.91   999.99   -8.194
    115.21   999.99   -8.184
    115.52   999.99   -8.179
    115.82   999.99   -8.172
    116.13   999.99   -8.166
    116.43   999.99   -8.164
    116.74   999.99   -8.156
    117.04   999.99   -8.149
    117.35   999.99   -8.145
    117.65   999.99   -8.140
    117.96   999.99   -8.136
    118.26   999.99   -8.132
    118.57   999.99   -8.124
    118.87   999.99   -8.119
    119.18   999.99   -8.110
    119.48   999.99   -8.104
    119.79   999.99   -8.098
    120.09   999.99   -8.089
    120.40   999.99   -8.083
    120.70   999.99   -8.079
    121.01   999.99   -8.073
    121.31   999.99   -8.069
    121.62   999.99   -8.061
    121.92   999.99   -8.055
    122.22   999.99   -8.050
    122.53   999.99   -8.041
    122.83   999.99   -8.038
    123.14   999.99   -8.033
    123.44   999.99   -8.029
    123.75   999.99   -8.022
    124.05   999.99   -8.013
    124.36   999.99   -8.007
    124.66   999.99   -8.000
    124.97   999.99   -7.986
    125.27   999.99   -7.980
    125.58   999.99   -7.973
    125.88   999.99   -7.964
    126.19   999.99   -7.958
    126.49   999.99   -7.951
    126.80   999.99   -7.947
    127.10   999.99   -7.942
    127.41   999.99   -7.935
    127.71   999.99   -7.930
    128.02   999.99   -7.923
    128.32   999.99   -7.914
    128.63   999.99   -7.908
    128.93   999.99   -7.900
    129.24   999.99   -7.893
    129.54   999.99   -7.888
    129.85   999.99   -7.881
    130.15   999.99   -7.875
    130.45   999.99   -7.868
    130.76   999.99   -7.861
    131.06   999.99   -7.857
    131.37   999.99   -7.851
    131.67   999.99   -7.846
    131.98   999.99   -7.841
    132.28   999.99   -7.834
    132.59   999.99   -7.828
    132.89   999.99   -7.825
    133.20   999.99   -7.815
    133.50   999.99   -7.808
    133.81   999.99   -7.802
