 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ATI 
 Log Date:         84AUG08b
 Type of Log:      incremental  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
    400.81   999.99     .063
    402.34   999.99     .127
    403.86   999.99     .202
    405.38   999.99     .257
    406.91   999.99     .331
    408.43   999.99     .406
    409.96   999.99     .465
    411.48   999.99     .542
    413.00   999.99     .611
    414.53   999.99     .688
    416.05   999.99     .753
    417.58   999.99     .808
    419.10   999.99     .893
    420.62   999.99     .987
    422.15   999.99    1.048
    423.67   999.99    1.107
    425.20   999.99    1.171
    426.72   999.99    1.240
    428.24   999.99    1.317
    429.77   999.99    1.391
    431.29   999.99    1.472
    432.82   999.99    1.556
    434.34   999.99    1.638
    435.86   999.99    1.702
    437.39   999.99    1.782
    438.91   999.99    1.866
    440.44   999.99    1.944
    441.96   999.99    2.026
    443.48   999.99    2.101
    445.01   999.99    2.173
    446.53   999.99    2.255
    448.06   999.99    2.331
    449.58   999.99    2.402
    451.10   999.99    2.484
    452.63   999.99    2.566
    454.15   999.99    2.626
    455.68   999.99    2.701
    457.20   999.99    2.799
    458.72   999.99    2.888
    460.25   999.99    2.941
    461.77   999.99    3.013
    463.30   999.99    3.103
    464.82   999.99    3.185
    466.34   999.99    3.259
    467.87   999.99    3.342
    469.39   999.99    3.426
    470.92   999.99    3.505
    472.44   999.99    3.579
    473.96   999.99    3.676
    475.49   999.99    3.751
    477.01   999.99    3.849
    478.54   999.99    3.931
    480.06   999.99    4.021
    481.58   999.99    4.105
    483.11   999.99    4.187
    484.63   999.99    4.264
    486.16   999.99    4.336
    487.68   999.99    4.429
    489.20   999.99    4.508
    490.73   999.99    4.605
    492.25   999.99    4.704
    493.78   999.99    4.786
    495.30   999.99    4.877
    496.83   999.99    4.954
    498.35   999.99    5.043
    499.87   999.99    5.130
    501.40   999.99    5.210
    502.92   999.99    5.283
    504.45   999.99    5.400
    505.97   999.99    5.478
    507.49   999.99    5.558
    509.02   999.99    5.644
    510.54   999.99    5.743
    512.07   999.99    5.823
    513.59   999.99    5.909
    515.11   999.99    5.999
    516.64   999.99    6.081
    518.16   999.99    6.170
    519.69   999.99    6.247
    521.21   999.99    6.323
    522.73   999.99    6.415
    524.26   999.99    6.507
    525.78   999.99    6.599
    527.31   999.99    6.683
    528.83   999.99    6.754
    530.35   999.99    6.843
    531.88   999.99    6.906
    533.40   999.99    6.994
    534.92   999.99    7.098
    536.45   999.99    7.178
    537.97   999.99    7.248
    539.50   999.99    7.330
    541.02   999.99    7.413
    542.55   999.99    7.496
    544.07   999.99    7.582
    545.59   999.99    7.651
    547.12   999.99    7.743
    548.64   999.99    7.810
    550.17   999.99    7.896
    551.69   999.99    7.974
    553.21   999.99    8.063
    554.74   999.99    8.138
    556.26   999.99    8.214
    557.79   999.99    8.290
    559.31   999.99    8.366
    560.83   999.99    8.441
    562.36   999.99    8.520
    563.88   999.99    8.577
    565.41   999.99    8.662
    566.93   999.99    8.727
    568.45   999.99    8.802
    569.98   999.99    8.886
    571.50   999.99    8.958
    573.03   999.99    9.032
    574.55   999.99    9.109
    576.07   999.99    9.188
    577.60   999.99    9.265
    579.12   999.99    9.333
    580.65   999.99    9.397
    582.17   999.99    9.484
    583.69   999.99    9.547
    585.22   999.99    9.627
    588.27   999.99    9.769
    589.79   999.99    9.831
    591.31   999.99    9.912
    592.84   999.99    9.972
    594.36   999.99   10.033
    595.89   999.99   10.106
    597.41   999.99   10.186
    598.93   999.99   10.254
    600.46   999.99   10.319
    601.98   999.99   10.373
    603.51   999.99   10.437
    605.03   999.99   10.514
    606.55   999.99   10.590
    608.08   999.99   10.648
    609.60   999.99   10.691
    611.13   999.99   10.757
    612.65   999.99   10.810
    614.17   999.99   10.865
    615.70   999.99   10.911
    617.22   999.99   10.952
    618.75   999.99   10.999
    620.27   999.99   11.264
    621.79   999.99   11.444
    623.32   999.99   11.471
    624.84   999.99   11.497
    626.37   999.99   11.530
    627.89   999.99   11.557
    629.41   999.99   11.628
    630.94   999.99   11.832
    632.46   999.99   11.859
    633.99   999.99   11.881
    635.51   999.99   11.926
    637.03   999.99   11.943
    638.56   999.99   11.980
    640.08   999.99   12.008
    641.61   999.99   12.032
    643.13   999.99   12.119
    644.65   999.99   12.322
    646.18   999.99   12.434
    647.70   999.99   12.523
    649.23   999.99   12.598
    650.75   999.99   12.673
    652.27   999.99   12.710
