 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ATI 
 Log Date:         78SEP16 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -8.894
      9.14   999.99   -8.925
     12.19   999.99   -8.923
     15.24   999.99   -8.952
     18.29   999.99   -9.024
     21.34   999.99   -9.080
     24.38   999.99   -9.069
     27.43   999.99   -9.045
     30.48   999.99   -9.025
     33.53   999.99   -9.025
     36.58   999.99   -9.028
     39.62   999.99   -9.027
     42.67   999.99   -9.009
     45.72   999.99   -8.985
     48.77   999.99   -8.937
     51.82   999.99   -8.893
     54.86   999.99   -8.837
     57.91   999.99   -8.761
     60.96   999.99   -8.703
     64.01   999.99   -8.652
     67.06   999.99   -8.587
     70.10   999.99   -8.537
     73.15   999.99   -8.486
     76.20   999.99   -8.425
     79.25   999.99   -8.391
     82.30   999.99   -8.339
     85.34   999.99   -8.289
     88.39   999.99   -8.231
     91.44   999.99   -8.181
     94.49   999.99   -8.135
     97.54   999.99   -8.078
    100.58   999.99   -8.016
    103.63   999.99   -7.963
    106.68   999.99   -7.902
    109.73   999.99   -7.842
    112.78   999.99   -7.787
    115.82   999.99   -7.713
    118.87   999.99   -7.648
    121.92   999.99   -7.579
    124.97   999.99   -7.513
    128.02   999.99   -7.443
    131.06   999.99   -7.390
    134.11   999.99   -7.319
    137.16   999.99   -7.262
    140.21   999.99   -7.204
    143.26   999.99   -7.139
    146.30   999.99   -7.074
    149.35   999.99   -7.026
    152.40   999.99   -6.950
    155.45   999.99   -6.894
    158.50   999.99   -6.832
    161.54   999.99   -6.762
    164.59   999.99   -6.686
    167.64   999.99   -6.614
    170.69   999.99   -6.548
    173.74   999.99   -6.482
    176.78   999.99   -6.420
    179.83   999.99   -6.359
    182.88   999.99   -6.288
    185.93   999.99   -6.206
    188.98   999.99   -6.125
    192.02   999.99   -6.041
    195.07   999.99   -5.981
    198.12   999.99   -5.896
    201.17   999.99   -5.848
    204.22   999.99   -5.790
    207.26   999.99   -5.720
    210.31   999.99   -5.623
    213.36   999.99   -5.548
    216.41   999.99   -5.461
    219.46   999.99   -5.363
    222.50   999.99   -5.284
    225.55   999.99   -5.195
    228.60   999.99   -5.095
    231.65   999.99   -4.996
    234.70   999.99   -4.857
    237.74   999.99   -4.725
    240.79   999.99   -4.570
    243.84   999.99   -4.472
    246.89   999.99   -4.364
    249.94   999.99   -4.273
    256.03   999.99   -4.155
    259.08   999.99   -4.102
    262.13   999.99   -4.048
    265.18   999.99   -3.996
    268.22   999.99   -3.951
    271.27   999.99   -3.900
    274.32   999.99   -3.832
    277.37   999.99   -3.759
    280.42   999.99   -3.704
    283.46   999.99   -3.624
    286.51   999.99   -3.564
    289.56   999.99   -3.462
    292.61   999.99   -3.368
    295.66   999.99   -3.273
    298.70   999.99   -3.185
    301.75   999.99   -3.078
    304.80   999.99   -3.000
    307.85   999.99   -2.918
    310.90   999.99   -2.843
    313.94   999.99   -2.764
    316.99   999.99   -2.711
    320.04   999.99   -2.628
    323.09   999.99   -2.534
    326.14   999.99   -2.443
    329.18   999.99   -2.321
    332.23   999.99   -2.232
    335.28   999.99   -2.138
    338.33   999.99   -2.031
    341.38   999.99   -1.914
    344.42   999.99   -1.768
    347.47   999.99   -1.616
    350.52   999.99   -1.513
    353.57   999.99   -1.388
    356.62   999.99   -1.265
    359.66   999.99   -1.092
    362.71   999.99    -.937
    365.76   999.99    -.783
    368.81   999.99    -.657
    371.86   999.99    -.530
    374.90   999.99    -.374
    377.95   999.99    -.217
    381.00   999.99    -.096
    384.05   999.99     .066
    387.10   999.99     .191
    390.14   999.99     .327
    393.19   999.99     .469
    396.24   999.99     .606
    399.29   999.99     .731
    402.34   999.99     .874
    405.38   999.99    1.032
    408.43   999.99    1.176
    411.48   999.99    1.320
    414.53   999.99    1.468
    417.58   999.99    1.612
    420.62   999.99    1.722
    423.67   999.99    1.862
    426.72   999.99    2.033
    429.77   999.99    2.205
    432.82   999.99    2.345
    435.86   999.99    2.507
    438.91   999.99    2.669
    441.96   999.99    2.809
    445.01   999.99    2.980
    448.06   999.99    3.109
    451.10   999.99    3.263
    454.15   999.99    3.423
    457.20   999.99    3.563
    460.25   999.99    3.744
    463.30   999.99    3.860
    466.34   999.99    4.043
    469.39   999.99    4.206
    472.44   999.99    4.372
    475.49   999.99    4.559
    478.54   999.99    4.712
    481.58   999.99    4.865
    484.63   999.99    5.044
    487.68   999.99    5.212
    490.73   999.99    5.386
    493.78   999.99    5.542
    496.83   999.99    5.758
    499.87   999.99    5.936
    502.92   999.99    6.095
    505.97   999.99    6.265
    509.02   999.99    6.383
    512.07   999.99    6.626
    515.11   999.99    6.786
    518.16   999.99    6.940
    521.21   999.99    7.105
    524.26   999.99    7.249
    527.31   999.99    7.427
    530.35   999.99    7.549
    533.40   999.99    7.740
    536.45   999.99    7.912
    539.50   999.99    8.057
    542.55   999.99    8.193
    545.59   999.99    8.344
    548.64   999.99    8.507
    551.69   999.99    8.635
    554.74   999.99    8.806
    557.79   999.99    8.973
    560.83   999.99    9.084
    563.88   999.99    9.230
    566.93   999.99    9.395
    569.98   999.99    9.539
    573.03   999.99    9.700
    576.07   999.99    9.972
    582.17   999.99   10.078
    585.22   999.99   10.243
    588.27   999.99   10.401
    591.31   999.99   10.529
    594.36   999.99   10.673
    597.41   999.99   10.778
    600.46   999.99   10.929
    603.51   999.99   11.052
    606.55   999.99   11.169
    609.60   999.99   11.292
    612.65   999.99   11.384
    615.70   999.99   11.468
    618.75   999.99   11.836
    621.79   999.99   11.874
    624.84   999.99   11.936
    627.89   999.99   12.281
    630.94   999.99   12.328
    633.99   999.99   12.379
    637.03   999.99   12.422
    640.08   999.99   12.607
    643.13   999.99   12.826
    646.18   999.99   12.993
    649.23   999.99   13.152
