 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             AWUN
 Log Date:         84JUL29 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      3.35   999.99   -3.256
      3.66   999.99   -3.314
      3.96   999.99   -3.378
      4.27   999.99   -3.569
      4.57   999.99   -3.714
      4.88   999.99   -3.786
      5.18   999.99   -3.919
      5.49   999.99   -3.994
      5.79   999.99   -4.070
      6.10   999.99   -4.179
      6.40   999.99   -4.233
      6.71   999.99   -4.306
      7.01   999.99   -4.986
      7.32   999.99   -5.270
      7.62   999.99   -4.472
      7.92   999.99   -4.380
      8.23   999.99   -4.742
      8.53   999.99   -5.224
      8.84   999.99   -5.504
      9.14   999.99   -5.718
      9.45   999.99   -5.902
      9.75   999.99   -5.996
     10.06   999.99   -6.068
     10.36   999.99   -6.134
     10.67   999.99   -6.159
     10.97   999.99   -6.182
     11.28   999.99   -6.190
     11.58   999.99   -6.190
     11.89   999.99   -6.184
     12.19   999.99   -6.171
     12.50   999.99   -6.156
     12.80   999.99   -6.143
     13.11   999.99   -6.134
     13.41   999.99   -6.117
     13.72   999.99   -6.101
     14.02   999.99   -6.093
     14.33   999.99   -6.076
     14.63   999.99   -6.059
     14.94   999.99   -6.046
     15.24   999.99   -6.027
     15.54   999.99   -6.011
     15.85   999.99   -5.996
     16.15   999.99   -5.981
     16.46   999.99   -5.974
     16.76   999.99   -5.962
     17.07   999.99   -5.949
     17.37   999.99   -5.942
     17.68   999.99   -5.931
     17.98   999.99   -5.921
     18.29   999.99   -5.910
     18.59   999.99   -5.905
     18.90   999.99   -5.902
     19.20   999.99   -5.898
     19.51   999.99   -5.894
     19.81   999.99   -5.892
     20.12   999.99   -5.890
     20.42   999.99   -5.889
     20.73   999.99   -5.888
     21.03   999.99   -5.887
     21.34   999.99   -5.888
     21.64   999.99   -5.887
     21.95   999.99   -5.887
     22.25   999.99   -5.888
     22.56   999.99   -5.889
     22.86   999.99   -5.889
     23.16   999.99   -5.889
     23.47   999.99   -5.889
     23.77   999.99   -5.889
     24.08   999.99   -5.889
     24.38   999.99   -5.890
     24.69   999.99   -5.892
     24.99   999.99   -5.896
     25.30   999.99   -5.898
     25.60   999.99   -5.901
     25.91   999.99   -5.907
     26.21   999.99   -5.911
     26.52   999.99   -5.917
     26.82   999.99   -5.922
     27.13   999.99   -5.927
     27.43   999.99   -5.934
     27.74   999.99   -5.940
     28.04   999.99   -5.947
     28.35   999.99   -5.955
     28.65   999.99   -5.960
     28.96   999.99   -5.966
     29.26   999.99   -5.975
     29.57   999.99   -5.981
     29.87   999.99   -5.989
     30.18   999.99   -5.996
     30.48   999.99   -6.003
     30.78   999.99   -6.047
     31.09   999.99   -6.048
     31.39   999.99   -6.049
     31.70   999.99   -6.052
     32.00   999.99   -6.054
     32.31   999.99   -6.058
     32.61   999.99   -6.061
     32.92   999.99   -6.064
     33.22   999.99   -6.067
     33.53   999.99   -6.069
     33.83   999.99   -6.072
     34.14   999.99   -6.074
     34.44   999.99   -6.075
     34.75   999.99   -6.076
     35.05   999.99   -6.078
     35.36   999.99   -6.079
     35.66   999.99   -6.080
     35.97   999.99   -6.081
     36.27   999.99   -6.081
     36.58   999.99   -6.081
     36.88   999.99   -6.082
     37.19   999.99   -6.082
     37.49   999.99   -6.082
     37.80   999.99   -6.083
     38.10   999.99   -6.082
     38.40   999.99   -6.082
     38.71   999.99   -6.083
     39.01   999.99   -6.083
     39.32   999.99   -6.082
     39.62   999.99   -6.082
     39.93   999.99   -6.081
     40.23   999.99   -6.080
     40.54   999.99   -6.079
     40.84   999.99   -6.079
     41.15   999.99   -6.078
     41.45   999.99   -6.076
     41.76   999.99   -6.075
     42.06   999.99   -6.074
     42.37   999.99   -6.072
     42.67   999.99   -6.071
     42.98   999.99   -6.069
     43.28   999.99   -6.067
     43.59   999.99   -6.065
     43.89   999.99   -6.063
     44.20   999.99   -6.062
     44.50   999.99   -6.059
     44.81   999.99   -6.055
     45.11   999.99   -6.052
     45.42   999.99   -6.050
     45.72   999.99   -6.046
     46.02   999.99   -6.044
     46.33   999.99   -6.042
     46.63   999.99   -6.040
     46.94   999.99   -6.037
     47.24   999.99   -6.031
     47.55   999.99   -6.028
     47.85   999.99   -6.026
     48.16   999.99   -6.022
     48.46   999.99   -6.019
     48.77   999.99   -6.017
     49.07   999.99   -6.015
     49.38   999.99   -6.010
     49.68   999.99   -6.005
     49.99   999.99   -6.002
     50.29   999.99   -6.000
     50.60   999.99   -5.997
     50.90   999.99   -5.993
     51.21   999.99   -5.988
     51.51   999.99   -5.985
     51.82   999.99   -5.980
     52.12   999.99   -5.977
     52.43   999.99   -5.973
     52.73   999.99   -5.969
     53.04   999.99   -5.965
     53.34   999.99   -5.961
     53.64   999.99   -5.957
     53.95   999.99   -5.954
     54.25   999.99   -5.950
     54.56   999.99   -5.947
     54.86   999.99   -5.944
     55.17   999.99   -5.940
     55.47   999.99   -5.935
     55.78   999.99   -5.930
     56.08   999.99   -5.926
     56.39   999.99   -5.922
     56.69   999.99   -5.916
     57.00   999.99   -5.912
     57.30   999.99   -5.907
     57.61   999.99   -5.904
     57.91   999.99   -5.900
     58.22   999.99   -5.896
     58.52   999.99   -5.892
     58.83   999.99   -5.889
     59.13   999.99   -5.884
     59.44   999.99   -5.880
     59.74   999.99   -5.876
     60.05   999.99   -5.871
     60.35   999.99   -5.867
     60.66   999.99   -5.862
     60.96   999.99   -5.857
     61.26   999.99   -5.828
     61.57   999.99   -5.827
     61.87   999.99   -5.825
     62.18   999.99   -5.823
     62.48   999.99   -5.821
     62.79   999.99   -5.818
     63.09   999.99   -5.815
     63.40   999.99   -5.811
     63.70   999.99   -5.808
     64.01   999.99   -5.804
     64.31   999.99   -5.799
     64.62   999.99   -5.793
     64.92   999.99   -5.785
     65.23   999.99   -5.782
     65.53   999.99   -5.777
     65.84   999.99   -5.771
     66.14   999.99   -5.768
     66.45   999.99   -5.762
     66.75   999.99   -5.756
     67.06   999.99   -5.752
     67.36   999.99   -5.746
     67.67   999.99   -5.742
     67.97   999.99   -5.737
     68.28   999.99   -5.733
     68.58   999.99   -5.727
     68.88   999.99   -5.722
     69.19   999.99   -5.717
     69.49   999.99   -5.711
     69.80   999.99   -5.704
     70.10   999.99   -5.700
     70.41   999.99   -5.695
     70.71   999.99   -5.689
     71.02   999.99   -5.681
     71.32   999.99   -5.672
     71.63   999.99   -5.667
     71.93   999.99   -5.663
     72.24   999.99   -5.659
     72.54   999.99   -5.655
     72.85   999.99   -5.648
     73.15   999.99   -5.643
     73.46   999.99   -5.638
     73.76   999.99   -5.631
     74.07   999.99   -5.626
     74.37   999.99   -5.619
     74.68   999.99   -5.613
     74.98   999.99   -5.608
     75.29   999.99   -5.604
     75.59   999.99   -5.600
     75.90   999.99   -5.593
     76.20   999.99   -5.585
     76.50   999.99   -5.582
     76.81   999.99   -5.574
     77.11   999.99   -5.569
     77.42   999.99   -5.561
     77.72   999.99   -5.552
     78.03   999.99   -5.547
     78.33   999.99   -5.541
     78.64   999.99   -5.534
     78.94   999.99   -5.530
     79.25   999.99   -5.526
     79.55   999.99   -5.522
     79.86   999.99   -5.517
     80.16   999.99   -5.510
     80.47   999.99   -5.505
     80.77   999.99   -5.499
     81.08   999.99   -5.492
     81.38   999.99   -5.486
     81.69   999.99   -5.478
     81.99   999.99   -5.472
     82.30   999.99   -5.465
     82.60   999.99   -5.460
     82.91   999.99   -5.453
     83.21   999.99   -5.445
     83.52   999.99   -5.439
     83.82   999.99   -5.432
     84.12   999.99   -5.427
     84.43   999.99   -5.421
     84.73   999.99   -5.412
     85.04   999.99   -5.406
     85.34   999.99   -5.400
     85.65   999.99   -5.394
     85.95   999.99   -5.389
     86.26   999.99   -5.381
     86.56   999.99   -5.374
     86.87   999.99   -5.368
     87.17   999.99   -5.360
     87.48   999.99   -5.355
     87.78   999.99   -5.346
     88.09   999.99   -5.341
     88.39   999.99   -5.335
     88.70   999.99   -5.330
     89.00   999.99   -5.325
     89.31   999.99   -5.319
     89.61   999.99   -5.314
     89.92   999.99   -5.308
     90.22   999.99   -5.301
     90.53   999.99   -5.293
     90.83   999.99   -5.287
     91.14   999.99   -5.280
     91.44   999.99   -5.276
     91.74   999.99   -5.249
     92.05   999.99   -5.247
     92.35   999.99   -5.243
     92.66   999.99   -5.237
     92.96   999.99   -5.232
     93.27   999.99   -5.224
     93.57   999.99   -5.219
     93.88   999.99   -5.211
     94.18   999.99   -5.203
     94.49   999.99   -5.199
     94.79   999.99   -5.193
     95.10   999.99   -5.186
     95.40   999.99   -5.179
     95.71   999.99   -5.171
     96.01   999.99   -5.165
     96.32   999.99   -5.159
     96.62   999.99   -5.152
     96.93   999.99   -5.147
     97.23   999.99   -5.139
     97.54   999.99   -5.131
     97.84   999.99   -5.123
     98.15   999.99   -5.111
     98.45   999.99   -5.102
     98.76   999.99   -5.096
     99.06   999.99   -5.088
     99.36   999.99   -5.083
     99.67   999.99   -5.076
     99.97   999.99   -5.070
    100.28   999.99   -5.067
    100.58   999.99   -5.061
    100.89   999.99   -5.052
    101.19   999.99   -5.045
    101.50   999.99   -5.037
    101.80   999.99   -5.031
    102.11   999.99   -5.020
    102.41   999.99   -5.010
    102.72   999.99   -5.001
    103.02   999.99   -4.996
    103.33   999.99   -4.990
    103.63   999.99   -4.983
    103.94   999.99   -4.976
    104.24   999.99   -4.969
    104.55   999.99   -4.958
    104.85   999.99   -4.950
    105.16   999.99   -4.943
    105.46   999.99   -4.937
    105.77   999.99   -4.931
    106.07   999.99   -4.918
    106.38   999.99   -4.911
    106.68   999.99   -4.903
    106.99   999.99   -4.898
    107.29   999.99   -4.891
    107.59   999.99   -4.883
    107.90   999.99   -4.875
    108.20   999.99   -4.868
    108.51   999.99   -4.859
    108.81   999.99   -4.850
    109.12   999.99   -4.840
    109.42   999.99   -4.834
    109.73   999.99   -4.826
    110.03   999.99   -4.817
    110.34   999.99   -4.810
    110.64   999.99   -4.801
    110.95   999.99   -4.794
    111.25   999.99   -4.786
    111.56   999.99   -4.777
    111.86   999.99   -4.772
    112.17   999.99   -4.765
    112.47   999.99   -4.757
    112.78   999.99   -4.751
    113.08   999.99   -4.742
    113.39   999.99   -4.733
    113.69   999.99   -4.724
    114.00   999.99   -4.715
    114.30   999.99   -4.709
    114.61   999.99   -4.699
    114.91   999.99   -4.692
    115.21   999.99   -4.682
    115.52   999.99   -4.671
    115.82   999.99   -4.666
    116.13   999.99   -4.656
    116.43   999.99   -4.647
    116.74   999.99   -4.637
    117.04   999.99   -4.629
    117.35   999.99   -4.625
    117.65   999.99   -4.615
    117.96   999.99   -4.607
    118.26   999.99   -4.600
    118.57   999.99   -4.589
    118.87   999.99   -4.583
    119.18   999.99   -4.575
    119.48   999.99   -4.568
    119.79   999.99   -4.559
    120.09   999.99   -4.551
    120.40   999.99   -4.543
    120.70   999.99   -4.533
    121.01   999.99   -4.525
    121.31   999.99   -4.516
    121.62   999.99   -4.506
    121.92   999.99   -4.499
    122.22   999.99   -4.492
    122.53   999.99   -4.485
    122.83   999.99   -4.477
    123.14   999.99   -4.468
    123.44   999.99   -4.459
    123.75   999.99   -4.449
    124.05   999.99   -4.442
    124.36   999.99   -4.431
    124.66   999.99   -4.414
    124.97   999.99   -4.406
    125.27   999.99   -4.400
    125.58   999.99   -4.396
    125.88   999.99   -4.391
    126.19   999.99   -4.385
    126.49   999.99   -4.380
    126.80   999.99   -4.373
    127.10   999.99   -4.366
    127.41   999.99   -4.357
    127.71   999.99   -4.347
    128.02   999.99   -4.339
    128.32   999.99   -4.329
    128.63   999.99   -4.323
    128.93   999.99   -4.316
    129.24   999.99   -4.308
    129.54   999.99   -4.301
    129.85   999.99   -4.290
    130.15   999.99   -4.281
    130.45   999.99   -4.273
    130.76   999.99   -4.263
    131.06   999.99   -4.254
    131.37   999.99   -4.243
    131.67   999.99   -4.233
    131.98   999.99   -4.225
    132.28   999.99   -4.212
    132.59   999.99   -4.202
    132.89   999.99   -4.193
    133.20   999.99   -4.183
    133.50   999.99   -4.175
    133.81   999.99   -4.167
    134.11   999.99   -4.159
    134.42   999.99   -4.152
    134.72   999.99   -4.142
    135.03   999.99   -4.137
    135.33   999.99   -4.127
    135.64   999.99   -4.117
    135.94   999.99   -4.107
    136.25   999.99   -4.100
    136.55   999.99   -4.093
    136.86   999.99   -4.084
    137.16   999.99   -4.074
    137.47   999.99   -4.061
    137.77   999.99   -4.049
