 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             BC2 
 Log Date:         78AUG06 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.88   999.99    2.622
     33.71   999.99    2.744
     36.58   999.99    2.834
     39.65   999.99    2.971
     42.67   999.99    3.078
     45.72   999.99    3.135
     48.89   999.99    3.236
     51.94   999.99    3.362
     55.02   999.99    3.483
     57.94   999.99    3.625
     60.99   999.99    3.768
     64.10   999.99    3.858
     67.09   999.99    3.952
     70.41   999.99    4.040
     73.15   999.99    4.088
     76.20   999.99    4.149
     79.37   999.99    4.236
     82.36   999.99    4.356
     85.44   999.99    4.488
     88.58   999.99    4.636
     91.56   999.99    4.763
     94.49   999.99    4.776
     97.81   999.99    4.811
    100.68   999.99    4.831
    103.69   999.99    4.867
    106.74   999.99    4.875
    109.82   999.99    4.899
    112.81   999.99    4.973
    115.92   999.99    5.018
    118.87   999.99    5.055
    122.10   999.99    5.106
    125.18   999.99    5.132
    128.02   999.99    5.165
    131.16   999.99    5.154
    134.26   999.99    5.152
    137.19   999.99    5.202
    140.21   999.99    5.195
    143.35   999.99    5.203
    146.33   999.99    5.238
    149.44   999.99    5.235
    152.49   999.99    5.257
    155.57   999.99    5.305
    158.59   999.99    5.316
    161.64   999.99    5.333
    164.68   999.99    5.350
    167.70   999.99    5.365
    170.93   999.99    5.383
    173.74   999.99    5.400
    176.78   999.99    5.410
    179.83   999.99    5.429
    182.88   999.99    5.442
    186.29   999.99    5.452
    192.12   999.99    5.466
    198.36   999.99    5.479
    205.80   999.99    5.491
    213.54   999.99    5.501
    221.13   999.99    5.513
    228.78   999.99    5.492
