 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             BVR 
 Log Date:         72OCT04 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     27.43   999.99    -.519
     30.48   999.99    -.479
     33.53   999.99    -.448
     36.58   999.99    -.411
     39.62   999.99    -.376
     42.67   999.99    -.327
     45.72   999.99    -.282
     48.77   999.99    -.235
     51.82   999.99    -.188
     54.86   999.99    -.138
     57.91   999.99    -.091
     60.96   999.99    -.042
     64.01   999.99     .020
     67.06   999.99     .067
     70.10   999.99     .123
     73.15   999.99     .177
     76.20   999.99     .230
     79.25   999.99     .288
     82.30   999.99     .347
     85.34   999.99     .407
     88.39   999.99     .459
     91.44   999.99     .514
     94.49   999.99     .567
     97.54   999.99     .623
    100.58   999.99     .671
    103.63   999.99     .729
    106.68   999.99     .790
    109.73   999.99     .848
    112.78   999.99     .907
    115.82   999.99     .960
    118.87   999.99    1.026
    121.92   999.99    1.090
    124.97   999.99    1.156
    128.02   999.99    1.221
    131.06   999.99    1.287
    134.11   999.99    1.373
    137.16   999.99    1.427
    140.21   999.99    1.507
    143.26   999.99    1.574
    146.30   999.99    1.632
    149.35   999.99    1.704
    152.40   999.99    1.748
