 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             CCB 
 Log Date:         79JUL11 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     51.82   999.99   -3.274
     54.86   999.99   -3.268
     57.91   999.99   -3.186
     60.96   999.99   -3.161
     64.01   999.99   -3.092
     67.06   999.99   -2.883
     70.10   999.99   -2.747
     73.15   999.99   -2.604
     76.20   999.99   -2.470
     79.25   999.99   -2.365
     82.30   999.99   -2.249
     85.34   999.99   -2.137
     88.39   999.99   -2.008
     91.44   999.99   -1.845
     94.49   999.99   -1.635
     97.54   999.99   -1.477
    100.58   999.99   -1.368
    103.63   999.99   -1.252
    106.68   999.99   -1.161
    109.73   999.99   -1.061
    112.78   999.99    -.971
    115.82   999.99    -.872
    118.87   999.99    -.761
    121.92   999.99    -.644
    124.97   999.99    -.535
    128.02   999.99    -.436
    131.06   999.99    -.352
    134.11   999.99    -.247
    137.16   999.99    -.117
    140.21   999.99     .077
    143.26   999.99     .189
    146.30   999.99     .298
    149.35   999.99     .420
    152.40   999.99     .558
    155.45   999.99     .685
    158.50   999.99     .829
    161.54   999.99     .972
    164.59   999.99    1.096
    167.64   999.99    1.229
    170.69   999.99    1.368
    173.74   999.99    1.497
    176.78   999.99    1.622
    177.09   999.99    1.548
