 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             CNR 
 Log Date:         74AUG29 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -3.757
      9.14   999.99   -4.107
     12.19   999.99   -3.895
     15.24   999.99   -3.573
     18.29   999.99   -3.411
     21.34   999.99   -2.706
     24.38   999.99   -2.287
     27.43   999.99   -1.807
     30.48   999.99   -1.329
     33.53   999.99   -1.036
     36.58   999.99    -.835
     39.62   999.99    -.617
     42.67   999.99    -.556
     45.72   999.99    -.546
     48.77   999.99    -.620
     51.82   999.99    -.597
     54.86   999.99    -.557
     57.91   999.99    -.542
     60.96   999.99    -.586
     64.01   999.99    -.700
     67.06   999.99    -.794
     70.10   999.99    -.762
     73.15   999.99    -.622
     76.20   999.99    -.557
     79.25   999.99    -.518
     82.30   999.99    -.509
     85.34   999.99    -.465
     88.39   999.99    -.405
     91.44   999.99    -.384
     94.49   999.99    -.379
     97.54   999.99    -.330
    100.58   999.99    -.271
    103.63   999.99    -.213
    106.68   999.99    -.128
    109.73   999.99    -.062
    112.78   999.99     .028
    115.82   999.99     .095
    118.87   999.99     .192
    121.92   999.99     .263
    124.97   999.99     .341
    128.02   999.99     .436
    131.06   999.99     .558
    134.11   999.99     .675
    137.16   999.99     .777
    140.21   999.99     .856
    143.26   999.99     .971
    146.30   999.99    1.026
    149.35   999.99    1.195
    152.40   999.99    1.336
    155.45   999.99    1.482
    158.50   999.99    1.646
    161.54   999.99    1.773
    164.59   999.99    1.890
    167.64   999.99    2.002
    170.69   999.99    2.097
    173.74   999.99    2.184
    176.78   999.99    2.246
    179.83   999.99    2.299
    182.88   999.99    2.331
    185.93   999.99    2.348
    188.98   999.99    2.376
    192.02   999.99    2.446
    195.07   999.99    2.524
    198.12   999.99    2.624
    201.17   999.99    2.754
    204.22   999.99    2.840
    207.26   999.99    2.960
    210.31   999.99    3.046
    213.36   999.99    3.139
    216.41   999.99    3.236
    219.46   999.99    3.324
    222.50   999.99    3.421
    225.55   999.99    3.525
    228.60   999.99    3.604
    231.65   999.99    3.689
    234.70   999.99    3.769
    237.74   999.99    3.863
    240.79   999.99    3.940
    243.84   999.99    4.040
    246.89   999.99    4.116
    249.94   999.99    4.237
    252.98   999.99    4.353
    256.03   999.99    4.475
    259.08   999.99    4.573
    262.13   999.99    4.665
    265.18   999.99    4.738
    268.22   999.99    4.818
    271.27   999.99    4.861
    274.32   999.99    5.268
    277.37   999.99    5.307
    280.42   999.99    5.368
    283.46   999.99    5.400
    286.51   999.99    5.466
    289.56   999.99    5.522
    292.61   999.99    5.582
    295.66   999.99    5.640
    298.70   999.99    5.724
    301.75   999.99    5.797
    304.80   999.99    5.857
    307.85   999.99    5.920
    310.90   999.99    5.989
    313.94   999.99    6.051
    316.99   999.99    6.114
    320.04   999.99    6.169
    323.09   999.99    6.235
    326.14   999.99    6.277
    329.18   999.99    6.367
    332.23   999.99    6.418
    335.28   999.99    6.480
    338.33   999.99    6.527
    341.38   999.99    6.590
    344.42   999.99    6.637
    347.47   999.99    6.689
    350.52   999.99    6.742
