 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             CNR 
 Log Date:         79SEP17 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -5.813
      9.14   999.99   -7.103
     12.19   999.99   -7.136
     15.24   999.99   -7.121
     18.29   999.99   -7.092
     21.34   999.99   -7.039
     24.38   999.99   -7.036
     27.43   999.99   -6.947
     30.48   999.99   -6.894
     33.53   999.99   -6.836
     36.58   999.99   -6.773
     39.62   999.99   -6.710
     42.67   999.99   -6.643
     45.72   999.99   -6.568
     48.77   999.99   -6.496
     51.82   999.99   -6.414
     54.86   999.99   -6.332
     57.91   999.99   -6.258
     60.96   999.99   -6.168
     64.01   999.99   -6.085
     67.06   999.99   -6.001
     70.10   999.99   -5.909
     73.15   999.99   -5.826
     76.20   999.99   -5.745
     79.25   999.99   -5.655
     82.30   999.99   -5.574
     85.34   999.99   -5.484
     88.39   999.99   -5.403
     91.44   999.99   -5.317
     94.49   999.99   -5.226
     97.54   999.99   -5.143
    100.58   999.99   -5.067
    103.63   999.99   -4.988
    106.68   999.99   -4.894
    109.73   999.99   -4.808
    112.78   999.99   -4.714
    115.82   999.99   -4.644
    118.87   999.99   -4.547
    121.92   999.99   -4.471
    124.97   999.99   -4.391
    128.02   999.99   -4.310
    131.06   999.99   -4.214
    134.11   999.99   -4.123
    137.16   999.99   -4.044
    140.21   999.99   -3.951
    143.26   999.99   -3.870
    146.30   999.99   -3.791
    149.35   999.99   -3.704
    152.40   999.99   -3.621
    155.45   999.99   -3.526
    158.50   999.99   -3.432
    161.54   999.99   -3.350
    164.59   999.99   -3.253
    167.64   999.99   -3.160
    170.69   999.99   -3.072
    173.74   999.99   -2.982
    176.78   999.99   -2.889
    179.83   999.99   -2.798
    182.88   999.99   -2.719
    185.93   999.99   -2.616
    188.98   999.99   -2.535
    192.02   999.99   -2.456
    195.07   999.99   -2.365
    198.12   999.99   -2.280
    201.17   999.99   -2.195
    204.22   999.99   -2.096
    207.26   999.99   -2.010
    210.31   999.99   -1.917
    213.36   999.99   -1.836
    216.41   999.99   -1.745
    219.46   999.99   -1.649
    222.50   999.99   -1.566
    225.55   999.99   -1.473
    228.60   999.99   -1.384
    231.65   999.99   -1.300
    234.70   999.99   -1.212
    237.74   999.99   -1.105
    240.79   999.99   -1.011
    243.84   999.99    -.923
    246.89   999.99    -.837
    249.94   999.99    -.748
    252.98   999.99    -.648
    256.03   999.99    -.544
    259.08   999.99    -.458
    262.13   999.99    -.378
    265.18   999.99    -.305
    268.22   999.99    -.244
    271.27   999.99    -.115
    274.32   999.99    -.079
    277.37   999.99     .185
    280.42   999.99     .291
    283.46   999.99     .387
    286.51   999.99     .485
    289.56   999.99     .587
    292.61   999.99     .682
    295.66   999.99     .774
    298.70   999.99     .860
    301.75   999.99     .946
    304.80   999.99    1.029
    307.85   999.99    1.116
    310.90   999.99    1.205
    313.94   999.99    1.286
    316.99   999.99    1.369
    320.04   999.99    1.454
    323.09   999.99    1.539
    326.14   999.99    1.617
    329.18   999.99    1.694
    332.23   999.99    1.774
    335.28   999.99    1.855
    338.33   999.99    1.932
    341.38   999.99    2.011
    344.42   999.99    2.089
    347.47   999.99    2.171
    350.52   999.99    2.251
    353.57   999.99    2.334
    356.62   999.99    2.421
    359.66   999.99    2.501
    362.71   999.99    2.587
    365.76   999.99    2.675
    368.81   999.99    2.770
    371.86   999.99    2.865
    374.90   999.99    2.972
    377.95   999.99    3.096
    381.00   999.99    3.191
    384.05   999.99    3.327
    387.10   999.99    3.430
    390.14   999.99    3.500
    393.19   999.99    3.579
    396.24   999.99    3.699
    399.29   999.99    3.760
    402.34   999.99    3.891
    405.38   999.99    3.955
    408.43   999.99    4.072
    411.48   999.99    4.153
    414.53   999.99    4.289
    417.58   999.99    4.367
    420.62   999.99    4.446
    423.67   999.99    4.577
    426.72   999.99    4.647
    429.77   999.99    4.774
    432.82   999.99    4.853
    435.86   999.99    4.959
    438.91   999.99    5.036
    441.96   999.99    5.138
    445.01   999.99    5.227
    448.06   999.99    5.325
    451.10   999.99    5.408
    454.15   999.99    5.498
    457.20   999.99    5.578
    460.25   999.99    5.673
    463.30   999.99    5.746
    466.34   999.99    5.816
    469.39   999.99    5.890
    472.44   999.99    5.941
    475.49   999.99    6.191
    478.54   999.99    6.246
    481.58   999.99    6.298
    484.63   999.99    6.365
    487.68   999.99    6.432
    490.73   999.99    6.512
    493.78   999.99    6.591
    496.83   999.99    6.652
    499.87   999.99    6.729
    502.92   999.99    6.807
    505.97   999.99    6.885
    509.02   999.99    6.958
    512.07   999.99    7.021
    515.11   999.99    7.114
    518.16   999.99    7.174
    521.21   999.99    7.257
    524.26   999.99    7.351
    527.31   999.99    7.436
    530.35   999.99    7.507
    533.40   999.99    7.591
    536.45   999.99    7.677
    539.50   999.99    7.764
    542.55   999.99    7.831
    545.59   999.99    7.913
    548.64   999.99    7.996
    551.69   999.99    8.077
    554.74   999.99    8.168
    557.79   999.99    8.244
    560.83   999.99    8.323
    563.88   999.99    8.383
    566.93   999.99    8.416
    569.98   999.99    8.641
