 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             CPH 
 Log Date:         75MAY06 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     27.43   999.99   -1.358
     28.96   999.99   -1.355
     30.48   999.99   -1.342
     32.00   999.99   -1.328
     33.53   999.99   -1.301
     35.05   999.99   -1.290
     36.58   999.99   -1.286
     38.10   999.99   -1.283
     39.62   999.99   -1.261
     41.15   999.99   -1.256
     42.67   999.99   -1.240
     44.20   999.99   -1.217
     45.72   999.99   -1.204
     47.24   999.99   -1.179
     48.77   999.99   -1.162
     50.29   999.99   -1.183
     51.82   999.99   -1.173
     53.34   999.99   -1.119
     54.86   999.99   -1.070
     56.39   999.99   -1.033
     57.91   999.99   -1.023
     59.44   999.99   -1.003
     60.96   999.99    -.976
     62.48   999.99    -.953
     64.01   999.99    -.941
     65.53   999.99    -.946
     67.06   999.99    -.922
     68.58   999.99    -.892
     70.10   999.99    -.868
     71.63   999.99    -.887
     73.15   999.99    -.893
     74.68   999.99    -.926
     76.20   999.99    -.919
     77.72   999.99   -1.004
     79.25   999.99   -1.016
     80.77   999.99   -1.204
     82.30   999.99   -1.374
     83.82   999.99   -1.333
     85.34   999.99   -1.392
     86.87   999.99   -1.276
     88.39   999.99   -1.438
     89.92   999.99   -1.411
     91.44   999.99   -1.335
     92.96   999.99   -1.399
     94.49   999.99   -1.172
     96.01   999.99   -1.208
     97.54   999.99   -1.302
     99.06   999.99   -1.285
    100.58   999.99   -1.382
    102.11   999.99   -1.502
    103.63   999.99   -1.482
    105.16   999.99   -1.557
    106.68   999.99   -1.567
    108.20   999.99   -1.745
    109.73   999.99   -1.969
    111.25   999.99   -1.930
    112.78   999.99   -1.941
    114.30   999.99   -1.964
    115.82   999.99   -2.049
    117.35   999.99   -2.052
    118.87   999.99   -2.091
    120.40   999.99   -2.179
    121.92   999.99   -2.256
    123.44   999.99   -2.219
    124.97   999.99   -2.206
    126.49   999.99   -2.231
    128.02   999.99   -2.187
    129.54   999.99   -2.193
    131.06   999.99   -1.948
    132.59   999.99   -1.713
    134.11   999.99   -1.743
    135.64   999.99   -1.669
    137.16   999.99   -1.649
    138.68   999.99   -1.688
    140.21   999.99   -1.701
    141.73   999.99   -1.731
    143.26   999.99   -1.798
    144.78   999.99   -2.136
    146.30   999.99   -2.252
    147.83   999.99   -2.198
    149.35   999.99   -2.153
    150.88   999.99   -2.146
    152.40   999.99   -2.142
    153.92   999.99   -2.103
    155.45   999.99   -1.286
    156.97   999.99    -.642
    158.50   999.99    -.688
    160.02   999.99    -.689
    161.54   999.99    -.686
    163.07   999.99    -.616
    164.59   999.99    -.514
    166.12   999.99    -.394
    167.64   999.99    -.303
    169.16   999.99    -.273
    170.69   999.99    -.457
    172.21   999.99    -.660
    173.74   999.99    -.767
    175.26   999.99    -.649
    176.78   999.99    -.524
    178.31   999.99    -.571
    179.83   999.99    -.624
    181.36   999.99    -.643
    182.88   999.99    -.706
    184.40   999.99    -.741
    185.93   999.99    -.754
    187.45   999.99    -.719
    188.98   999.99    -.679
    190.50   999.99    -.658
    192.02   999.99    -.628
    193.55   999.99    -.671
    195.07   999.99    -.636
    196.60   999.99    -.642
    198.12   999.99    -.639
    199.64   999.99    -.642
    201.17   999.99    -.610
    202.69   999.99    -.669
    204.22   999.99    -.634
    205.74   999.99    -.570
    207.26   999.99    -.559
    208.79   999.99    -.578
    210.31   999.99    -.639
    211.84   999.99    -.746
    213.36   999.99    -.828
    214.88   999.99    -.831
    216.41   999.99    -.791
    217.93   999.99    -.743
    219.46   999.99    -.761
    220.98   999.99    -.747
    222.50   999.99    -.737
    224.03   999.99    -.673
    225.55   999.99    -.656
    227.08   999.99    -.627
    228.60   999.99    -.579
    230.12   999.99    -.457
    231.65   999.99    -.334
    233.17   999.99    -.286
    234.70   999.99    -.275
    236.22   999.99    -.211
    237.74   999.99    -.172
    239.27   999.99    -.120
    240.79   999.99    -.068
    242.32   999.99    -.027
    243.84   999.99     .006
    245.36   999.99     .046
    246.89   999.99     .166
    248.41   999.99     .272
    249.94   999.99     .385
    251.46   999.99     .350
    252.98   999.99     .159
    254.51   999.99     .123
    256.03   999.99     .056
    257.56   999.99     .008
    259.08   999.99     .016
    260.60   999.99     .124
    262.13   999.99     .147
    263.65   999.99     .112
    265.18   999.99     .053
    266.70   999.99     .079
    268.22   999.99     .096
    269.75   999.99     .132
    271.27   999.99     .153
    272.80   999.99     .202
    274.32   999.99     .263
    275.84   999.99     .339
    277.37   999.99     .388
    278.89   999.99     .369
    280.42   999.99     .348
    281.94   999.99     .334
    283.46   999.99     .322
    284.99   999.99     .339
    286.51   999.99     .412
    288.04   999.99     .455
    289.56   999.99     .499
    291.08   999.99     .468
    292.61   999.99     .431
    294.13   999.99     .394
    295.66   999.99     .333
    297.18   999.99     .276
