 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             DHPA
 Log Date:         66AUG23 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: Wheatstone Bridge
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
    154.23   999.99    5.345
    167.64   999.99    5.690
    182.88   999.99    6.104
    198.12   999.99    6.504
    213.36   999.99    6.932
    228.60   999.99    7.401
    243.84   999.99    7.896
    259.08   999.99    8.240
    274.32   999.99    8.741
    289.56   999.99    9.219
    304.80   999.99    9.625
    320.04   999.99    9.989
    335.28   999.99   10.425
    350.52   999.99   10.870
    365.76   999.99   11.295
    381.00   999.99   11.719
    396.24   999.99   12.149
    411.48   999.99   12.364
    426.72   999.99   13.106
    441.96   999.99   13.539
    457.20   999.99   14.040
    472.44   999.99   14.505
    487.68   999.99   14.959
    502.92   999.99   15.446
    518.16   999.99   15.937
    533.40   999.99   16.429
    548.64   999.99   16.882
    563.88   999.99   17.400
    579.12   999.99   17.779
    594.36   999.99   18.277
    609.60   999.99   18.800
    624.84   999.99   19.325
    640.08   999.99   19.813
    655.32   999.99   20.320
    670.56   999.99   20.769
    685.80   999.99   21.292
    701.04   999.99   21.850
    716.28   999.99   22.311
    731.52   999.99   22.715
    746.76   999.99   23.174
    762.00   999.99   23.634
    777.24   999.99   24.094
    792.48   999.99   24.558
    807.72   999.99   25.073
    822.96   999.99   25.553
    838.20   999.99   25.931
    853.44   999.99   26.408
    868.68   999.99   26.891
    883.92   999.99   27.379
    899.16   999.99   27.797
    914.40   999.99   28.271
    929.64   999.99   28.747
    944.88   999.99   29.142
    960.12   999.99   29.559
    975.36   999.99   30.039
    990.60   999.99   30.554
   1005.84   999.99   30.940
   1021.08   999.99   31.409
   1036.32   999.99   31.882
   1051.56   999.99   32.321
   1066.80   999.99   32.762
   1082.04   999.99   33.208
   1097.28   999.99   33.711
   1112.52   999.99   34.233
   1127.76   999.99   34.500
   1143.00   999.99   35.050
   1158.24   999.99   35.400
   1173.48   999.99   35.974
   1188.72   999.99   36.469
   1203.96   999.99   36.947
   1219.20   999.99   37.447
   1234.44   999.99   37.900
   1249.68   999.99   38.442
   1264.92   999.99   38.857
   1280.16   999.99   39.253
   1295.40   999.99   39.658
   1310.64   999.99   40.100
   1325.88   999.99   40.546
   1341.12   999.99   41.031
   1356.36   999.99   41.516
   1371.60   999.99   41.925
   1386.84   999.99   42.373
   1402.08   999.99   42.846
   1417.32   999.99   43.331
   1432.56   999.99   43.815
   1447.80   999.99   44.256
   1463.04   999.99   44.733
   1478.28   999.99   45.250
   1493.52   999.99   45.721
   1508.76   999.99   46.194
   1524.00   999.99   46.676
   1539.24   999.99   47.180
   1554.48   999.99   47.654
   1569.72   999.99   48.138
   1584.96   999.99   48.587
   1600.20   999.99   49.033
   1615.44   999.99   49.470
   1630.68   999.99   49.895
   1645.92   999.99   50.332
   1661.16   999.99   50.790
   1676.40   999.99   51.310
   1691.64   999.99   51.819
   1706.88   999.99   52.300
   1722.12   999.99   52.814
   1737.36   999.99   53.293
   1752.60   999.99   53.796
   1767.84   999.99   54.227
   1783.08   999.99   54.656
   1798.32   999.99   55.005
   1813.56   999.99   55.535
   1828.80   999.99   55.985
   1844.04   999.99   56.456
   1859.28   999.99   56.917
   1874.52   999.99   57.404
   1889.76   999.99   57.888
   1905.00   999.99   58.384
   1920.24   999.99   58.909
   1935.48   999.99   59.400
   1950.72   999.99   59.876
   1965.96   999.99   60.365
   1981.20   999.99   60.904
   1996.44   999.99   61.420
   2011.68   999.99   61.901
   2026.92   999.99   62.418
   2042.16   999.99   62.928
   2057.40   999.99   63.385
   2072.64   999.99   63.900
   2087.88   999.99   64.413
   2103.12   999.99   64.916
   2118.36   999.99   65.390
   2133.60   999.99   65.857
   2148.84   999.99   66.354
   2164.08   999.99   66.841
   2179.32   999.99   67.312
   2194.56   999.99   67.776
   2209.80   999.99   68.292
   2225.04   999.99   68.709
   2240.28   999.99   69.245
   2255.52   999.99   69.746
   2270.76   999.99   70.232
   2286.00   999.99   70.706
   2301.25   999.99   71.257
   2316.49   999.99   71.798
   2331.73   999.99   72.305
   2346.97   999.99   72.867
   2362.21   999.99   73.440
   2377.45   999.99   73.983
   2392.69   999.99   74.523
   2407.93   999.99   75.050
   2423.17   999.99   75.573
   2438.41   999.99   76.093
   2453.65   999.99   76.610
   2468.89   999.99   77.122
   2484.13   999.99   77.631
   2499.36   999.99   78.150
   2514.60   999.99   78.590
   2529.84   999.99   79.095
   2545.08   999.99   79.608
   2560.32   999.99   80.126
   2575.56   999.99   80.626
   2590.80   999.99   81.132
   2606.04   999.99   81.641
   2621.28   999.99   82.161
   2636.52   999.99   82.677
   2651.76   999.99   83.168
   2667.00   999.99   83.730
   2682.25   999.99   84.308
   2697.49   999.99   84.839
   2712.73   999.99   85.335
   2727.97   999.99   85.862
   2743.21   999.99   86.360
   2758.45   999.99   86.892
   2773.69   999.99   87.470
   2788.93   999.99   88.057
   2804.17   999.99   88.650
   2819.41   999.99   89.237
   2834.65   999.99   89.780
   2849.89   999.99   90.324
   2865.13   999.99   90.918
   2880.37   999.99   91.535
   2895.61   999.99   92.128
   2910.85   999.99   92.725
   2926.09   999.99   93.307
   2941.33   999.99   93.934
   2956.57   999.99   94.529
   2963.27   999.99   94.751
