 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             DRP 
 Log Date:         78SEP17 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -7.782
      9.14   999.99   -7.818
     12.19   999.99   -7.817
     15.24   999.99   -7.858
     18.29   999.99   -7.857
     21.34   999.99   -7.792
     24.38   999.99   -7.656
     27.43   999.99   -7.570
     30.48   999.99   -7.509
     33.53   999.99   -7.459
     36.58   999.99   -7.448
     39.62   999.99   -7.446
     42.67   999.99   -7.454
     45.72   999.99   -7.442
     48.77   999.99   -7.397
     51.82   999.99   -7.348
     54.86   999.99   -7.304
     57.91   999.99   -7.237
     60.96   999.99   -7.143
     64.01   999.99   -7.054
     67.06   999.99   -6.975
     70.10   999.99   -6.925
     73.15   999.99   -6.878
     76.20   999.99   -6.822
     79.25   999.99   -6.695
     82.30   999.99   -6.558
     85.34   999.99   -6.427
     88.39   999.99   -6.314
     91.44   999.99   -6.197
     94.49   999.99   -6.096
     97.54   999.99   -5.989
    100.58   999.99   -5.892
    103.63   999.99   -5.812
    106.68   999.99   -5.693
    109.73   999.99   -5.592
    112.78   999.99   -5.518
    115.82   999.99   -5.433
    118.87   999.99   -5.344
    121.92   999.99   -5.274
    124.97   999.99   -5.190
    128.02   999.99   -5.086
    131.06   999.99   -5.031
    134.11   999.99   -4.984
    137.16   999.99   -4.878
    140.21   999.99   -4.788
    143.26   999.99   -4.696
    146.30   999.99   -4.611
    149.35   999.99   -4.517
    152.40   999.99   -4.416
    155.45   999.99   -4.330
    158.50   999.99   -4.246
    161.54   999.99   -4.165
    164.59   999.99   -4.083
    167.64   999.99   -4.021
    170.69   999.99   -3.951
    173.74   999.99   -3.891
    176.78   999.99   -3.846
    179.83   999.99   -3.796
    182.88   999.99   -3.694
    185.93   999.99   -3.602
    188.98   999.99   -3.507
    192.02   999.99   -3.435
    195.07   999.99   -3.359
    198.12   999.99   -3.278
    201.17   999.99   -3.216
    204.22   999.99   -3.121
    207.26   999.99   -3.029
    210.31   999.99   -2.937
    213.36   999.99   -2.837
    216.41   999.99   -2.760
    219.46   999.99   -2.698
    222.50   999.99   -2.647
    225.55   999.99   -2.598
    228.60   999.99   -2.566
    231.65   999.99   -2.525
    234.70   999.99   -2.481
    237.74   999.99   -2.452
    240.79   999.99   -2.422
    243.84   999.99   -2.399
    246.89   999.99   -2.349
    249.94   999.99   -2.279
    252.98   999.99   -2.191
    256.03   999.99   -2.092
    259.08   999.99   -1.974
    262.13   999.99   -1.867
    265.18   999.99   -1.723
    268.22   999.99   -1.528
    271.27   999.99   -1.325
    274.32   999.99   -1.156
    277.37   999.99    -.966
    280.42   999.99    -.768
    283.46   999.99    -.594
    286.51   999.99    -.381
    289.56   999.99    -.235
    292.61   999.99    -.066
    295.66   999.99     .088
    298.70   999.99     .226
    301.75   999.99     .372
