 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             EB1 
 Log Date:         81AUG28 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      9.14   999.99   -5.026
     12.19   999.99   -5.145
     15.24   999.99   -5.140
     18.29   999.99   -5.113
     21.34   999.99   -5.079
     24.38   999.99   -5.042
     27.43   999.99   -5.007
     30.48   999.99   -4.967
     33.53   999.99   -4.924
     36.58   999.99   -4.885
     39.62   999.99   -4.842
     42.67   999.99   -4.808
     45.72   999.99   -4.786
     48.77   999.99   -4.750
     51.82   999.99   -4.721
     54.86   999.99   -4.681
     57.91   999.99   -4.640
     60.96   999.99   -4.599
     64.01   999.99   -4.558
     67.06   999.99   -4.505
     70.10   999.99   -4.465
     73.15   999.99   -4.403
     76.20   999.99   -4.349
     79.25   999.99   -4.265
     82.30   999.99   -4.202
     85.34   999.99   -4.112
     88.39   999.99   -4.043
     91.44   999.99   -3.961
     94.49   999.99   -3.864
     97.54   999.99   -3.790
    100.58   999.99   -3.717
    103.63   999.99   -3.650
    106.68   999.99   -3.584
    109.73   999.99   -3.518
    112.78   999.99   -3.454
    115.82   999.99   -3.350
    118.87   999.99   -3.218
    121.92   999.99   -3.103
    124.97   999.99   -3.003
    128.02   999.99   -2.929
    131.06   999.99   -2.855
    134.11   999.99   -2.800
    137.16   999.99   -2.744
    140.21   999.99   -2.682
    143.26   999.99   -2.627
    146.30   999.99   -2.559
    149.35   999.99   -2.497
    152.40   999.99   -2.427
    155.45   999.99   -2.343
    158.50   999.99   -2.271
    161.54   999.99   -2.183
    164.59   999.99   -2.126
    167.64   999.99   -2.063
    170.69   999.99   -2.018
    173.74   999.99   -1.958
    176.78   999.99   -1.897
    179.83   999.99   -1.809
    182.88   999.99   -1.728
    185.93   999.99   -1.667
    188.98   999.99   -1.606
    192.02   999.99   -1.549
    195.07   999.99   -1.501
    198.12   999.99   -1.449
    201.17   999.99   -1.390
    204.22   999.99   -1.321
    207.26   999.99   -1.248
    210.31   999.99   -1.189
    213.36   999.99   -1.116
    216.41   999.99   -1.049
    219.46   999.99   -1.001
    222.50   999.99    -.949
    225.55   999.99    -.897
    228.60   999.99    -.850
    231.65   999.99    -.795
    234.70   999.99    -.732
    237.74   999.99    -.663
    240.79   999.99    -.609
    243.84   999.99    -.537
    246.89   999.99    -.461
    249.94   999.99    -.410
    252.98   999.99    -.353
    256.03   999.99    -.302
    259.08   999.99    -.250
    262.13   999.99    -.203
    265.18   999.99    -.137
    268.22   999.99    -.081
    271.27   999.99    -.020
    274.32   999.99     .051
    277.37   999.99     .111
    280.42   999.99     .186
    283.46   999.99     .251
    286.51   999.99     .319
    289.56   999.99     .404
    292.61   999.99     .480
    295.66   999.99     .543
    298.70   999.99     .632
    301.75   999.99     .709
    304.80   999.99     .820
    307.85   999.99     .855
    310.90   999.99     .910
    313.94   999.99     .983
    316.99   999.99    1.055
    320.04   999.99    1.110
    323.09   999.99    1.135
    326.14   999.99    1.238
    329.18   999.99    1.299
    332.23   999.99    1.373
    335.28   999.99    1.440
    338.33   999.99    1.506
    341.38   999.99    1.567
    344.42   999.99    1.631
    347.47   999.99    1.686
    350.52   999.99    1.761
    353.57   999.99    1.814
    356.62   999.99    1.882
    359.66   999.99    1.953
    362.71   999.99    2.021
    365.76   999.99    2.077
    368.81   999.99    2.137
    371.86   999.99    2.216
    374.90   999.99    2.285
    377.95   999.99    2.358
    381.00   999.99    2.426
    384.05   999.99    2.501
    387.10   999.99    2.581
    390.14   999.99    2.650
    393.19   999.99    2.719
    396.24   999.99    2.775
    399.29   999.99    2.868
    402.34   999.99    2.956
    405.38   999.99    3.026
    408.43   999.99    3.119
    411.48   999.99    3.181
    414.53   999.99    3.256
    417.58   999.99    3.337
    420.62   999.99    3.422
    423.67   999.99    3.510
    426.72   999.99    3.574
    429.77   999.99    3.650
    432.82   999.99    3.736
    435.86   999.99    3.819
    438.91   999.99    3.876
    441.96   999.99    3.984
    445.01   999.99    4.043
    448.06   999.99    4.102
    451.10   999.99    4.167
    454.15   999.99    4.233
    457.20   999.99    4.289
    460.25   999.99    4.347
    463.30   999.99    4.407
    466.34   999.99    4.464
    469.39   999.99    4.531
    472.44   999.99    4.585
    475.49   999.99    4.639
    478.54   999.99    4.710
    481.58   999.99    4.771
    484.63   999.99    4.835
    487.68   999.99    4.894
    490.73   999.99    4.943
    493.78   999.99    5.018
    496.83   999.99    5.069
    499.87   999.99    5.133
    502.92   999.99    5.189
    505.97   999.99    5.254
    509.02   999.99    5.303
    512.07   999.99    5.384
    515.11   999.99    5.443
    518.16   999.99    5.495
    521.21   999.99    5.549
    524.26   999.99    5.637
    527.31   999.99    5.697
    530.35   999.99    5.772
    533.40   999.99    5.864
    536.45   999.99    5.985
    539.50   999.99    6.035
    542.55   999.99    6.055
    545.59   999.99    6.108
    548.64   999.99    6.173
    551.69   999.99    6.241
    554.74   999.99    6.290
    557.79   999.99    6.338
    560.83   999.99    6.397
    563.88   999.99    6.437
    566.93   999.99    6.473
    569.98   999.99    6.653
    573.03   999.99    6.675
    576.07   999.99    6.713
    579.12   999.99    6.737
    582.17   999.99    6.775
    585.22   999.99    6.868
    588.27   999.99    6.922
    591.31   999.99    6.937
