 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             EB1 
 Log Date:         73SEP26 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -4.515
     12.19   999.99   -4.429
     18.29   999.99   -4.242
     24.38   999.99   -4.040
     30.48   999.99   -3.842
     36.58   999.99   -3.641
     42.67   999.99   -3.409
     48.77   999.99   -3.177
     54.86   999.99   -2.938
     60.96   999.99   -2.721
     67.06   999.99   -2.476
     73.15   999.99   -2.319
     79.25   999.99   -2.226
     85.34   999.99   -2.118
     91.44   999.99   -1.997
     97.54   999.99   -1.816
    103.63   999.99   -1.590
    109.73   999.99   -1.382
    115.82   999.99   -1.164
    121.92   999.99    -.879
    128.02   999.99    -.597
    134.11   999.99    -.545
    140.21   999.99    -.615
    146.30   999.99    -.658
    152.40   999.99    -.527
    155.45   999.99    -.465
    158.50   999.99    -.340
    161.54   999.99    -.300
    164.59   999.99    -.268
    167.64   999.99    -.247
    170.69   999.99    -.246
    173.74   999.99    -.258
    176.78   999.99    -.301
    179.83   999.99    -.315
    182.88   999.99    -.327
    185.93   999.99    -.259
    188.98   999.99    -.183
    192.02   999.99    -.112
    195.07   999.99    -.073
    198.12   999.99    -.058
    201.17   999.99    -.062
    204.22   999.99    -.094
    207.26   999.99    -.085
    210.31   999.99    -.066
    213.36   999.99    -.056
    216.41   999.99    -.054
    219.46   999.99    -.012
    222.50   999.99    -.056
    225.55   999.99    -.061
    228.60   999.99    -.063
    231.65   999.99    -.061
    234.70   999.99    -.058
    237.74   999.99    -.051
    240.79   999.99    -.040
    243.84   999.99    -.018
    246.89   999.99     .013
    249.94   999.99     .090
    252.98   999.99     .156
    256.03   999.99     .285
    259.08   999.99     .450
    262.13   999.99     .651
    265.18   999.99     .797
    268.22   999.99     .946
    271.27   999.99    1.091
    274.32   999.99    1.226
    277.37   999.99    1.354
    280.42   999.99    1.451
    283.46   999.99    1.561
    286.51   999.99    1.666
    289.56   999.99    1.744
    292.61   999.99    1.819
    295.66   999.99    1.896
    298.70   999.99    1.948
    301.75   999.99    2.006
    304.80   999.99    2.061
    307.85   999.99    2.109
    310.90   999.99    2.154
    313.94   999.99    2.217
    316.99   999.99    2.278
    320.04   999.99    2.339
    323.09   999.99    2.410
    326.14   999.99    2.475
    329.18   999.99    2.534
    332.23   999.99    2.599
    335.28   999.99    2.653
    338.33   999.99    2.714
    341.38   999.99    2.775
    344.42   999.99    2.840
    347.47   999.99    2.896
    350.52   999.99    2.952
    353.57   999.99    3.020
    356.62   999.99    3.080
    359.66   999.99    3.155
    362.71   999.99    3.215
    365.76   999.99    3.284
    368.81   999.99    3.358
    371.86   999.99    3.428
    374.90   999.99    3.506
    377.95   999.99    3.572
    381.00   999.99    3.640
    384.05   999.99    3.734
    387.10   999.99    3.819
    390.14   999.99    3.888
    393.19   999.99    3.972
    396.24   999.99    4.044
    399.29   999.99    4.113
    402.34   999.99    4.194
    405.38   999.99    4.260
    408.43   999.99    4.343
    411.48   999.99    4.416
    414.53   999.99    4.503
    417.58   999.99    4.583
    420.62   999.99    4.656
    423.67   999.99    4.717
    426.72   999.99    4.801
    429.77   999.99    4.861
    432.82   999.99    4.932
    435.86   999.99    4.990
    438.91   999.99    5.064
    441.96   999.99    5.125
    445.01   999.99    5.183
    448.06   999.99    5.239
    451.10   999.99    5.284
    454.15   999.99    5.327
    457.20   999.99    5.377
    460.25   999.99    5.431
    463.30   999.99    5.487
    466.34   999.99    5.548
    469.39   999.99    5.607
    472.44   999.99    5.663
    475.49   999.99    5.717
    478.54   999.99    5.763
    481.58   999.99    5.834
    484.63   999.99    5.883
    487.68   999.99    5.946
    490.73   999.99    6.014
    493.78   999.99    6.074
    496.83   999.99    6.136
    499.87   999.99    6.191
    502.92   999.99    6.253
    505.97   999.99    6.297
    509.02   999.99    6.341
    512.07   999.99    6.408
    515.11   999.99    6.463
    518.16   999.99    6.543
    521.21   999.99    6.593
    524.26   999.99    6.683
    527.31   999.99    6.756
    530.35   999.99    6.838
    533.40   999.99    6.907
    536.45   999.99    6.976
    539.50   999.99    7.030
    542.55   999.99    7.087
    545.59   999.99    7.138
    548.64   999.99    7.192
    551.69   999.99    7.234
    554.74   999.99    7.282
    557.79   999.99    7.332
    560.83   999.99    7.381
    563.88   999.99    7.419
    566.93   999.99    7.453
    569.98   999.99    7.493
    573.03   999.99    7.632
    576.07   999.99    7.661
    579.12   999.99    7.699
    582.17   999.99    7.731
    585.22   999.99    7.747
    588.27   999.99    7.873
    591.31   999.99    7.946
    594.36   999.99    7.945
