 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             EBS 
 Log Date:         81AUG27 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      3.05   999.99   -4.980
      6.10   999.99   -8.873
      9.14   999.99   -9.937
     12.19   999.99  -10.011
     15.24   999.99   -9.982
     18.29   999.99   -9.864
     21.34   999.99   -9.757
     24.38   999.99   -9.628
     27.43   999.99   -9.544
     30.48   999.99   -9.459
     33.53   999.99   -9.410
     36.58   999.99   -9.359
     39.62   999.99   -9.305
     42.67   999.99   -9.273
     45.72   999.99   -9.217
     48.77   999.99   -9.171
     51.82   999.99   -9.141
     54.86   999.99   -9.094
     57.91   999.99   -9.054
     60.96   999.99   -9.013
     64.01   999.99   -8.973
     67.06   999.99   -8.945
     70.10   999.99   -8.907
     73.15   999.99   -8.879
     76.20   999.99   -8.847
     79.25   999.99   -8.777
     82.30   999.99   -8.760
     85.34   999.99   -8.695
     88.39   999.99   -8.676
     91.44   999.99   -8.649
     94.49   999.99   -8.623
     97.54   999.99   -8.595
    100.58   999.99   -8.565
    103.63   999.99   -8.535
    106.68   999.99   -8.507
    109.73   999.99   -8.529
    112.78   999.99   -8.454
    115.82   999.99   -8.419
    118.87   999.99   -8.387
    121.92   999.99   -8.359
    124.97   999.99   -8.331
    128.02   999.99   -8.298
    131.06   999.99   -8.267
    134.11   999.99   -8.235
    137.16   999.99   -8.202
    140.21   999.99   -8.168
    143.26   999.99   -8.136
    146.30   999.99   -8.100
    149.35   999.99   -8.058
    152.40   999.99   -8.001
    155.45   999.99   -7.948
    158.50   999.99   -7.907
    161.54   999.99   -7.859
    164.59   999.99   -7.785
    167.64   999.99   -7.729
    170.69   999.99   -7.677
    173.74   999.99   -7.638
    176.78   999.99   -7.577
    179.83   999.99   -7.541
    182.88   999.99   -7.496
    185.93   999.99   -7.451
    188.98   999.99   -7.400
    192.02   999.99   -7.350
    195.07   999.99   -7.293
    198.12   999.99   -7.236
    201.17   999.99   -7.188
    204.22   999.99   -7.139
    207.26   999.99   -7.084
    210.31   999.99   -7.027
    213.36   999.99   -6.964
    216.41   999.99   -6.904
    219.46   999.99   -6.833
    222.50   999.99   -6.777
    225.55   999.99   -6.700
    228.60   999.99   -6.657
    231.65   999.99   -6.591
    234.70   999.99   -6.531
    237.74   999.99   -6.476
    240.79   999.99   -6.430
    243.84   999.99   -6.385
    246.89   999.99   -6.334
    249.94   999.99   -6.290
    252.98   999.99   -6.247
    256.03   999.99   -6.203
    259.08   999.99   -6.157
    262.13   999.99   -6.122
    265.18   999.99   -6.064
    268.22   999.99   -6.031
    271.27   999.99   -5.990
    274.32   999.99   -5.947
    277.37   999.99   -5.900
    280.42   999.99   -5.680
    283.46   999.99   -5.805
    286.51   999.99   -5.766
    289.56   999.99   -5.719
    292.61   999.99   -5.676
    295.66   999.99   -5.631
    298.70   999.99   -5.585
    301.75   999.99   -5.542
    304.80   999.99   -5.484
    307.85   999.99   -5.450
    310.90   999.99   -5.413
    313.94   999.99   -5.359
    316.99   999.99   -5.325
    320.04   999.99   -5.276
    323.09   999.99   -5.234
    326.14   999.99   -5.191
    329.18   999.99   -5.151
    332.23   999.99   -5.113
    335.28   999.99   -5.073
    338.33   999.99   -5.037
    341.38   999.99   -4.976
    344.42   999.99   -4.936
    347.47   999.99   -4.895
    350.52   999.99   -4.841
    353.57   999.99   -4.808
    356.62   999.99   -4.758
    359.66   999.99   -4.709
    362.71   999.99   -4.665
    365.76   999.99   -4.614
    368.81   999.99   -4.555
    371.86   999.99   -4.525
    374.90   999.99   -4.457
    377.95   999.99   -4.418
    381.00   999.99   -4.361
    384.05   999.99   -4.326
    387.10   999.99   -4.277
    390.14   999.99   -4.232
    393.19   999.99   -4.197
    396.24   999.99   -4.136
    399.29   999.99   -4.095
    402.34   999.99   -4.034
    405.38   999.99   -3.981
    408.43   999.99   -3.921
    411.48   999.99   -3.872
    414.53   999.99   -3.824
    417.58   999.99   -3.775
    420.62   999.99   -3.715
    423.67   999.99   -3.667
    426.72   999.99   -3.624
    429.77   999.99   -3.567
    432.82   999.99   -3.516
    435.86   999.99   -3.465
    438.91   999.99   -3.400
    441.96   999.99   -3.352
    445.01   999.99   -3.308
    448.06   999.99   -3.251
    451.10   999.99   -3.197
    454.15   999.99   -3.148
    457.20   999.99   -3.110
    460.25   999.99   -3.076
    463.30   999.99   -3.028
    466.34   999.99   -2.984
    469.39   999.99   -2.944
    472.44   999.99   -2.891
    475.49   999.99   -2.845
    478.54   999.99   -2.802
    481.58   999.99   -2.759
    484.63   999.99   -2.713
    487.68   999.99   -2.677
    490.73   999.99   -2.624
    493.78   999.99   -2.586
    496.83   999.99   -2.544
    499.87   999.99   -2.494
    502.92   999.99   -2.443
    505.97   999.99   -2.399
    509.02   999.99   -2.356
    512.07   999.99   -2.299
    515.11   999.99   -2.267
    518.16   999.99   -2.212
    521.21   999.99   -2.164
    524.26   999.99   -2.118
    527.31   999.99   -2.061
    530.35   999.99   -2.011
    533.40   999.99   -1.961
    536.45   999.99   -1.915
    539.50   999.99   -1.879
    542.55   999.99   -1.834
    545.59   999.99   -1.785
    548.64   999.99   -1.732
    550.17   999.99   -1.689
    551.69   999.99   -1.639
    553.21   999.99   -1.592
    554.74   999.99   -1.565
    556.26   999.99   -1.539
    557.79   999.99   -1.513
    559.31   999.99   -1.480
    560.83   999.99   -1.453
    562.36   999.99   -1.432
    563.88   999.99   -1.413
    565.41   999.99   -1.393
    566.93   999.99   -1.379
    568.45   999.99   -1.363
    569.98   999.99   -1.339
    571.50   999.99   -1.265
    573.03   999.99   -1.285
    574.55   999.99   -1.257
    576.07   999.99   -1.226
    577.60   999.99   -1.179
    579.12   999.99   -1.152
    580.65   999.99   -1.127
    582.17   999.99   -1.100
    583.69   999.99   -1.070
    585.22   999.99   -1.037
    586.74   999.99   -1.007
    588.27   999.99    -.966
    589.79   999.99    -.913
    591.31   999.99    -.873
    592.84   999.99    -.831
    594.36   999.99    -.772
    597.41   999.99    -.692
    600.46   999.99    -.596
    603.51   999.99    -.524
    606.55   999.99    -.455
    609.60   999.99    -.383
    612.65   999.99    -.314
    615.70   999.99    -.241
    618.75   999.99    -.143
    621.79   999.99    -.042
    624.84   999.99     .080
    627.89   999.99     .193
    630.94   999.99     .308
    633.99   999.99     .451
    637.03   999.99     .564
    640.08   999.99     .668
    643.13   999.99     .758
    646.18   999.99     .845
    649.23   999.99     .924
    652.27   999.99    1.016
    655.32   999.99    1.090
    658.37   999.99    1.169
    661.42   999.99    1.267
    664.47   999.99    1.351
    667.51   999.99    1.429
    670.56   999.99    1.519
    673.61   999.99    1.602
    676.66   999.99    1.690
    679.71   999.99    1.759
    682.75   999.99    1.844
    685.80   999.99    1.931
    688.85   999.99    2.008
    691.90   999.99    2.081
    694.95   999.99    2.157
    697.99   999.99    2.229
    701.04   999.99    2.295
    704.09   999.99    2.382
    707.14   999.99    2.461
    710.19   999.99    2.534
    713.23   999.99    2.604
