 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             EBS 
 Log Date:         78SEP18 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     10.55   999.99   -9.065
     13.59   999.99   -9.700
     16.64   999.99   -9.826
     19.69   999.99   -9.794
     22.74   999.99   -9.732
     25.79   999.99   -9.655
     28.83   999.99   -9.580
     31.88   999.99   -9.506
     34.93   999.99   -9.430
     37.98   999.99   -9.364
     41.03   999.99   -9.296
     44.07   999.99   -9.241
     47.12   999.99   -9.176
     50.17   999.99   -9.126
     53.22   999.99   -9.076
     56.27   999.99   -9.028
     59.31   999.99   -8.974
     62.36   999.99   -8.934
     65.41   999.99   -8.893
     68.46   999.99   -8.855
     71.51   999.99   -8.825
     74.55   999.99   -8.789
     77.60   999.99   -8.757
     80.65   999.99   -8.727
     83.70   999.99   -8.686
     86.75   999.99   -8.644
     89.79   999.99   -8.610
     92.84   999.99   -8.584
     95.89   999.99   -8.557
     98.94   999.99   -8.529
    101.99   999.99   -8.499
    105.03   999.99   -8.466
    108.08   999.99   -8.439
    111.13   999.99   -8.410
    114.18   999.99   -8.382
    117.23   999.99   -8.353
    120.27   999.99   -8.320
    123.32   999.99   -8.293
    126.37   999.99   -8.259
    129.42   999.99   -8.233
    132.47   999.99   -8.207
    135.51   999.99   -8.173
    138.56   999.99   -8.142
    141.61   999.99   -8.108
    144.66   999.99   -8.069
    147.71   999.99   -8.029
    150.75   999.99   -7.984
    153.80   999.99   -7.931
    156.85   999.99   -7.871
    159.90   999.99   -7.812
    162.95   999.99   -7.752
    165.99   999.99   -7.695
    169.04   999.99   -7.655
    172.09   999.99   -7.581
    175.14   999.99   -7.543
    178.19   999.99   -7.500
    181.23   999.99   -7.466
    184.28   999.99   -7.425
    187.33   999.99   -7.383
    190.38   999.99   -7.337
    193.43   999.99   -7.281
    196.47   999.99   -7.231
    199.52   999.99   -7.176
    202.57   999.99   -7.125
    205.62   999.99   -7.062
    208.67   999.99   -7.020
    211.71   999.99   -6.949
    214.76   999.99   -6.885
    217.81   999.99   -6.819
    220.86   999.99   -6.747
    223.91   999.99   -6.685
    226.95   999.99   -6.626
    230.00   999.99   -6.561
    233.05   999.99   -6.504
    236.10   999.99   -6.448
    239.15   999.99   -6.408
    242.19   999.99   -6.360
    245.24   999.99   -6.313
    248.29   999.99   -6.270
    251.34   999.99   -6.221
    254.39   999.99   -6.182
    257.43   999.99   -6.138
    260.48   999.99   -6.097
    263.53   999.99   -6.052
    266.58   999.99   -6.013
    269.63   999.99   -5.973
    272.67   999.99   -5.927
    275.72   999.99   -5.883
    278.77   999.99   -5.841
    281.82   999.99   -5.794
    284.87   999.99   -5.754
    287.91   999.99   -5.706
    290.96   999.99   -5.661
    294.01   999.99   -5.618
    297.06   999.99   -5.580
    300.11   999.99   -5.536
    303.15   999.99   -5.493
    306.20   999.99   -5.444
    309.25   999.99   -5.397
    312.30   999.99   -5.356
    315.35   999.99   -5.313
    318.39   999.99   -5.269
    321.44   999.99   -5.230
    324.49   999.99   -5.180
    327.54   999.99   -5.142
    330.59   999.99   -5.105
    333.63   999.99   -5.061
    336.68   999.99   -5.024
    339.73   999.99   -4.987
    342.78   999.99   -4.934
    345.83   999.99   -4.886
    348.87   999.99   -4.838
    351.92   999.99   -4.796
    354.97   999.99   -4.756
    358.02   999.99   -4.713
    361.07   999.99   -4.665
    364.11   999.99   -4.614
    367.16   999.99   -4.553
    370.21   999.99   -4.504
    373.26   999.99   -4.454
    376.31   999.99   -4.404
    379.35   999.99   -4.360
    382.40   999.99   -4.313
    385.45   999.99   -4.271
    388.50   999.99   -4.225
    391.55   999.99   -4.186
    394.59   999.99   -4.139
    397.64   999.99   -4.092
    400.69   999.99   -4.045
    403.74   999.99   -3.991
    406.79   999.99   -3.936
    409.83   999.99   -3.877
    412.88   999.99   -3.821
    415.93   999.99   -3.769
    418.98   999.99   -3.725
    422.03   999.99   -3.673
    425.07   999.99   -3.626
    428.12   999.99   -3.582
    431.17   999.99   -3.523
    434.22   999.99   -3.472
    437.27   999.99   -3.415
    440.31   999.99   -3.359
    443.36   999.99   -3.295
    446.41   999.99   -3.245
    449.46   999.99   -3.192
    452.51   999.99   -3.144
    455.55   999.99   -3.098
    458.60   999.99   -3.055
    461.65   999.99   -3.023
    464.70   999.99   -2.980
    467.75   999.99   -2.939
    470.80   999.99   -2.898
    473.84   999.99   -2.856
    476.89   999.99   -2.813
    479.94   999.99   -2.765
    482.99   999.99   -2.717
    486.04   999.99   -2.673
    489.08   999.99   -2.631
    492.13   999.99   -2.583
    495.18   999.99   -2.535
    498.23   999.99   -2.490
    501.28   999.99   -2.442
    504.32   999.99   -2.395
    507.37   999.99   -2.338
    510.42   999.99   -2.299
    513.47   999.99   -2.252
    516.52   999.99   -2.204
    519.56   999.99   -2.156
    522.61   999.99   -2.103
    525.66   999.99   -2.056
    528.71   999.99   -2.004
    531.76   999.99   -1.948
    534.80   999.99   -1.895
    537.85   999.99   -1.834
    540.90   999.99   -1.790
    543.95   999.99   -1.748
    547.00   999.99   -1.703
    550.04   999.99   -1.658
    553.09   999.99   -1.613
    556.14   999.99   -1.558
    559.19   999.99   -1.496
    562.24   999.99   -1.423
    565.28   999.99   -1.368
    568.33   999.99   -1.320
    571.38   999.99   -1.313
    574.43   999.99   -1.308
    577.48   999.99   -1.278
    580.52   999.99   -1.227
    583.57   999.99   -1.142
    586.62   999.99   -1.058
    589.67   999.99    -.989
    592.72   999.99    -.915
    595.76   999.99    -.822
    598.81   999.99    -.722
    601.86   999.99    -.625
    604.91   999.99    -.546
    607.96   999.99    -.445
    611.00   999.99    -.359
    614.05   999.99    -.261
    617.10   999.99    -.178
    620.15   999.99    -.087
    623.20   999.99     .005
    626.24   999.99     .098
    629.29   999.99     .196
    632.34   999.99     .311
    635.39   999.99     .409
    638.44   999.99     .511
    641.48   999.99     .593
    644.53   999.99     .667
    647.58   999.99     .752
    650.63   999.99     .853
    653.68   999.99     .937
    656.72   999.99    1.020
    659.77   999.99    1.105
    662.82   999.99    1.188
    665.87   999.99    1.268
    668.92   999.99    1.354
    671.96   999.99    1.419
    675.01   999.99    1.518
    678.06   999.99    1.600
