 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ESN 
 Log Date:         84AUG10 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.40   999.99   -8.006
      6.71   999.99   -8.105
      7.01   999.99   -8.133
      7.32   999.99   -8.146
      7.62   999.99   -8.162
      7.92   999.99   -8.188
      8.23   999.99   -8.203
      8.53   999.99   -9.090
      8.84   999.99   -9.328
      9.14   999.99   -9.548
      9.45   999.99   -9.817
      9.75   999.99   -9.824
     10.06   999.99   -9.832
     10.36   999.99   -9.838
     10.67   999.99   -9.840
     10.97   999.99   -9.842
     11.28   999.99   -9.835
     11.58   999.99   -9.833
     11.89   999.99   -9.828
     12.19   999.99   -9.820
     12.50   999.99   -9.815
     12.80   999.99   -9.807
     13.11   999.99   -9.799
     13.41   999.99   -9.794
     13.72   999.99   -9.778
     14.02   999.99   -9.772
     14.33   999.99   -9.765
     14.63   999.99   -9.755
     14.94   999.99   -9.747
     15.24   999.99   -9.742
     15.54   999.99   -9.738
     15.85   999.99   -9.730
     16.15   999.99   -9.720
     16.46   999.99   -9.712
     16.76   999.99   -9.705
     17.07   999.99   -9.698
     17.37   999.99   -9.691
     17.68   999.99   -9.686
     17.98   999.99   -9.678
     18.29   999.99   -9.670
     18.59   999.99   -9.664
     18.90   999.99   -9.653
     19.20   999.99   -9.645
     19.51   999.99   -9.640
     19.81   999.99   -9.628
     20.12   999.99   -9.620
     20.42   999.99   -9.616
     20.73   999.99   -9.610
     21.03   999.99   -9.604
     21.34   999.99   -9.601
     21.64   999.99   -9.594
     21.95   999.99   -9.587
     22.25   999.99   -9.582
     22.56   999.99   -9.574
     22.86   999.99   -9.570
     23.16   999.99   -9.563
     23.47   999.99   -9.556
     23.77   999.99   -9.548
     24.08   999.99   -9.541
     24.38   999.99   -9.536
     24.69   999.99   -9.534
     24.99   999.99   -9.526
     25.30   999.99   -9.519
     25.60   999.99   -9.515
     25.91   999.99   -9.509
     26.21   999.99   -9.503
     26.52   999.99   -9.497
     26.82   999.99   -9.494
     27.13   999.99   -9.488
     27.43   999.99   -9.486
     27.74   999.99   -9.482
     28.04   999.99   -9.477
     28.35   999.99   -9.474
     28.65   999.99   -9.469
     28.96   999.99   -9.463
     29.26   999.99   -9.459
     29.57   999.99   -9.453
     29.87   999.99   -9.449
     30.18   999.99   -9.443
     30.48   999.99   -9.435
     30.78   999.99   -9.414
     31.09   999.99   -9.412
     31.39   999.99   -9.405
     31.70   999.99   -9.403
     32.00   999.99   -9.400
     32.31   999.99   -9.397
     32.61   999.99   -9.394
     32.92   999.99   -9.391
     33.22   999.99   -9.387
     33.53   999.99   -9.383
     33.83   999.99   -9.379
     34.14   999.99   -9.373
     34.44   999.99   -9.368
     34.75   999.99   -9.362
     35.05   999.99   -9.360
     35.36   999.99   -9.358
     35.66   999.99   -9.354
     35.97   999.99   -9.352
     36.27   999.99   -9.347
     36.58   999.99   -9.339
     36.88   999.99   -9.337
     37.19   999.99   -9.330
     37.49   999.99   -9.321
     37.80   999.99   -9.318
     38.10   999.99   -9.314
     38.40   999.99   -9.309
     38.71   999.99   -9.305
     39.01   999.99   -9.299
     39.32   999.99   -9.293
     39.62   999.99   -9.289
     39.93   999.99   -9.282
     40.23   999.99   -9.278
     40.54   999.99   -9.273
     40.84   999.99   -9.267
     41.15   999.99   -9.264
     41.45   999.99   -9.260
     41.76   999.99   -9.255
     42.06   999.99   -9.252
     42.37   999.99   -9.250
     42.67   999.99   -9.245
     42.98   999.99   -9.241
     43.28   999.99   -9.236
     43.59   999.99   -9.231
     43.89   999.99   -9.226
     44.20   999.99   -9.221
     44.50   999.99   -9.216
     44.81   999.99   -9.210
     45.11   999.99   -9.200
