 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ESN 
 Log Date:         80SEP13 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      9.14   999.99   -8.534
     12.19   999.99   -8.986
     15.24   999.99   -9.175
     18.29   999.99   -9.203
     21.34   999.99   -9.180
     24.38   999.99   -9.141
     27.43   999.99   -9.077
     30.48   999.99   -9.016
     33.53   999.99   -8.959
     36.58   999.99   -8.912
     39.62   999.99   -8.865
     42.67   999.99   -8.817
     45.72   999.99   -8.772
     48.77   999.99   -8.711
     51.82   999.99   -8.671
     54.86   999.99   -8.617
     57.91   999.99   -8.550
     60.96   999.99   -8.486
     64.01   999.99   -8.404
     67.06   999.99   -8.317
     70.10   999.99   -8.232
     73.15   999.99   -8.146
     76.20   999.99   -8.074
     79.25   999.99   -7.999
     82.30   999.99   -7.938
     85.34   999.99   -7.864
     88.39   999.99   -7.783
     91.44   999.99   -7.697
     94.49   999.99   -7.597
     97.54   999.99   -7.516
    100.58   999.99   -7.427
    103.63   999.99   -7.340
    106.68   999.99   -7.242
    109.73   999.99   -7.136
    112.78   999.99   -7.055
    115.82   999.99   -6.958
    118.87   999.99   -6.899
    121.92   999.99   -6.820
    124.97   999.99   -6.736
    128.02   999.99   -6.719
    131.06   999.99   -6.572
    134.11   999.99   -6.458
    137.16   999.99   -6.390
    140.21   999.99   -6.303
    143.26   999.99   -6.219
    146.30   999.99   -6.144
    149.35   999.99   -6.063
    152.40   999.99   -5.994
    155.45   999.99   -5.927
    158.50   999.99   -5.876
    161.54   999.99   -5.812
    164.59   999.99   -5.740
    167.64   999.99   -5.666
    170.69   999.99   -5.569
    173.74   999.99   -5.499
    176.78   999.99   -5.413
    179.83   999.99   -5.272
    182.88   999.99   -5.221
    185.93   999.99   -5.057
    188.98   999.99   -4.937
    192.02   999.99   -4.837
    195.07   999.99   -4.704
    198.12   999.99   -4.615
    201.17   999.99   -4.526
    204.22   999.99   -4.425
    207.26   999.99   -4.328
    210.31   999.99   -4.256
    213.36   999.99   -4.181
    216.41   999.99   -4.086
    219.46   999.99   -4.037
    222.50   999.99   -3.963
    225.55   999.99   -3.888
    228.60   999.99   -3.836
    231.65   999.99   -3.776
    234.70   999.99   -3.713
    237.74   999.99   -3.622
    240.79   999.99   -3.540
    243.84   999.99   -3.458
    246.89   999.99   -3.362
    249.94   999.99   -3.275
    252.98   999.99   -3.203
    256.03   999.99   -3.133
    259.08   999.99   -3.073
    262.13   999.99   -3.023
    265.18   999.99   -2.975
    268.22   999.99   -2.939
    271.27   999.99   -2.888
    274.32   999.99   -2.810
    277.37   999.99   -2.698
    280.42   999.99   -2.592
    283.46   999.99   -2.502
    286.51   999.99   -2.383
    289.56   999.99   -2.278
    292.61   999.99   -2.149
    295.66   999.99   -2.010
    298.70   999.99   -1.909
    301.75   999.99   -1.844
    304.80   999.99   -1.759
    307.85   999.99   -1.668
    310.90   999.99   -1.549
    313.94   999.99   -1.451
    316.99   999.99   -1.356
    320.04   999.99   -1.222
    323.09   999.99   -1.105
    326.14   999.99   -1.019
    329.18   999.99    -.924
    332.23   999.99    -.792
    335.28   999.99    -.666
    338.33   999.99    -.502
    341.38   999.99    -.376
    344.42   999.99    -.269
    347.47   999.99    -.145
    350.52   999.99    -.013
    353.57   999.99     .117
    356.62   999.99     .238
    359.66   999.99     .349
    362.71   999.99     .493
    365.76   999.99     .630
    368.81   999.99     .751
    371.86   999.99     .882
    374.90   999.99    1.009
    377.95   999.99    1.134
    381.00   999.99    1.241
    384.05   999.99    1.364
    387.10   999.99    1.492
    390.14   999.99    1.626
    393.19   999.99    1.740
    396.24   999.99    1.802
    399.29   999.99    2.000
    402.34   999.99    2.137
    405.38   999.99    2.274
    408.43   999.99    2.370
    411.48   999.99    2.467
    414.53   999.99    2.600
    417.58   999.99    2.709
    420.62   999.99    2.764
    423.67   999.99    2.923
    426.72   999.99    3.027
    429.77   999.99    3.140
    432.82   999.99    3.246
    435.86   999.99    3.346
    438.91   999.99    3.457
    441.96   999.99    3.590
    445.01   999.99    3.700
    448.06   999.99    3.796
    451.10   999.99    3.906
    454.15   999.99    4.048
    457.20   999.99    4.172
    460.25   999.99    4.290
    463.30   999.99    4.391
    466.34   999.99    4.504
    469.39   999.99    4.615
    472.44   999.99    4.729
    475.49   999.99    4.857
    478.54   999.99    4.964
    481.58   999.99    5.104
    484.63   999.99    5.217
    487.68   999.99    5.341
    490.73   999.99    5.463
    493.78   999.99    5.606
    496.83   999.99    5.737
    499.87   999.99    5.855
    502.92   999.99    5.969
    505.97   999.99    6.097
    509.02   999.99    6.247
    512.07   999.99    6.379
    515.11   999.99    6.490
    518.16   999.99    6.640
    521.21   999.99    6.775
    524.26   999.99    6.915
    527.31   999.99    7.060
    530.35   999.99    7.170
    533.40   999.99    7.307
    536.45   999.99    7.493
    539.50   999.99    7.598
    542.55   999.99    7.745
    545.59   999.99    7.884
    548.64   999.99    7.990
    551.69   999.99    8.101
    554.74   999.99    8.239
    557.79   999.99    8.358
    560.83   999.99    8.443
    563.88   999.99    8.566
    566.93   999.99    8.655
    569.98   999.99    8.720
    573.03   999.99    8.930
    576.07   999.99    9.223
    579.12   999.99    9.266
    582.17   999.99    9.317
    585.22   999.99    9.393
    588.27   999.99    9.453
    591.31   999.99    9.658
    594.36   999.99    9.822
    597.41   999.99    9.875
    600.46   999.99    9.889
