 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ETK 
 Log Date:         84AUG01 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.78   999.99   -9.263
     31.09   999.99   -9.261
     31.39   999.99   -9.259
     31.70   999.99   -9.247
     32.00   999.99   -9.244
     32.31   999.99   -9.237
     32.61   999.99   -9.226
     32.92   999.99   -9.218
     33.22   999.99   -9.208
     33.53   999.99   -9.198
     33.83   999.99   -9.187
     34.14   999.99   -9.175
     34.44   999.99   -9.169
     34.75   999.99   -9.162
     35.05   999.99   -9.149
     35.36   999.99   -9.143
     35.66   999.99   -9.135
     35.97   999.99   -9.126
     36.27   999.99   -9.119
     36.58   999.99   -9.109
     36.88   999.99   -9.094
     37.19   999.99   -9.086
     37.49   999.99   -9.075
     37.80   999.99   -9.069
     38.10   999.99   -9.058
     38.40   999.99   -9.044
     38.71   999.99   -9.038
     39.01   999.99   -9.031
     39.32   999.99   -9.024
     39.62   999.99   -9.017
     39.93   999.99   -9.005
     40.23   999.99   -9.000
     40.54   999.99   -8.991
     40.84   999.99   -8.973
     41.15   999.99   -8.965
     41.45   999.99   -8.953
     41.76   999.99   -8.943
     42.06   999.99   -8.934
     42.37   999.99   -8.925
     42.67   999.99   -8.920
     42.98   999.99   -8.914
     43.28   999.99   -8.901
     43.59   999.99   -8.896
     43.89   999.99   -8.891
     44.20   999.99   -8.884
     44.50   999.99   -8.878
     44.81   999.99   -8.867
     45.11   999.99   -8.860
     45.42   999.99   -8.852
     45.72   999.99   -8.838
     46.02   999.99   -8.832
     46.33   999.99   -8.825
     46.63   999.99   -8.819
     46.94   999.99   -8.814
     47.24   999.99   -8.804
     47.55   999.99   -8.792
     47.85   999.99   -8.788
     48.16   999.99   -8.779
     48.46   999.99   -8.772
     48.77   999.99   -8.765
     49.07   999.99   -8.755
     49.38   999.99   -8.749
     49.68   999.99   -8.743
     49.99   999.99   -8.732
     50.29   999.99   -8.725
     50.60   999.99   -8.716
     50.90   999.99   -8.710
     51.21   999.99   -8.704
     51.51   999.99   -8.693
     51.82   999.99   -8.685
     52.12   999.99   -8.678
     52.43   999.99   -8.670
     52.73   999.99   -8.663
     53.04   999.99   -8.656
     53.34   999.99   -8.648
     53.64   999.99   -8.640
     53.95   999.99   -8.630
     54.25   999.99   -8.622
     54.56   999.99   -8.615
     54.86   999.99   -8.600
     55.17   999.99   -8.591
     55.47   999.99   -8.584
     55.78   999.99   -8.572
     56.08   999.99   -8.566
     56.39   999.99   -8.560
     56.69   999.99   -8.555
     57.00   999.99   -8.548
     57.30   999.99   -8.534
     57.61   999.99   -8.528
     57.91   999.99   -8.521
     58.22   999.99   -8.507
     58.52   999.99   -8.500
     58.83   999.99   -8.489
     59.13   999.99   -8.476
     59.44   999.99   -8.471
     59.74   999.99   -8.461
     60.05   999.99   -8.454
     60.35   999.99   -8.447
     60.66   999.99   -8.436
     60.96   999.99   -8.431
