 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             ETK 
 Log Date:         79SEP12 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -9.564
     15.24   999.99   -9.446
     18.29   999.99   -9.345
     21.34   999.99   -9.230
     24.38   999.99   -9.128
     27.43   999.99   -9.039
     30.48   999.99   -8.963
     33.53   999.99   -8.885
     36.58   999.99   -8.822
     39.62   999.99   -8.763
     42.67   999.99   -8.690
     45.72   999.99   -8.627
     48.77   999.99   -8.553
     51.82   999.99   -8.490
     54.86   999.99   -8.395
     57.91   999.99   -8.318
     60.96   999.99   -8.231
     64.01   999.99   -8.115
     67.06   999.99   -8.024
     70.10   999.99   -7.922
     73.15   999.99   -7.821
     76.20   999.99   -7.714
     79.25   999.99   -7.599
     82.30   999.99   -7.504
     85.34   999.99   -7.392
     88.39   999.99   -7.261
     91.44   999.99   -7.132
     94.49   999.99   -7.021
     97.54   999.99   -6.891
    100.58   999.99   -6.764
    103.63   999.99   -6.633
    106.68   999.99   -6.524
    109.73   999.99   -6.388
    112.78   999.99   -6.278
    115.82   999.99   -6.129
    118.87   999.99   -5.944
    121.92   999.99   -5.762
    124.97   999.99   -5.590
    128.02   999.99   -5.408
    131.06   999.99   -5.247
    134.11   999.99   -5.099
    137.16   999.99   -4.922
    140.21   999.99   -4.777
    143.26   999.99   -4.617
    146.30   999.99   -4.443
    149.35   999.99   -4.272
    152.40   999.99   -4.131
    155.45   999.99   -3.994
    158.50   999.99   -3.845
    161.54   999.99   -3.712
    164.59   999.99   -3.561
    167.64   999.99   -3.418
    170.69   999.99   -3.289
    173.74   999.99   -3.153
    176.78   999.99   -3.031
    179.83   999.99   -2.931
    182.88   999.99   -2.815
    185.93   999.99   -2.694
    188.98   999.99   -2.588
    192.02   999.99   -2.475
    195.07   999.99   -2.360
    198.12   999.99   -2.266
    201.17   999.99   -2.161
    204.22   999.99   -2.063
    207.26   999.99   -1.954
    210.31   999.99   -1.838
    213.36   999.99   -1.712
    216.41   999.99   -1.601
    219.46   999.99   -1.476
    222.50   999.99   -1.354
    225.55   999.99   -1.215
    228.60   999.99   -1.056
    231.65   999.99    -.930
    234.70   999.99    -.798
    237.74   999.99    -.672
    240.79   999.99    -.564
    243.84   999.99    -.458
    246.89   999.99    -.395
    249.94   999.99    -.047
    252.98   999.99     .052
    256.03   999.99     .137
    259.08   999.99     .226
    262.13   999.99     .311
    265.18   999.99     .386
    268.22   999.99     .790
    271.27   999.99     .896
    274.32   999.99    1.004
    277.37   999.99    1.112
    280.42   999.99    1.245
    283.46   999.99    1.380
    286.51   999.99    1.495
    289.56   999.99    1.657
    292.61   999.99    1.797
    295.66   999.99    1.918
    298.70   999.99    2.097
    301.75   999.99    2.215
    304.80   999.99    2.366
    307.85   999.99    2.509
    310.90   999.99    2.648
    313.94   999.99    2.778
    316.99   999.99    2.887
    320.04   999.99    3.020
    323.09   999.99    3.144
    326.14   999.99    3.275
    329.18   999.99    3.393
    332.23   999.99    3.511
    335.28   999.99    3.627
    338.33   999.99    3.743
    341.38   999.99    3.891
    344.42   999.99    3.995
