 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             FCK 
 Log Date:         81AUG21 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -9.181
     15.24   999.99   -9.079
     18.29   999.99   -8.952
     21.34   999.99   -8.791
     24.38   999.99   -8.701
     27.43   999.99   -8.610
     30.48   999.99   -8.534
     33.53   999.99   -8.458
     36.58   999.99   -8.383
     39.62   999.99   -8.328
     42.67   999.99   -8.271
     45.72   999.99   -8.229
     48.77   999.99   -8.167
     51.82   999.99   -8.121
     54.86   999.99   -8.068
     57.91   999.99   -8.020
     60.96   999.99   -7.978
     64.01   999.99   -7.925
     67.06   999.99   -7.876
     70.10   999.99   -7.817
     73.15   999.99   -7.748
     76.20   999.99   -7.677
     79.25   999.99   -7.591
     82.30   999.99   -7.514
     85.34   999.99   -7.423
     88.39   999.99   -7.314
     91.44   999.99   -7.212
     94.49   999.99   -7.130
     97.54   999.99   -7.019
    100.58   999.99   -6.916
    103.63   999.99   -6.798
    106.68   999.99   -6.682
    109.73   999.99   -6.544
    112.78   999.99   -6.406
    115.82   999.99   -6.290
    118.87   999.99   -6.172
    121.92   999.99   -6.022
    124.97   999.99   -5.881
    128.02   999.99   -5.763
    131.06   999.99   -5.603
    134.11   999.99   -5.481
    137.16   999.99   -5.346
    140.21   999.99   -5.209
    143.26   999.99   -5.083
    146.30   999.99   -4.946
    149.35   999.99   -4.800
    152.40   999.99   -4.658
    155.45   999.99   -4.506
    158.50   999.99   -4.350
    161.54   999.99   -4.200
    164.59   999.99   -4.022
    167.64   999.99   -3.853
    170.69   999.99   -3.692
    173.74   999.99   -3.534
    176.78   999.99   -3.400
    179.83   999.99   -3.241
    182.88   999.99   -3.091
    185.93   999.99   -2.939
    188.98   999.99   -2.787
    192.02   999.99   -2.625
    195.07   999.99   -2.506
    198.12   999.99   -2.356
    201.17   999.99   -2.223
    204.22   999.99   -2.101
    207.26   999.99   -1.935
    256.03   999.99     .129
    259.08   999.99     .248
    262.13   999.99     .359
    265.18   999.99     .478
    268.22   999.99     .584
    271.27   999.99     .718
    274.32   999.99     .844
    277.37   999.99     .942
    280.42   999.99    1.069
    283.46   999.99    1.197
    286.51   999.99    1.295
    289.56   999.99    1.400
    292.61   999.99    1.501
    295.66   999.99    1.602
    298.70   999.99    1.727
    301.75   999.99    1.829
    304.80   999.99    1.925
    307.85   999.99    2.056
    310.90   999.99    2.172
    313.94   999.99    2.279
    316.99   999.99    2.395
    320.04   999.99    2.524
    323.09   999.99    2.630
    326.14   999.99    2.739
    329.18   999.99    2.878
    332.23   999.99    2.989
    335.28   999.99    3.100
    338.33   999.99    3.214
    341.38   999.99    3.323
    344.42   999.99    3.434
