 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             FCK 
 Log Date:         84AUG07 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.40   999.99   -9.303
      6.71   999.99   -9.317
      7.01   999.99   -9.338
      7.32   999.99   -9.362
      7.62   999.99   -9.384
      7.92   999.99   -9.405
      8.23   999.99   -9.436
      8.53   999.99   -9.451
      8.84   999.99   -9.472
      9.14   999.99   -9.499
      9.45   999.99   -9.514
      9.75   999.99   -9.709
     10.06   999.99   -9.873
     10.36   999.99   -9.960
     10.67   999.99  -10.042
     10.97   999.99  -10.112
     11.28   999.99  -10.139
     11.58   999.99  -10.157
     11.89   999.99  -10.166
     12.19   999.99  -10.171
     12.50   999.99  -10.165
     12.80   999.99  -10.148
     13.11   999.99  -10.124
     13.41   999.99  -10.099
     13.72   999.99  -10.091
     14.02   999.99  -10.067
     14.33   999.99  -10.034
     14.63   999.99  -10.013
     14.94   999.99   -9.984
     15.24   999.99   -9.937
     15.54   999.99   -9.912
     15.85   999.99   -9.890
     16.15   999.99   -9.854
     16.46   999.99   -9.829
     16.76   999.99   -9.794
     17.07   999.99   -9.751
     17.37   999.99   -9.728
     17.68   999.99   -9.702
     17.98   999.99   -9.689
     18.29   999.99   -9.669
     18.59   999.99   -9.635
     18.90   999.99   -9.614
     19.20   999.99   -9.588
     19.51   999.99   -9.557
     19.81   999.99   -9.539
     20.12   999.99   -9.509
     20.42   999.99   -9.467
     20.73   999.99   -9.436
     21.03   999.99   -9.414
     21.34   999.99   -9.402
     21.64   999.99   -9.373
     21.95   999.99   -9.338
     22.25   999.99   -9.316
     22.56   999.99   -9.300
     22.86   999.99   -9.282
     23.16   999.99   -9.273
     23.47   999.99   -9.256
     23.77   999.99   -9.242
     24.08   999.99   -9.225
     24.38   999.99   -9.205
     24.69   999.99   -9.186
     24.99   999.99   -9.165
     25.30   999.99   -9.140
     25.60   999.99   -9.114
     25.91   999.99   -9.088
     26.21   999.99   -9.059
     26.52   999.99   -9.036
     26.82   999.99   -9.012
     27.13   999.99   -8.988
     27.43   999.99   -8.977
     27.74   999.99   -8.961
     28.04   999.99   -8.944
     28.35   999.99   -8.930
     28.65   999.99   -8.915
     28.96   999.99   -8.901
     29.26   999.99   -8.885
     29.57   999.99   -8.865
     29.87   999.99   -8.851
     30.18   999.99   -8.843
     30.48   999.99   -8.831
     30.78   999.99   -8.814
     31.09   999.99   -8.801
     31.39   999.99   -8.780
     31.70   999.99   -8.772
     32.00   999.99   -8.760
     32.31   999.99   -8.743
     32.61   999.99   -8.734
     32.92   999.99   -8.723
     33.22   999.99   -8.705
     33.53   999.99   -8.697
     33.83   999.99   -8.689
     34.14   999.99   -8.676
     34.44   999.99   -8.669
     34.75   999.99   -8.657
     35.05   999.99   -8.644
     35.36   999.99   -8.636
     35.66   999.99   -8.627
     35.97   999.99   -8.617
     36.27   999.99   -8.610
     36.58   999.99   -8.599
     36.88   999.99   -8.590
     37.19   999.99   -8.582
     37.49   999.99   -8.574
     37.80   999.99   -8.567
     38.10   999.99   -8.559
     38.40   999.99   -8.547
     38.71   999.99   -8.536
     39.01   999.99   -8.519
     39.32   999.99   -8.502
     39.62   999.99   -8.497
     39.93   999.99   -8.493
     40.23   999.99   -8.486
     40.54   999.99   -8.481
     40.84   999.99   -8.474
     41.15   999.99   -8.464
     41.45   999.99   -8.461
     41.76   999.99   -8.454
     42.06   999.99   -8.446
     42.37   999.99   -8.442
