 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             FCK 
 Log Date:         80SEP12 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -9.082
     15.24   999.99   -8.992
     18.29   999.99   -8.836
     21.34   999.99   -8.706
     24.38   999.99   -8.599
     27.43   999.99   -8.501
     30.48   999.99   -8.411
     33.53   999.99   -8.351
     36.58   999.99   -8.290
     39.62   999.99   -8.229
     42.67   999.99   -8.170
     45.72   999.99   -8.114
     48.77   999.99   -8.064
     51.82   999.99   -8.010
     54.86   999.99   -7.951
     57.91   999.99   -7.897
     60.96   999.99   -7.849
     64.01   999.99   -7.801
     67.06   999.99   -7.755
     70.10   999.99   -7.700
     73.15   999.99   -7.629
     76.20   999.99   -7.538
     79.25   999.99   -7.452
     82.30   999.99   -7.351
     85.34   999.99   -7.259
     88.39   999.99   -7.177
     91.44   999.99   -7.065
     94.49   999.99   -6.982
     97.54   999.99   -6.874
    100.58   999.99   -6.777
    103.63   999.99   -6.655
    106.68   999.99   -6.506
    109.73   999.99   -6.415
    112.78   999.99   -6.285
    115.82   999.99   -6.128
    118.87   999.99   -5.984
    121.92   999.99   -5.849
    124.97   999.99   -5.752
    128.02   999.99   -5.592
    131.06   999.99   -5.470
    134.11   999.99   -5.331
    137.16   999.99   -5.196
    140.21   999.99   -5.064
    143.26   999.99   -4.931
    146.30   999.99   -4.795
    149.35   999.99   -4.660
    152.40   999.99   -4.488
    155.45   999.99   -4.334
    158.50   999.99   -4.167
    161.54   999.99   -4.012
    164.59   999.99   -3.847
    167.64   999.99   -3.668
    170.69   999.99   -3.536
    173.74   999.99   -3.348
    176.78   999.99   -3.193
    179.83   999.99   -3.053
    182.88   999.99   -2.907
    185.93   999.99   -2.726
    188.98   999.99   -2.601
    192.02   999.99   -2.451
    195.07   999.99   -2.301
    198.12   999.99   -2.162
    201.17   999.99   -2.014
    204.22   999.99   -1.843
    207.26   999.99   -1.728
    210.31   999.99   -1.587
    213.36   999.99   -1.465
    216.41   999.99   -1.324
    219.46   999.99   -1.218
    222.50   999.99   -1.067
    225.55   999.99    -.951
    228.60   999.99    -.799
    231.65   999.99    -.656
    234.70   999.99    -.566
    237.74   999.99    -.424
    240.79   999.99    -.291
    243.84   999.99    -.198
    246.89   999.99    -.070
    249.94   999.99     .047
    252.98   999.99     .214
    256.03   999.99     .305
    259.08   999.99     .414
    262.13   999.99     .541
    265.18   999.99     .667
    268.22   999.99     .772
    271.27   999.99     .892
    274.32   999.99    1.021
    277.37   999.99    1.114
    280.42   999.99    1.237
    283.46   999.99    1.355
    286.51   999.99    1.457
    289.56   999.99    1.571
    292.61   999.99    1.684
    295.66   999.99    1.792
    298.70   999.99    1.907
    301.75   999.99    2.015
    304.80   999.99    2.117
    307.85   999.99    2.242
    310.90   999.99    2.352
    313.94   999.99    2.470
    316.99   999.99    2.582
    320.04   999.99    2.735
    323.09   999.99    2.811
    326.14   999.99    2.919
    329.18   999.99    3.065
    332.23   999.99    3.147
    335.28   999.99    3.264
    338.33   999.99    3.390
    341.38   999.99    3.510
    344.42   999.99    3.623
    347.47   999.99    3.745
    350.52   999.99    3.855
    353.57   999.99    3.972
    356.62   999.99    4.095
    359.66   999.99    4.212
    362.71   999.99    4.308
    365.76   999.99    4.428
    368.81   999.99    4.543
    371.86   999.99    4.635
    374.90   999.99    4.748
    377.95   999.99    4.864
    381.00   999.99    4.986
    384.05   999.99    5.131
    387.10   999.99    5.245
    390.14   999.99    5.368
    393.19   999.99    5.482
    396.24   999.99    5.611
    399.29   999.99    5.702
    402.34   999.99    5.833
    405.38   999.99    5.944
    408.43   999.99    6.098
    411.48   999.99    6.181
    414.53   999.99    6.275
    417.58   999.99    6.401
    420.62   999.99    6.516
    423.67   999.99    6.624
    426.72   999.99    6.745
    429.77   999.99    6.845
    432.82   999.99    6.955
    435.86   999.99    7.035
    438.91   999.99    7.157
    441.96   999.99    7.279
    445.01   999.99    7.383
    448.06   999.99    7.471
    451.10   999.99    7.581
    454.15   999.99    7.692
    457.20   999.99    7.807
    460.25   999.99    7.933
    463.30   999.99    8.049
    466.34   999.99    8.138
    469.39   999.99    8.258
    472.44   999.99    8.376
    475.49   999.99    8.486
    478.54   999.99    8.597
    481.58   999.99    8.704
    484.63   999.99    8.811
    487.68   999.99    8.914
    490.73   999.99    9.022
    493.78   999.99    9.142
    496.83   999.99    9.218
    499.87   999.99    9.315
    502.92   999.99    9.408
    505.97   999.99    9.479
    509.02   999.99    9.515
    512.07   999.99   10.000
    515.11   999.99   10.082
    518.16   999.99   10.164
    521.21   999.99   10.276
    524.26   999.99   10.376
    527.31   999.99   10.501
    530.35   999.99   10.614
    533.40   999.99   10.739
    536.45   999.99   10.871
