 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             FCK 
 Log Date:         77DEC11 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     23.16   999.99   -7.292
     27.13   999.99   -7.129
     29.26   999.99   -7.068
     32.31   999.99   -6.943
     35.36   999.99   -6.845
     38.40   999.99   -6.719
     41.45   999.99   -6.566
     44.50   999.99   -6.429
     47.55   999.99   -6.281
     50.60   999.99   -6.141
     53.64   999.99   -6.006
     56.69   999.99   -5.861
     59.74   999.99   -5.741
     62.79   999.99   -5.691
     65.84   999.99   -5.662
     68.88   999.99   -5.666
     71.93   999.99   -5.660
     74.98   999.99   -5.550
     78.03   999.99   -5.403
     81.08   999.99   -5.309
     84.12   999.99   -5.239
     87.17   999.99   -5.138
     90.22   999.99   -5.083
     93.27   999.99   -5.014
     96.32   999.99   -4.933
     99.36   999.99   -4.877
    102.41   999.99   -4.899
    105.46   999.99   -4.925
    108.51   999.99   -4.903
    111.56   999.99   -4.849
    114.61   999.99   -4.771
    117.65   999.99   -4.719
    120.70   999.99   -4.645
    123.75   999.99   -4.614
    126.80   999.99   -4.589
    129.85   999.99   -4.500
    132.89   999.99   -4.421
    135.94   999.99   -4.301
    138.99   999.99   -4.156
    142.04   999.99   -3.951
    145.09   999.99   -3.692
    148.13   999.99   -3.520
    151.18   999.99   -3.306
    154.23   999.99   -3.113
    157.28   999.99   -2.912
    160.33   999.99   -2.740
    163.37   999.99   -2.549
    166.42   999.99   -2.334
    169.47   999.99   -2.105
    172.52   999.99   -1.973
    175.57   999.99   -1.819
    178.61   999.99   -1.679
    181.66   999.99   -1.523
    184.71   999.99   -1.373
    187.76   999.99   -1.218
    190.81   999.99   -1.069
    193.85   999.99    -.905
    196.90   999.99    -.731
    199.95   999.99    -.614
    203.00   999.99    -.485
    206.05   999.99    -.350
    209.09   999.99    -.151
    212.14   999.99    -.033
    218.24   999.99     .080
    221.29   999.99     .185
    224.33   999.99     .328
    227.38   999.99     .437
    230.43   999.99     .575
    233.48   999.99     .698
    236.53   999.99     .817
    239.57   999.99     .922
    242.62   999.99    1.004
    245.67   999.99    1.171
    248.72   999.99    1.328
    251.77   999.99    1.405
    254.81   999.99    1.542
    257.86   999.99    1.662
    260.91   999.99    1.764
    263.96   999.99    1.892
    267.01   999.99    2.021
    270.05   999.99    2.109
    273.10   999.99    2.240
    276.15   999.99    2.340
    279.20   999.99    2.476
    282.25   999.99    2.578
    285.29   999.99    2.670
    288.34   999.99    2.765
    291.39   999.99    2.871
    294.44   999.99    2.958
    297.49   999.99    3.059
    300.53   999.99    3.177
    308.15   999.99    3.444
    315.77   999.99    3.708
    324.00   999.99    4.007
    331.01   999.99    4.273
    338.63   999.99    4.537
    346.25   999.99    4.837
    353.87   999.99    5.129
    361.49   999.99    5.385
    369.11   999.99    5.881
    376.73   999.99    5.876
    384.35   999.99    6.193
    391.97   999.99    6.544
    399.59   999.99    6.829
    407.21   999.99    7.167
    414.83   999.99    7.312
    422.45   999.99    7.653
    430.07   999.99    7.886
    437.69   999.99    8.142
    445.31   999.99    8.401
    452.93   999.99    8.665
    460.55   999.99    8.952
    468.17   999.99    9.241
    475.79   999.99    9.549
    483.41   999.99    9.846
    491.03   999.99   10.079
    498.65   999.99   10.304
    506.27   999.99   10.536
    513.89   999.99   10.682
    521.51   999.99   11.253
    529.13   999.99   11.517
    536.75   999.99   11.766
    544.37   999.99   12.092
    551.99   999.99   12.336
    559.61   999.99   12.559
    567.23   999.99   12.838
    574.85   999.99   13.081
    582.47   999.99   13.324
    590.09   999.99   13.598
    597.71   999.99   13.856
    605.33   999.99   14.149
    612.95   999.99   14.410
    620.57   999.99   14.683
    628.19   999.99   14.641
    635.81   999.99   15.047
    643.43   999.99   15.365
    651.05   999.99   15.672
    658.67   999.99   15.958
    666.29   999.99   16.220
    673.91   999.99   16.464
    681.53   999.99   16.859
    689.15   999.99   17.181
    696.77   999.99   17.492
    704.39   999.99   17.953
    712.01   999.99   18.181
    719.63   999.99   18.360
    727.25   999.99   18.466
    734.87   999.99   18.461
