 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             IKP 
 Log Date:         81AUG23 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      9.14   999.99   -8.014
     12.19   999.99   -8.032
     15.24   999.99   -7.804
     18.29   999.99   -7.634
     21.34   999.99   -7.472
     24.38   999.99   -7.339
     27.43   999.99   -7.226
     30.48   999.99   -7.154
     33.53   999.99   -7.109
     36.58   999.99   -7.092
     39.62   999.99   -7.087
     42.67   999.99   -7.085
     45.72   999.99   -7.062
     48.77   999.99   -7.030
     51.82   999.99   -7.008
     54.86   999.99   -6.973
     57.91   999.99   -6.915
     60.96   999.99   -6.828
     64.01   999.99   -6.727
     67.06   999.99   -6.667
     70.10   999.99   -6.604
     73.15   999.99   -6.541
     76.20   999.99   -6.467
     79.25   999.99   -6.398
     82.30   999.99   -6.341
     85.34   999.99   -6.252
     88.39   999.99   -6.159
     91.44   999.99   -6.043
     94.49   999.99   -5.954
     97.54   999.99   -5.823
    100.58   999.99   -5.668
    103.63   999.99   -5.567
    106.68   999.99   -5.436
    109.73   999.99   -5.336
    112.78   999.99   -5.229
    115.82   999.99   -5.085
    118.87   999.99   -4.946
    121.92   999.99   -4.805
    124.97   999.99   -4.678
    128.02   999.99   -4.591
    131.06   999.99   -4.499
    134.11   999.99   -4.407
    137.16   999.99   -4.346
    140.21   999.99   -4.300
    143.26   999.99   -4.192
    146.30   999.99   -4.055
    149.35   999.99   -3.932
    152.40   999.99   -3.836
    155.45   999.99   -3.715
    158.50   999.99   -3.590
    161.54   999.99   -3.536
    164.59   999.99   -3.561
    167.64   999.99   -3.615
    170.69   999.99   -3.620
    173.74   999.99   -3.543
    176.78   999.99   -3.393
    179.83   999.99   -3.258
    182.88   999.99   -3.072
    185.93   999.99   -2.964
    188.98   999.99   -2.893
    192.02   999.99   -2.850
    195.07   999.99   -2.818
    198.12   999.99   -2.800
    201.17   999.99   -2.856
    204.22   999.99   -2.867
    207.26   999.99   -2.842
    210.31   999.99   -2.773
    213.36   999.99   -2.698
    216.41   999.99   -2.623
    219.46   999.99   -2.559
    222.50   999.99   -2.503
    225.55   999.99   -2.452
    228.60   999.99   -2.391
    231.65   999.99   -2.343
    234.70   999.99   -2.213
    237.74   999.99   -2.079
    240.79   999.99   -1.906
    243.84   999.99   -1.757
    246.89   999.99   -1.595
    249.94   999.99   -1.532
    252.98   999.99   -1.556
    256.03   999.99   -1.564
    259.08   999.99   -1.530
    262.13   999.99   -1.405
    265.18   999.99   -1.227
    268.22   999.99   -1.129
    271.27   999.99   -1.090
    274.32   999.99   -1.024
    277.37   999.99    -.865
    280.42   999.99    -.744
    289.56   999.99    -.865
    292.61   999.99    -.804
    295.66   999.99    -.716
    298.70   999.99    -.640
    301.75   999.99    -.589
    304.80   999.99    -.524
    307.85   999.99    -.454
    310.90   999.99    -.355
    313.94   999.99    -.221
    316.99   999.99    -.069
    320.04   999.99     .141
    323.09   999.99     .315
    326.14   999.99     .495
    329.18   999.99     .650
    332.23   999.99     .795
    335.28   999.99     .887
    338.33   999.99     .981
    341.38   999.99    1.060
    344.42   999.99    1.144
    347.47   999.99    1.207
    350.52   999.99    1.274
    353.57   999.99    1.345
    356.62   999.99    1.407
    359.66   999.99    1.462
    362.71   999.99    1.533
    365.76   999.99    1.610
    368.81   999.99    1.691
    371.86   999.99    1.813
    374.90   999.99    1.882
    377.95   999.99    1.959
    381.00   999.99    2.040
    384.05   999.99    2.103
    387.10   999.99    2.163
    390.14   999.99    2.231
    393.19   999.99    2.318
    396.24   999.99    2.400
    399.29   999.99    2.481
    402.34   999.99    2.558
    405.38   999.99    2.645
    408.43   999.99    2.730
    411.48   999.99    2.795
    414.53   999.99    2.852
    417.58   999.99    2.908
    420.62   999.99    2.983
    423.67   999.99    3.067
    426.72   999.99    3.135
    429.77   999.99    3.209
    432.82   999.99    3.286
    435.86   999.99    3.366
    438.91   999.99    3.435
    441.96   999.99    3.510
    445.01   999.99    3.607
    448.06   999.99    3.683
    451.10   999.99    3.778
    454.15   999.99    3.883
    457.20   999.99    3.983
    460.25   999.99    4.078
    463.30   999.99    4.173
    466.34   999.99    4.273
    469.39   999.99    4.355
    472.44   999.99    4.437
    475.49   999.99    4.518
    478.54   999.99    4.582
    481.58   999.99    4.637
    484.63   999.99    4.686
    487.68   999.99    4.804
    490.73   999.99    4.927
    493.78   999.99    5.028
    496.83   999.99    5.127
    499.87   999.99    5.205
    502.92   999.99    5.285
    505.97   999.99    5.366
    509.02   999.99    5.468
    512.07   999.99    5.580
    515.11   999.99    5.677
    518.16   999.99    5.782
    521.21   999.99    5.891
    524.26   999.99    5.992
    527.31   999.99    6.056
    530.35   999.99    6.141
    533.40   999.99    6.221
    536.45   999.99    6.305
    539.50   999.99    6.379
    542.55   999.99    6.461
    545.59   999.99    6.524
    548.64   999.99    6.591
    551.69   999.99    6.674
    554.74   999.99    6.757
    557.79   999.99    6.852
    560.83   999.99    6.931
    563.88   999.99    7.007
    566.93   999.99    7.089
    569.98   999.99    7.184
    573.03   999.99    7.291
    576.07   999.99    7.394
    579.12   999.99    7.472
    582.17   999.99    7.533
    585.22   999.99    7.613
    588.27   999.99    7.721
    591.31   999.99    7.834
    594.36   999.99    7.954
    597.41   999.99    8.076
    600.46   999.99    8.173
    603.51   999.99    8.265
    606.55   999.99    8.353
    609.60   999.99    8.478
