 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             IKP 
 Log Date:         84AUG05a
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      4.88   999.99   -7.020
      5.18   999.99   -7.091
      5.49   999.99   -7.131
      5.79   999.99   -7.175
      6.10   999.99   -7.237
      6.40   999.99   -7.286
      6.71   999.99   -7.341
      7.01   999.99   -7.399
      7.32   999.99   -7.453
      7.62   999.99   -7.510
      7.92   999.99   -8.300
      8.23   999.99   -8.850
      8.53   999.99   -9.285
      8.84   999.99   -9.643
      9.14   999.99   -9.767
      9.45   999.99   -9.909
      9.75   999.99  -10.024
     10.06   999.99  -10.064
     10.36   999.99  -10.102
     10.67   999.99  -10.125
     10.97   999.99  -10.133
     11.28   999.99  -10.141
     11.58   999.99  -10.138
     11.89   999.99  -10.120
     12.19   999.99  -10.088
     12.50   999.99  -10.058
     12.80   999.99  -10.028
     13.11   999.99   -9.993
     13.41   999.99   -9.957
     13.72   999.99   -9.923
     14.02   999.99   -9.880
     14.33   999.99   -9.847
     14.63   999.99   -9.812
     14.94   999.99   -9.769
     15.24   999.99   -9.740
     15.54   999.99   -9.691
     15.85   999.99   -9.643
     16.15   999.99   -9.608
     16.46   999.99   -9.563
     16.76   999.99   -9.487
     17.07   999.99   -9.457
     17.37   999.99   -9.377
     17.68   999.99   -9.336
     17.98   999.99   -9.307
     18.29   999.99   -9.268
     18.59   999.99   -9.230
     18.90   999.99   -9.200
     19.20   999.99   -9.153
     19.51   999.99   -9.108
     19.81   999.99   -9.082
     20.12   999.99   -9.041
     20.42   999.99   -9.023
     20.73   999.99   -8.986
     21.03   999.99   -8.941
     21.34   999.99   -8.911
     21.64   999.99   -8.878
     21.95   999.99   -8.851
     22.25   999.99   -8.831
     22.56   999.99   -8.805
     22.86   999.99   -8.766
     23.16   999.99   -8.742
     23.47   999.99   -8.702
     23.77   999.99   -8.666
     24.08   999.99   -8.642
     24.38   999.99   -8.608
     24.69   999.99   -8.579
     24.99   999.99   -8.551
     25.30   999.99   -8.530
     25.60   999.99   -8.501
     25.91   999.99   -8.473
     26.21   999.99   -8.445
     26.52   999.99   -8.426
     26.82   999.99   -8.401
     27.13   999.99   -8.380
     27.43   999.99   -8.368
     27.74   999.99   -8.348
     28.04   999.99   -8.324
     28.35   999.99   -8.310
     28.65   999.99   -8.291
     28.96   999.99   -8.276
     29.26   999.99   -8.259
     29.57   999.99   -8.236
     29.87   999.99   -8.221
     30.18   999.99   -8.207
     30.48   999.99   -8.191
     30.78   999.99   -8.095
     31.09   999.99   -8.091
     31.39   999.99   -8.086
     31.70   999.99   -8.084
     32.00   999.99   -8.081
     32.31   999.99   -8.072
     32.61   999.99   -8.067
     32.92   999.99   -8.059
     33.22   999.99   -8.049
     33.53   999.99   -8.039
     33.83   999.99   -8.030
     34.14   999.99   -8.022
     34.44   999.99   -8.013
     34.75   999.99   -8.001
     35.05   999.99   -7.994
     35.36   999.99   -7.986
     35.66   999.99   -7.977
     35.97   999.99   -7.975
     36.27   999.99   -7.968
     36.58   999.99   -7.959
     36.88   999.99   -7.954
     37.19   999.99   -7.949
     37.49   999.99   -7.942
     37.80   999.99   -7.937
     43.59   999.99   -7.831
     43.89   999.99   -7.831
     44.20   999.99   -7.830
     44.50   999.99   -7.827
     44.81   999.99   -7.822
     45.11   999.99   -7.820
     45.42   999.99   -7.814
     45.72   999.99   -7.810
     46.02   999.99   -7.806
     46.33   999.99   -7.804
     46.63   999.99   -7.795
     46.94   999.99   -7.794
     47.24   999.99   -7.792
     47.55   999.99   -7.786
     47.85   999.99   -7.784
     48.16   999.99   -7.781
     48.46   999.99   -7.777
     48.77   999.99   -7.774
     49.07   999.99   -7.770
     49.38   999.99   -7.767
     49.68   999.99   -7.762
     49.99   999.99   -7.759
     50.29   999.99   -7.750
     50.60   999.99   -7.747
     50.90   999.99   -7.741
     51.21   999.99   -7.740
     51.51   999.99   -7.736
     51.82   999.99   -7.727
     52.12   999.99   -7.726
     52.43   999.99   -7.724
     52.73   999.99   -7.720
     53.04   999.99   -7.717
     53.34   999.99   -7.713
     53.64   999.99   -7.710
     53.95   999.99   -7.707
     54.25   999.99   -7.701
     54.56   999.99   -7.697
     54.86   999.99   -7.693
     55.17   999.99   -7.687
     55.47   999.99   -7.684
     55.78   999.99   -7.679
     56.08   999.99   -7.675
     56.39   999.99   -7.671
     56.69   999.99   -7.664
     57.00   999.99   -7.658
     57.30   999.99   -7.651
     57.61   999.99   -7.645
     57.91   999.99   -7.639
     58.22   999.99   -7.633
     58.52   999.99   -7.627
     58.83   999.99   -7.621
     59.13   999.99   -7.615
     59.44   999.99   -7.607
     59.74   999.99   -7.602
     60.05   999.99   -7.594
     60.35   999.99   -7.586
     60.66   999.99   -7.580
     60.96   999.99   -7.570
     61.26   999.99   -7.552
     61.57   999.99   -7.551
     61.87   999.99   -7.547
     62.18   999.99   -7.543
     62.48   999.99   -7.538
     62.79   999.99   -7.534
     63.09   999.99   -7.530
     63.40   999.99   -7.526
     63.70   999.99   -7.520
     64.01   999.99   -7.516
     64.31   999.99   -7.506
     64.62   999.99   -7.501
     64.92   999.99   -7.492
     65.23   999.99   -7.484
     65.53   999.99   -7.479
     65.84   999.99   -7.473
     66.14   999.99   -7.463
     66.45   999.99   -7.458
     66.75   999.99   -7.451
     67.06   999.99   -7.441
     67.36   999.99   -7.434
     67.67   999.99   -7.424
     67.97   999.99   -7.420
     68.28   999.99   -7.412
     68.58   999.99   -7.403
     68.88   999.99   -7.399
     69.19   999.99   -7.395
     69.49   999.99   -7.389
     69.80   999.99   -7.385
     70.10   999.99   -7.380
     70.41   999.99   -7.376
     70.71   999.99   -7.370
