 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             IKP 
 Log Date:         84AUG05b
 Type of Log:      incremental  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
    233.17   999.99   -2.711
    234.70   999.99   -2.641
    236.22   999.99   -2.583
    237.74   999.99   -2.524
    239.27   999.99   -2.466
    240.79   999.99   -2.404
    242.32   999.99   -2.352
    243.84   999.99   -2.304
    245.36   999.99   -2.252
    246.89   999.99   -2.215
    248.41   999.99   -2.179
    249.94   999.99   -2.139
    251.46   999.99   -2.108
    252.98   999.99   -2.077
    254.51   999.99   -2.047
    256.03   999.99   -2.015
    257.56   999.99   -1.976
    259.08   999.99   -1.931
    260.60   999.99   -1.883
    262.13   999.99   -1.841
    263.65   999.99   -1.791
    265.18   999.99   -1.748
    266.70   999.99   -1.711
    268.22   999.99   -1.671
    269.75   999.99   -1.634
    271.27   999.99   -1.598
    272.80   999.99   -1.558
    274.32   999.99   -1.518
    275.84   999.99   -1.468
    277.37   999.99   -1.431
    278.89   999.99   -1.403
    280.42   999.99   -1.380
    281.94   999.99   -1.365
    283.46   999.99   -1.354
    284.99   999.99   -1.342
    286.51   999.99   -1.329
    288.04   999.99   -1.315
    289.56   999.99   -1.287
    291.08   999.99   -1.258
    292.61   999.99   -1.227
    294.13   999.99   -1.186
    295.66   999.99   -1.143
    297.18   999.99   -1.100
    298.70   999.99   -1.053
    300.23   999.99   -1.006
    301.75   999.99    -.956
    303.28   999.99    -.906
    304.80   999.99    -.853
    306.32   999.99    -.808
    307.85   999.99    -.762
    309.37   999.99    -.711
    310.90   999.99    -.662
    312.42   999.99    -.613
    313.94   999.99    -.565
    315.47   999.99    -.520
    316.99   999.99    -.474
    318.52   999.99    -.431
    320.04   999.99    -.382
    321.56   999.99    -.333
    323.09   999.99    -.279
    324.61   999.99    -.224
    326.14   999.99    -.175
    327.66   999.99    -.119
    329.18   999.99    -.069
    330.71   999.99    -.022
    332.23   999.99     .034
    333.76   999.99     .071
    335.28   999.99     .117
    336.80   999.99     .180
    338.33   999.99     .245
    339.85   999.99     .324
    341.38   999.99     .401
    342.90   999.99     .462
    344.42   999.99     .514
    345.95   999.99     .560
    347.47   999.99     .611
    349.00   999.99     .655
    350.52   999.99     .694
    352.04   999.99     .732
    353.57   999.99     .766
    355.09   999.99     .797
    356.62   999.99     .828
    358.14   999.99     .858
    359.66   999.99     .889
    361.19   999.99     .924
    362.71   999.99     .956
    364.24   999.99     .991
    365.76   999.99    1.035
    367.28   999.99    1.077
    368.81   999.99    1.119
    370.33   999.99    1.160
    371.86   999.99    1.203
    373.38   999.99    1.249
    374.90   999.99    1.298
    376.43   999.99    1.335
    377.95   999.99    1.372
    379.48   999.99    1.406
    381.00   999.99    1.440
    382.52   999.99    1.477
    384.05   999.99    1.510
    385.57   999.99    1.545
    387.10   999.99    1.584
    388.62   999.99    1.622
    390.14   999.99    1.664
    391.67   999.99    1.703
    393.19   999.99    1.745
    394.72   999.99    1.785
    396.24   999.99    1.824
    397.76   999.99    1.863
    399.29   999.99    1.904
    400.81   999.99    1.946
    402.34   999.99    1.992
    403.86   999.99    2.035
    405.38   999.99    2.075
    406.91   999.99    2.119
    408.43   999.99    2.155
    409.96   999.99    2.190
    411.48   999.99    2.225
    413.00   999.99    2.258
    414.53   999.99    2.292
    416.05   999.99    2.329
    417.58   999.99    2.364
    419.10   999.99    2.395
    420.62   999.99    2.426
    422.15   999.99    2.462
    423.67   999.99    2.499
    425.20   999.99    2.539
    426.72   999.99    2.581
    428.24   999.99    2.619
    429.77   999.99    2.655
    431.29   999.99    2.698
    432.82   999.99    2.742
    434.34   999.99    2.784
    435.86   999.99    2.825
    437.39   999.99    2.862
    438.91   999.99    2.909
    440.44   999.99    2.955
    441.96   999.99    2.993
    443.48   999.99    3.038
    445.01   999.99    3.074
    446.53   999.99    3.121
    448.06   999.99    3.171
    449.58   999.99    3.216
    451.10   999.99    3.260
    452.63   999.99    3.311
    454.15   999.99    3.362
    455.68   999.99    3.414
    457.20   999.99    3.462
    458.72   999.99    3.506
    460.25   999.99    3.562
    463.30   999.99    3.660
    466.34   999.99    3.760
    469.39   999.99    3.848
    472.44   999.99    3.933
    475.49   999.99    4.012
    478.54   999.99    4.078
    481.58   999.99    4.138
    484.63   999.99    4.194
    487.68   999.99    4.403
    490.73   999.99    4.461
    493.78   999.99    4.543
    496.83   999.99    4.628
    499.87   999.99    4.711
    502.92   999.99    4.789
    505.97   999.99    4.873
    509.02   999.99    4.986
    512.07   999.99    5.084
    515.11   999.99    5.183
    518.16   999.99    5.295
    521.21   999.99    5.408
    524.26   999.99    5.488
    527.31   999.99    5.586
    530.35   999.99    5.670
    533.40   999.99    5.758
    536.45   999.99    5.837
    539.50   999.99    5.923
    542.55   999.99    5.989
    545.59   999.99    6.059
    548.64   999.99    6.141
    551.69   999.99    6.223
    554.74   999.99    6.320
    557.79   999.99    6.408
    560.83   999.99    6.490
    563.88   999.99    6.573
    566.93   999.99    6.668
    569.98   999.99    6.774
    573.03   999.99    6.893
    576.07   999.99    6.972
    579.12   999.99    7.030
    582.17   999.99    7.119
    585.22   999.99    7.219
    588.27   999.99    7.324
    591.31   999.99    7.433
    594.36   999.99    7.552
    597.41   999.99    7.654
    600.46   999.99    7.747
    603.51   999.99    7.845
    606.55   999.99    7.919
    609.60   999.99    7.921
