 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             IKP 
 Log Date:         80SEP10 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -6.433
     18.29   999.99   -6.292
     21.34   999.99   -6.159
     24.38   999.99   -6.049
     27.43   999.99   -5.993
     30.48   999.99   -5.963
     33.53   999.99   -5.929
     36.58   999.99   -5.922
     39.62   999.99   -5.954
     42.67   999.99   -5.973
     45.72   999.99   -5.939
     48.77   999.99   -5.898
     51.82   999.99   -5.900
     54.86   999.99   -5.902
     57.91   999.99   -5.770
     60.96   999.99   -5.648
     64.01   999.99   -5.548
     67.06   999.99   -5.482
     70.10   999.99   -5.425
     73.15   999.99   -5.357
     76.20   999.99   -5.269
     79.25   999.99   -5.223
     82.30   999.99   -5.190
     85.34   999.99   -5.162
     88.39   999.99   -5.072
     91.44   999.99   -4.968
     94.49   999.99   -4.847
     97.54   999.99   -4.663
    100.58   999.99   -4.503
    103.63   999.99   -4.311
    106.68   999.99   -4.199
    109.73   999.99   -4.133
    112.78   999.99   -4.044
    115.82   999.99   -3.925
    118.87   999.99   -3.774
    121.92   999.99   -3.639
    124.97   999.99   -3.522
    128.02   999.99   -3.400
    131.06   999.99   -3.289
    134.11   999.99   -3.193
    137.16   999.99   -3.159
    140.21   999.99   -3.095
    143.26   999.99   -2.913
    146.30   999.99   -2.772
    149.35   999.99   -2.670
    152.40   999.99   -2.588
    155.45   999.99   -2.525
    158.50   999.99   -2.436
    161.54   999.99   -2.341
    164.59   999.99   -2.229
    167.64   999.99   -2.107
    170.69   999.99   -2.021
    173.74   999.99   -2.010
    176.78   999.99   -2.132
    179.83   999.99   -2.156
    182.88   999.99   -2.075
    185.93   999.99   -2.028
    188.98   999.99   -2.027
    192.02   999.99   -2.054
    195.07   999.99   -2.055
    198.12   999.99   -2.054
    201.17   999.99   -2.180
    204.22   999.99   -2.163
    207.26   999.99   -2.066
    210.31   999.99   -1.931
    213.36   999.99   -1.822
    216.41   999.99   -1.718
    219.46   999.99   -1.643
    222.50   999.99   -1.592
    225.55   999.99   -1.571
    228.60   999.99   -1.555
    231.65   999.99   -1.523
    234.70   999.99   -1.488
    237.74   999.99   -1.445
    240.79   999.99   -1.327
    243.84   999.99   -1.157
    246.89   999.99   -1.012
    249.94   999.99    -.976
    252.98   999.99   -1.047
    256.03   999.99   -1.111
    259.08   999.99   -1.098
    262.13   999.99    -.990
    265.18   999.99    -.893
    268.22   999.99    -.857
    271.27   999.99    -.866
    274.32   999.99    -.864
    277.37   999.99    -.710
    280.42   999.99    -.549
    283.46   999.99    -.432
    286.51   999.99    -.316
    289.56   999.99    -.128
    292.61   999.99     .041
    295.66   999.99     .153
    298.70   999.99     .216
    301.75   999.99     .268
    304.80   999.99     .306
    307.85   999.99     .341
    310.90   999.99     .435
    313.94   999.99     .651
    316.99   999.99     .858
    320.04   999.99    1.155
    323.09   999.99    1.328
    326.14   999.99    1.544
    329.18   999.99    1.691
    332.23   999.99    1.784
    335.28   999.99    1.834
    338.33   999.99    1.891
    341.38   999.99    1.956
    344.42   999.99    2.051
    347.47   999.99    2.116
    350.52   999.99    2.176
    353.57   999.99    2.247
    356.62   999.99    2.305
    359.66   999.99    2.380
    362.71   999.99    2.460
    365.76   999.99    2.525
    368.81   999.99    2.657
    371.86   999.99    2.774
    374.90   999.99    2.854
    377.95   999.99    2.921
    381.00   999.99    2.981
    384.05   999.99    3.034
    387.10   999.99    3.113
    390.14   999.99    3.178
    393.19   999.99    3.253
    396.24   999.99    3.335
    399.29   999.99    3.418
    402.34   999.99    3.513
    405.38   999.99    3.586
    408.43   999.99    3.649
    411.48   999.99    3.707
    414.53   999.99    3.765
    417.58   999.99    3.830
    420.62   999.99    3.900
    423.67   999.99    3.988
    426.72   999.99    4.057
    429.77   999.99    4.146
    432.82   999.99    4.204
    435.86   999.99    4.267
    438.91   999.99    4.338
    441.96   999.99    4.415
    445.01   999.99    4.497
    448.06   999.99    4.588
    451.10   999.99    4.700
    454.15   999.99    4.784
    457.20   999.99    4.890
    460.25   999.99    4.983
    463.30   999.99    5.075
    466.34   999.99    5.150
    469.39   999.99    5.241
    472.44   999.99    5.319
    475.49   999.99    5.379
    478.54   999.99    5.437
    481.58   999.99    5.492
    484.63   999.99    5.528
    487.68   999.99    5.703
    490.73   999.99    5.787
    493.78   999.99    5.879
    496.83   999.99    5.972
    499.87   999.99    6.050
    502.92   999.99    6.167
    505.97   999.99    6.277
    509.02   999.99    6.418
    512.07   999.99    6.528
    515.11   999.99    6.623
    518.16   999.99    6.720
    521.21   999.99    6.833
    524.26   999.99    6.878
    527.31   999.99    6.920
    530.35   999.99    6.996
    533.40   999.99    7.072
    536.45   999.99    7.146
    539.50   999.99    7.226
    542.55   999.99    7.305
    545.59   999.99    7.362
    548.64   999.99    7.439
    551.69   999.99    7.520
    554.74   999.99    7.604
    557.79   999.99    7.694
    560.83   999.99    7.750
    563.88   999.99    7.817
    566.93   999.99    7.898
    569.98   999.99    8.015
    573.03   999.99    8.136
    576.07   999.99    8.235
    579.12   999.99    8.275
    582.17   999.99    8.315
    585.22   999.99    8.432
    588.27   999.99    8.557
    591.31   999.99    8.676
    594.36   999.99    8.813
    597.41   999.99    8.939
    600.46   999.99    9.022
    603.51   999.99    9.099
    606.55   999.99    9.216
    609.60   999.99    9.326
    612.65   999.99    9.352
