 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             IMC 
 Log Date:         75JUL08 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99     .540
     12.19   999.99     .389
     18.29   999.99     .340
     21.34   999.99     .344
     24.38   999.99     .419
     27.43   999.99     .517
     30.48   999.99     .563
     33.53   999.99     .632
     36.58   999.99     .755
     39.62   999.99     .739
     42.67   999.99     .883
     45.72   999.99    1.209
     48.77   999.99    1.577
     51.82   999.99    2.177
     54.86   999.99    3.349
     57.91   999.99    3.068
     60.96   999.99    3.076
     76.20   999.99    2.077
     79.25   999.99    2.127
     82.30   999.99    2.190
     85.34   999.99    2.264
     88.39   999.99    2.327
     91.44   999.99    2.400
     94.49   999.99    2.477
     97.54   999.99    2.595
    100.58   999.99    2.686
    103.63   999.99    2.771
    106.68   999.99    2.841
    112.78   999.99    3.061
    115.82   999.99    3.138
    118.87   999.99    3.214
    121.92   999.99    3.283
    124.97   999.99    3.390
    128.02   999.99    3.498
    131.06   999.99    3.598
    134.11   999.99    3.730
    137.16   999.99    3.813
    140.21   999.99    3.894
    143.26   999.99    3.987
    146.30   999.99    4.075
    149.35   999.99    4.173
    152.40   999.99    4.288
    155.45   999.99    4.394
    158.50   999.99    4.518
    161.54   999.99    4.637
    164.59   999.99    4.702
    167.64   999.99    4.787
    170.69   999.99    4.888
    173.74   999.99    5.003
    176.78   999.99    5.114
    179.83   999.99    5.255
    182.88   999.99    5.358
    185.93   999.99    5.484
    188.98   999.99    5.609
    192.02   999.99    5.759
    195.07   999.99    5.886
    198.12   999.99    5.995
    201.17   999.99    6.124
    204.22   999.99    6.202
    207.26   999.99    6.317
    210.31   999.99    6.427
    213.36   999.99    6.536
    216.41   999.99    6.652
    219.46   999.99    6.764
    222.50   999.99    6.886
    225.55   999.99    7.016
    228.60   999.99    7.134
    231.65   999.99    7.247
    234.70   999.99    7.360
    237.74   999.99    7.482
    240.79   999.99    7.614
    243.84   999.99    7.727
    246.89   999.99    7.850
    249.94   999.99    7.980
    252.98   999.99    8.093
    256.03   999.99    8.212
    259.08   999.99    8.335
    262.13   999.99    8.460
    265.18   999.99    8.610
    268.22   999.99    8.710
    271.27   999.99    8.795
    274.32   999.99    8.909
    275.54   999.99    8.925
