 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             INMT
 Log Date:         72SEP28 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     24.38   999.99    -.143
     30.48   999.99    -.020
     36.58   999.99     .116
     42.67   999.99     .249
     48.77   999.99     .399
     54.86   999.99     .549
     60.96   999.99     .692
     67.06   999.99     .840
     73.15   999.99     .980
     79.25   999.99    1.119
     85.34   999.99    1.284
     91.44   999.99    1.450
     97.54   999.99    1.620
    103.63   999.99    1.770
    109.73   999.99    1.980
    115.82   999.99    2.158
    121.92   999.99    2.343
    128.02   999.99    2.515
    134.11   999.99    2.719
    135.64   999.99    2.774
