 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             JWD 
 Log Date:         81AUG26 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.48   999.99   -9.673
     33.53   999.99   -9.696
     36.58   999.99   -9.716
     39.62   999.99   -9.729
     42.67   999.99   -9.727
     45.72   999.99   -9.722
     48.77   999.99   -9.715
     51.82   999.99   -9.702
     54.86   999.99   -9.680
     57.91   999.99   -9.655
     60.96   999.99   -9.628
     64.01   999.99   -9.596
     67.06   999.99   -9.550
     70.10   999.99   -9.501
     73.15   999.99   -9.449
     76.20   999.99   -9.396
     79.25   999.99   -9.329
     82.30   999.99   -9.267
     85.34   999.99   -9.203
     88.39   999.99   -9.145
     91.44   999.99   -9.070
     94.49   999.99   -9.024
     97.54   999.99   -8.966
    100.58   999.99   -8.889
    103.63   999.99   -8.825
    106.68   999.99   -8.745
    109.73   999.99   -8.690
    112.78   999.99   -8.618
    115.82   999.99   -8.537
    118.87   999.99   -8.465
    121.92   999.99   -8.381
    124.97   999.99   -8.313
    128.02   999.99   -8.228
    131.06   999.99   -8.150
    134.11   999.99   -8.087
    137.16   999.99   -8.007
    140.21   999.99   -7.896
    143.26   999.99   -7.801
    146.30   999.99   -7.713
    149.35   999.99   -7.584
    152.40   999.99   -7.546
    155.45   999.99   -7.478
    158.50   999.99   -7.392
    161.54   999.99   -7.309
    164.59   999.99   -7.247
    167.64   999.99   -7.189
    170.69   999.99   -7.118
    173.74   999.99   -7.052
    176.78   999.99   -6.982
    179.83   999.99   -6.915
    182.88   999.99   -6.865
    185.93   999.99   -6.817
    188.98   999.99   -6.740
    192.02   999.99   -6.679
    195.07   999.99   -6.622
    198.12   999.99   -6.575
    201.17   999.99   -6.528
    204.22   999.99   -6.477
    207.26   999.99   -6.439
    210.31   999.99   -6.398
    213.36   999.99   -6.345
    216.41   999.99   -6.305
    219.46   999.99   -6.254
    222.50   999.99   -6.205
    225.55   999.99   -6.160
    228.60   999.99   -6.115
    231.65   999.99   -6.079
    234.70   999.99   -6.031
    237.74   999.99   -5.983
    240.79   999.99   -5.944
    243.84   999.99   -5.884
    246.89   999.99   -5.844
    249.94   999.99   -5.818
    252.98   999.99   -5.709
    256.03   999.99   -5.662
    259.08   999.99   -5.618
    262.13   999.99   -5.580
    265.18   999.99   -5.504
    268.22   999.99   -5.419
    271.27   999.99   -5.304
    274.32   999.99   -5.180
    277.37   999.99   -5.099
    280.42   999.99   -4.959
    283.46   999.99   -4.851
    286.51   999.99   -4.735
    289.56   999.99   -4.614
    292.61   999.99   -4.512
    295.66   999.99   -4.374
    298.70   999.99   -4.258
    301.75   999.99   -4.177
    304.80   999.99   -4.075
    307.85   999.99   -3.953
    310.90   999.99   -3.841
    313.94   999.99   -3.718
    316.99   999.99   -3.610
    320.04   999.99   -3.472
    323.09   999.99   -3.362
    326.14   999.99   -3.240
    329.18   999.99   -3.137
    341.38   999.99   -2.715
    344.42   999.99   -2.603
    347.47   999.99   -2.468
    350.52   999.99   -2.331
    353.57   999.99   -2.197
    356.62   999.99   -2.092
    359.66   999.99   -1.907
    362.71   999.99   -1.737
    365.76   999.99   -1.584
    368.81   999.99   -1.406
    371.86   999.99   -1.258
    374.90   999.99   -1.108
    377.95   999.99    -.938
    381.00   999.99    -.763
    384.05   999.99    -.600
    387.10   999.99    -.426
    390.14   999.99    -.316
    393.19   999.99    -.200
    396.24   999.99    -.094
    399.29   999.99     .005
    402.34   999.99     .148
    405.38   999.99     .277
    408.43   999.99     .475
    411.48   999.99     .711
    414.53   999.99     .886
    417.58   999.99    1.050
    420.62   999.99    1.189
    423.67   999.99    1.307
    426.72   999.99    1.461
    429.77   999.99    1.576
    432.82   999.99    1.692
    435.86   999.99    1.815
    438.91   999.99    1.923
    441.96   999.99    2.062
    445.01   999.99    2.162
    448.06   999.99    2.273
    451.10   999.99    2.405
    454.15   999.99    2.521
    457.20   999.99    2.597
    460.25   999.99    2.693
    463.30   999.99    2.748
    466.34   999.99    3.191
    469.39   999.99    3.266
    472.44   999.99    3.340
    475.49   999.99    3.368
    478.54   999.99    3.621
    481.58   999.99    3.858
    484.63   999.99    3.931
    487.68   999.99    4.047
