 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             JWD 
 Log Date:         84AUG09 
 Type of Log:      incremental  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.48   999.99  -10.007
     32.00   999.99  -10.014
     33.53   999.99  -10.017
     35.05   999.99  -10.018
     36.58   999.99   -9.995
     38.10   999.99   -9.987
     39.62   999.99   -9.982
     41.15   999.99   -9.973
     42.67   999.99   -9.971
     44.20   999.99   -9.963
     45.72   999.99   -9.954
     47.24   999.99   -9.949
     48.77   999.99   -9.939
     50.29   999.99   -9.930
     51.82   999.99   -9.923
     53.34   999.99   -9.912
     54.86   999.99   -9.903
     56.39   999.99   -9.887
     57.91   999.99   -9.874
     59.44   999.99   -9.861
     60.96   999.99   -9.848
     62.48   999.99   -9.833
     64.01   999.99   -9.817
     65.53   999.99   -9.804
     67.06   999.99   -9.787
     68.58   999.99   -9.768
     70.10   999.99   -9.748
     71.63   999.99   -9.726
     73.15   999.99   -9.707
     74.68   999.99   -9.686
     76.20   999.99   -9.662
     77.72   999.99   -9.640
     79.25   999.99   -9.616
     80.77   999.99   -9.593
     82.30   999.99   -9.559
     83.82   999.99   -9.537
     85.34   999.99   -9.502
     86.87   999.99   -9.475
     88.39   999.99   -9.448
     89.92   999.99   -9.419
     91.44   999.99   -9.390
     92.96   999.99   -9.360
     94.49   999.99   -9.325
     96.01   999.99   -9.293
     97.54   999.99   -9.257
     99.06   999.99   -9.231
    100.58   999.99   -9.192
    102.11   999.99   -9.158
    103.63   999.99   -9.124
    105.16   999.99   -9.096
    106.68   999.99   -9.057
    108.20   999.99   -9.027
    109.73   999.99   -8.991
    111.25   999.99   -8.956
    112.78   999.99   -8.922
    114.30   999.99   -8.887
    115.82   999.99   -8.846
    117.35   999.99   -8.818
    118.87   999.99   -8.777
    120.40   999.99   -8.740
    121.92   999.99   -8.702
    123.44   999.99   -8.669
    124.97   999.99   -8.629
    126.49   999.99   -8.591
    128.02   999.99   -8.564
    129.54   999.99   -8.519
    131.06   999.99   -8.482
    132.59   999.99   -8.446
    134.11   999.99   -8.404
    135.64   999.99   -8.368
    137.16   999.99   -8.322
    138.68   999.99   -8.278
    140.21   999.99   -8.220
    141.73   999.99   -8.179
    143.26   999.99   -8.136
    144.78   999.99   -8.105
    146.30   999.99   -8.063
    147.83   999.99   -8.024
    149.35   999.99   -7.977
    150.88   999.99   -7.947
    152.40   999.99   -7.898
    153.92   999.99   -7.864
    155.45   999.99   -7.821
    156.97   999.99   -7.778
    158.50   999.99   -7.739
    160.02   999.99   -7.705
    161.54   999.99   -7.673
    163.07   999.99   -7.633
    164.59   999.99   -7.589
    166.12   999.99   -7.550
    167.64   999.99   -7.512
    169.16   999.99   -7.475
    170.69   999.99   -7.441
    172.21   999.99   -7.404
    173.74   999.99   -7.372
    175.26   999.99   -7.326
    176.78   999.99   -7.289
    178.31   999.99   -7.255
    179.83   999.99   -7.216
    181.36   999.99   -7.182
    182.88   999.99   -7.146
    184.40   999.99   -7.119
    185.93   999.99   -7.090
    187.45   999.99   -7.049
    188.98   999.99   -7.023
    190.50   999.99   -6.996
    192.02   999.99   -6.961
    193.55   999.99   -6.928
    195.07   999.99   -6.899
    196.60   999.99   -6.865
    198.12   999.99   -6.837
    199.64   999.99   -6.811
    201.17   999.99   -6.782
    202.69   999.99   -6.753
    204.22   999.99   -6.724
    205.74   999.99   -6.688
    207.26   999.99   -6.662
    208.79   999.99   -6.636
    210.31   999.99   -6.606
    211.84   999.99   -6.584
    213.36   999.99   -6.564
    214.88   999.99   -6.541
    216.41   999.99   -6.514
    217.93   999.99   -6.489
    219.46   999.99   -6.469
    220.98   999.99   -6.444
    222.50   999.99   -6.418
    224.03   999.99   -6.396
    225.55   999.99   -6.368
    227.08   999.99   -6.341
    228.60   999.99   -6.314
    230.12   999.99   -6.290
    231.65   999.99   -6.263
    233.17   999.99   -6.234
    234.70   999.99   -6.086
    236.22   999.99   -5.969
    237.74   999.99   -5.947
    239.27   999.99   -5.891
    240.79   999.99   -5.893
    242.32   999.99   -5.879
    243.84   999.99   -5.854
    245.36   999.99   -5.825
    246.89   999.99   -5.808
    248.41   999.99   -5.776
    249.94   999.99   -5.755
    251.46   999.99   -5.734
    252.98   999.99   -5.693
    254.51   999.99   -5.683
    256.03   999.99   -5.650
    257.56   999.99   -5.629
    259.08   999.99   -5.594
    260.60   999.99   -5.571
    262.13   999.99   -5.550
    263.65   999.99   -5.523
    265.18   999.99   -5.506
    266.70   999.99   -5.489
    268.22   999.99   -5.453
    269.75   999.99   -5.425
    271.27   999.99   -5.390
    272.80   999.99   -5.359
    274.32   999.99   -5.314
    275.84   999.99   -5.270
    277.37   999.99   -5.229
    278.89   999.99   -5.189
    280.42   999.99   -5.141
    281.94   999.99   -5.082
    283.46   999.99   -5.034
    284.99   999.99   -4.956
    286.51   999.99   -4.905
    288.04   999.99   -4.870
    289.56   999.99   -4.812
    291.08   999.99   -4.738
    292.61   999.99   -4.680
    294.13   999.99   -4.637
    295.66   999.99   -4.597
