 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             JWD 
 Log Date:         79SEP13 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     45.72   999.99   -5.675
     48.77   999.99   -5.390
     51.82   999.99   -5.161
     54.86   999.99   -4.995
     57.91   999.99   -4.880
     60.96   999.99   -4.847
     64.01   999.99   -4.651
     67.06   999.99   -4.334
     70.10   999.99   -3.934
     73.15   999.99   -3.556
     76.20   999.99   -3.291
     79.25   999.99   -2.937
     82.30   999.99   -2.708
     85.34   999.99   -2.559
     88.39   999.99   -2.397
     91.44   999.99   -2.263
     94.49   999.99   -2.128
     97.54   999.99   -2.014
    100.58   999.99   -1.952
    103.63   999.99   -1.891
    106.68   999.99   -1.941
    109.73   999.99   -2.018
    112.78   999.99   -2.026
    115.82   999.99   -2.125
    118.87   999.99   -2.039
    121.92   999.99   -2.377
    124.97   999.99   -2.460
    128.02   999.99   -2.475
    131.06   999.99   -2.436
    134.11   999.99   -2.351
    137.16   999.99   -2.215
    140.21   999.99   -1.937
    143.26   999.99   -1.919
    146.30   999.99   -2.063
    149.35   999.99   -2.060
    152.40   999.99   -2.031
    155.45   999.99   -1.981
    158.50   999.99   -1.901
    161.54   999.99   -1.855
    164.59   999.99   -1.763
    167.64   999.99   -1.748
    170.69   999.99   -2.148
    173.74   999.99   -2.137
    176.78   999.99   -2.104
    179.83   999.99   -2.262
    182.88   999.99   -2.600
    185.93   999.99   -2.673
    188.98   999.99   -2.521
    192.02   999.99   -2.307
    195.07   999.99   -2.221
    198.12   999.99   -2.627
    201.17   999.99   -2.683
    204.22   999.99   -2.626
    207.26   999.99   -2.657
    210.31   999.99   -2.673
    213.36   999.99   -2.668
    216.41   999.99   -2.663
    219.46   999.99   -2.759
    222.50   999.99   -2.785
    225.55   999.99   -2.755
    228.60   999.99   -2.622
    231.65   999.99   -2.478
    234.70   999.99   -2.434
    237.74   999.99   -2.409
    240.79   999.99   -2.418
    243.84   999.99   -2.374
    246.89   999.99   -2.314
    249.94   999.99   -2.581
    252.98   999.99   -2.547
    256.03   999.99   -2.425
    259.08   999.99   -2.373
    262.13   999.99   -2.399
    265.18   999.99   -2.437
    268.22   999.99   -2.447
    271.27   999.99   -2.337
    274.32   999.99   -2.245
    277.37   999.99   -2.263
    280.42   999.99   -2.242
    283.46   999.99   -2.187
    286.51   999.99   -2.067
    289.56   999.99   -2.017
    292.61   999.99   -1.960
    295.66   999.99   -1.882
    298.70   999.99   -1.874
    301.75   999.99   -1.801
    304.80   999.99   -1.757
    307.85   999.99   -1.847
    310.90   999.99   -1.895
    313.94   999.99   -1.836
    316.99   999.99   -1.739
    320.04   999.99   -1.629
    323.09   999.99   -1.507
    326.14   999.99   -1.363
    329.18   999.99   -1.209
    332.23   999.99   -1.090
    335.28   999.99    -.895
    338.33   999.99    -.694
    341.38   999.99    -.418
    344.42   999.99    -.101
    347.47   999.99     .213
    350.52   999.99     .468
    353.57   999.99     .703
    356.62   999.99    1.112
    359.66   999.99    1.510
    362.71   999.99    1.867
    365.76   999.99    2.265
    368.81   999.99    2.599
    371.86   999.99    2.956
    374.90   999.99    3.197
    377.95   999.99    3.420
    381.00   999.99    3.614
    384.05   999.99    3.818
    387.10   999.99    3.995
    390.14   999.99    4.139
    393.19   999.99    4.298
    396.24   999.99    4.461
    399.29   999.99    4.605
    402.34   999.99    4.740
    405.38   999.99    4.875
    408.43   999.99    4.982
    411.48   999.99    5.084
    414.53   999.99    5.200
    417.58   999.99    5.287
    420.62   999.99    5.390
    423.67   999.99    5.502
    426.72   999.99    5.540
    429.77   999.99    5.569
    432.82   999.99    5.603
    435.86   999.99    5.692
    438.91   999.99    5.788
    441.96   999.99    5.835
    445.01   999.99    6.022
    448.06   999.99    6.174
    451.10   999.99    6.279
    454.15   999.99    6.374
    457.20   999.99    6.446
    460.25   999.99    6.508
    463.30   999.99    6.554
    466.34   999.99    7.065
    469.39   999.99    7.080
    472.44   999.99    7.155
    475.49   999.99    7.217
    478.54   999.99    7.378
    481.58   999.99    7.669
    484.63   999.99    7.832
    487.68   999.99    7.917
    490.73   999.99    8.331
    494.08   999.99    8.424
