 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KAG 
 Log Date:         81AUG29 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      9.14   999.99   -7.837
     12.19   999.99   -8.091
     15.24   999.99   -8.002
     18.29   999.99   -7.885
     21.34   999.99   -7.772
     24.38   999.99   -7.700
     27.43   999.99   -7.639
     30.48   999.99   -7.606
     33.53   999.99   -7.576
     36.58   999.99   -7.542
     39.62   999.99   -7.518
     42.67   999.99   -7.485
     45.72   999.99   -7.448
     48.77   999.99   -7.398
     51.82   999.99   -7.347
     54.86   999.99   -7.294
     57.91   999.99   -7.226
     60.96   999.99   -7.139
     64.01   999.99   -7.073
     67.06   999.99   -7.012
     70.10   999.99   -6.945
     73.15   999.99   -6.850
     76.20   999.99   -6.754
     79.25   999.99   -6.658
     82.30   999.99   -6.563
     85.34   999.99   -6.466
     88.39   999.99   -6.352
     91.44   999.99   -6.253
     94.49   999.99   -6.142
     97.54   999.99   -6.022
    100.58   999.99   -5.906
    103.63   999.99   -5.819
    106.68   999.99   -5.679
    109.73   999.99   -5.571
    112.78   999.99   -5.462
    115.82   999.99   -5.334
    118.87   999.99   -5.207
    121.92   999.99   -5.100
    124.97   999.99   -4.940
    128.02   999.99   -4.816
    131.06   999.99   -4.685
    134.11   999.99   -4.565
    137.16   999.99   -4.430
    140.21   999.99   -4.309
    143.26   999.99   -4.193
    146.30   999.99   -4.064
    149.35   999.99   -3.922
    152.40   999.99   -3.795
    155.45   999.99   -3.688
    158.50   999.99   -3.575
    161.54   999.99   -3.435
    164.59   999.99   -3.330
    167.64   999.99   -3.197
    170.69   999.99   -3.059
    173.74   999.99   -2.950
    176.78   999.99   -2.826
    179.83   999.99   -2.702
    182.88   999.99   -2.569
    185.93   999.99   -2.472
    188.98   999.99   -2.380
    192.02   999.99   -2.287
    195.07   999.99   -2.182
    198.12   999.99   -2.055
    201.17   999.99   -1.948
    204.22   999.99   -1.855
    207.26   999.99   -1.761
    210.31   999.99   -1.649
    213.36   999.99   -1.575
    216.41   999.99   -1.469
    219.46   999.99   -1.331
    222.50   999.99   -1.267
    225.55   999.99   -1.213
    228.60   999.99   -1.175
    231.65   999.99   -1.123
    234.70   999.99   -1.045
    237.74   999.99    -.943
    240.79   999.99    -.834
    243.84   999.99    -.752
    246.89   999.99    -.659
    249.94   999.99    -.555
    252.98   999.99    -.484
    256.03   999.99    -.391
    259.08   999.99    -.274
    262.13   999.99    -.200
    265.18   999.99    -.093
    268.22   999.99    -.003
    271.27   999.99     .073
    274.32   999.99     .160
    277.37   999.99     .242
    280.42   999.99     .323
    283.46   999.99     .401
    286.51   999.99     .501
    289.56   999.99     .609
    292.61   999.99     .693
    295.66   999.99     .793
    298.70   999.99     .885
    301.75   999.99     .957
    304.80   999.99    1.044
    307.85   999.99    1.148
    310.90   999.99    1.246
    313.94   999.99    1.337
    316.99   999.99    1.441
    320.04   999.99    1.572
    323.09   999.99    1.682
    326.14   999.99    1.807
    329.18   999.99    1.922
    332.23   999.99    2.066
    335.28   999.99    2.181
    338.33   999.99    2.291
    341.38   999.99    2.403
    344.42   999.99    2.509
    347.47   999.99    2.656
    350.52   999.99    2.758
    353.57   999.99    2.870
    356.62   999.99    2.960
    359.66   999.99    3.076
    362.71   999.99    3.200
    365.76   999.99    3.348
    368.81   999.99    3.481
    371.86   999.99    3.587
    374.90   999.99    3.718
    377.95   999.99    3.847
    381.00   999.99    3.921
    384.05   999.99    4.009
    387.10   999.99    4.082
    390.14   999.99    4.438
    393.19   999.99    4.513
    396.24   999.99    4.602
    399.29   999.99    4.690
    402.34   999.99    4.765
    405.38   999.99    4.844
    408.43   999.99    4.923
    411.48   999.99    5.013
    414.53   999.99    5.107
    417.58   999.99    5.183
    420.62   999.99    5.292
    423.67   999.99    5.363
    426.72   999.99    5.466
    429.77   999.99    5.506
    432.82   999.99    5.566
    435.86   999.99    5.698
    438.91   999.99    5.777
    441.96   999.99    5.864
    445.01   999.99    5.947
    448.06   999.99    6.005
    451.10   999.99    6.059
    454.15   999.99    6.147
    457.20   999.99    6.228
    460.25   999.99    6.292
    463.30   999.99    6.368
    466.34   999.99    6.445
    469.39   999.99    6.501
    472.44   999.99    6.620
    475.49   999.99    6.735
    478.54   999.99    6.868
    481.58   999.99    6.948
    484.63   999.99    7.065
    487.68   999.99    7.139
    490.73   999.99    7.259
    493.78   999.99    7.358
    496.83   999.99    7.426
    499.87   999.99    7.554
    502.92   999.99    7.662
    505.97   999.99    7.764
    509.02   999.99    7.853
    512.07   999.99    7.956
    515.11   999.99    8.025
    518.16   999.99    8.118
    521.21   999.99    8.225
    524.26   999.99    8.277
    527.31   999.99    8.370
    530.35   999.99    8.345
    533.40   999.99    8.443
    536.45   999.99    8.574
    539.50   999.99    8.585
    542.55   999.99    8.592
    545.59   999.99    8.599
    548.64   999.99    8.609
    551.69   999.99    8.628
