 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KAG 
 Log Date:         79SEP15 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      9.14   999.99   -7.051
     12.19   999.99   -7.051
     15.24   999.99   -7.010
     18.29   999.99   -6.968
     21.34   999.99   -6.926
     24.38   999.99   -6.886
     27.43   999.99   -6.876
     30.48   999.99   -6.879
     33.53   999.99   -6.878
     36.58   999.99   -6.875
     39.62   999.99   -6.863
     42.67   999.99   -6.842
     45.72   999.99   -6.800
     48.77   999.99   -6.754
     51.82   999.99   -6.703
     54.86   999.99   -6.630
     57.91   999.99   -6.561
     60.96   999.99   -6.488
     64.01   999.99   -6.416
     67.06   999.99   -6.341
     70.10   999.99   -6.270
     73.15   999.99   -6.172
     76.20   999.99   -6.084
     79.25   999.99   -5.969
     82.30   999.99   -5.878
     85.34   999.99   -5.764
     88.39   999.99   -5.671
     91.44   999.99   -5.576
     94.49   999.99   -5.455
     97.54   999.99   -5.355
    100.58   999.99   -5.257
    103.63   999.99   -5.153
    106.68   999.99   -5.064
    109.73   999.99   -4.942
    112.78   999.99   -4.826
    115.82   999.99   -4.700
    118.87   999.99   -4.590
    121.92   999.99   -4.460
    124.97   999.99   -4.319
    128.02   999.99   -4.238
    131.06   999.99   -4.106
    134.11   999.99   -4.010
    137.16   999.99   -3.887
    140.21   999.99   -3.782
    143.26   999.99   -3.676
    146.30   999.99   -3.525
    149.35   999.99   -3.416
    152.40   999.99   -3.272
    155.45   999.99   -3.146
    158.50   999.99   -3.043
    161.54   999.99   -2.930
    164.59   999.99   -2.800
    167.64   999.99   -2.666
    170.69   999.99   -2.540
    173.74   999.99   -2.405
    176.78   999.99   -2.315
    179.83   999.99   -2.172
    182.88   999.99   -2.035
    185.93   999.99   -1.909
    188.98   999.99   -1.768
    192.02   999.99   -1.641
    195.07   999.99   -1.579
    198.12   999.99   -1.534
    201.17   999.99   -1.457
    204.22   999.99   -1.375
    207.26   999.99   -1.288
    210.31   999.99   -1.197
    213.36   999.99   -1.091
    216.41   999.99    -.966
    219.46   999.99    -.841
    222.50   999.99    -.813
    225.55   999.99    -.837
    228.60   999.99    -.842
    231.65   999.99    -.805
    234.70   999.99    -.738
    237.74   999.99    -.653
    240.79   999.99    -.579
    243.84   999.99    -.485
    246.89   999.99    -.351
    249.94   999.99    -.242
    252.98   999.99    -.072
    256.03   999.99     .061
    259.08   999.99     .192
    262.13   999.99     .298
    265.18   999.99     .411
    268.22   999.99     .511
    271.27   999.99     .606
    274.32   999.99     .684
    277.37   999.99     .757
    280.42   999.99     .850
    283.46   999.99     .939
    286.51   999.99    1.030
    289.56   999.99    1.030
    292.61   999.99    1.134
    295.66   999.99    1.243
    298.70   999.99    1.335
    301.75   999.99    1.430
    304.80   999.99    1.498
    307.85   999.99    1.591
    310.90   999.99    1.668
    313.94   999.99    1.748
    316.99   999.99    1.854
    320.04   999.99    1.980
    323.09   999.99    2.089
    326.14   999.99    2.189
    329.18   999.99    2.341
    332.23   999.99    2.481
    335.28   999.99    2.586
    338.33   999.99    2.706
    341.38   999.99    2.731
    344.42   999.99    2.910
    347.47   999.99    3.037
    350.52   999.99    3.158
    353.57   999.99    3.265
    356.62   999.99    3.366
    359.66   999.99    3.464
    362.71   999.99    3.588
    365.76   999.99    3.718
    368.81   999.99    3.858
    371.86   999.99    3.985
    374.90   999.99    4.134
    377.95   999.99    4.240
    381.00   999.99    4.350
    384.05   999.99    4.437
    387.10   999.99    4.537
    390.14   999.99    4.604
    393.19   999.99    5.000
    396.24   999.99    5.030
    399.29   999.99    5.131
    402.34   999.99    5.193
    405.38   999.99    5.263
    408.43   999.99    5.341
    411.48   999.99    5.417
    414.53   999.99    5.509
    417.58   999.99    5.597
    420.62   999.99    5.685
    423.67   999.99    5.777
    426.72   999.99    5.867
    429.77   999.99    5.949
    432.82   999.99    6.052
    435.86   999.99    6.141
    438.91   999.99    6.258
    441.96   999.99    6.339
    445.01   999.99    6.424
    448.06   999.99    6.502
    451.10   999.99    6.590
    454.15   999.99    6.657
    457.20   999.99    6.744
    460.25   999.99    6.800
    463.30   999.99    6.858
    466.34   999.99    6.935
    469.39   999.99    6.997
    472.44   999.99    7.090
    475.49   999.99    7.209
    478.54   999.99    7.306
    481.58   999.99    7.452
    484.63   999.99    7.564
    487.68   999.99    7.564
    490.73   999.99    7.766
    493.78   999.99    7.860
    496.83   999.99    7.958
    499.87   999.99    8.073
    502.92   999.99    8.172
    505.97   999.99    8.285
    509.02   999.99    8.398
    512.07   999.99    8.501
    515.11   999.99    8.571
    518.16   999.99    8.662
    521.21   999.99    8.754
    524.26   999.99    8.837
    527.31   999.99    8.925
    530.35   999.99    9.005
    533.40   999.99    9.054
    536.45   999.99    9.103
    537.97   999.99    9.284
