 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KOL 
 Log Date:         82SEP03 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -4.841
      9.14   999.99   -5.139
     12.19   999.99   -5.829
     15.24   999.99   -5.860
     18.29   999.99   -5.849
     21.34   999.99   -5.903
     24.38   999.99   -6.072
     27.43   999.99   -6.175
     30.48   999.99   -6.244
     33.53   999.99   -6.249
     36.58   999.99   -6.232
     39.62   999.99   -6.187
     42.67   999.99   -6.131
     45.72   999.99   -6.078
     48.77   999.99   -6.010
     51.82   999.99   -5.968
     54.86   999.99   -5.882
     57.91   999.99   -5.804
     60.96   999.99   -5.702
     64.01   999.99   -5.587
     67.06   999.99   -5.484
     70.10   999.99   -5.396
     73.15   999.99   -5.295
     76.20   999.99   -5.218
     79.25   999.99   -5.152
     82.30   999.99   -5.065
     85.34   999.99   -4.980
     88.39   999.99   -4.892
     91.44   999.99   -4.787
     94.49   999.99   -4.704
     97.54   999.99   -4.611
    100.58   999.99   -4.517
    103.63   999.99   -4.431
    106.68   999.99   -4.338
    109.73   999.99   -4.231
    112.78   999.99   -4.123
    115.82   999.99   -4.026
    118.87   999.99   -3.962
    121.92   999.99   -3.798
    124.97   999.99   -3.547
    128.02   999.99   -3.565
    131.06   999.99   -3.451
    134.11   999.99   -3.346
    137.16   999.99   -3.252
    140.21   999.99   -3.145
    143.26   999.99   -3.040
    146.30   999.99   -2.959
    149.35   999.99   -2.852
    152.40   999.99   -2.763
    155.45   999.99   -2.648
    158.50   999.99   -2.528
    161.54   999.99   -2.428
    164.59   999.99   -2.329
    167.64   999.99   -2.228
    170.69   999.99   -2.136
    173.74   999.99   -2.029
    176.78   999.99   -1.968
    179.83   999.99   -1.878
    182.88   999.99   -1.784
    185.93   999.99   -1.692
    188.98   999.99   -1.619
    192.02   999.99   -1.554
    195.07   999.99   -1.511
    198.12   999.99   -1.361
    201.17   999.99   -1.267
    204.22   999.99   -1.154
    207.26   999.99   -1.084
    210.31   999.99   -1.000
    213.36   999.99    -.915
    216.41   999.99    -.820
    219.46   999.99    -.754
    222.50   999.99    -.689
    225.55   999.99    -.627
    227.08   999.99    -.634
