 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KUY 
 Log Date:         81AUG25 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -7.012
     15.24   999.99   -7.256
     18.29   999.99   -7.309
     21.34   999.99   -7.319
     24.38   999.99   -7.315
     27.43   999.99   -7.326
     30.48   999.99   -7.258
     33.53   999.99   -7.216
     36.58   999.99   -7.195
     39.62   999.99   -7.189
     42.67   999.99   -7.176
     45.72   999.99   -7.152
     48.77   999.99   -7.133
     51.82   999.99   -7.079
     54.86   999.99   -7.053
     57.91   999.99   -7.044
     60.96   999.99   -7.026
     64.01   999.99   -6.985
     67.06   999.99   -7.058
     70.10   999.99   -6.886
     73.15   999.99   -6.834
     76.20   999.99   -6.785
     79.25   999.99   -6.730
     82.30   999.99   -6.671
     85.34   999.99   -6.627
     88.39   999.99   -6.587
     91.44   999.99   -6.485
     94.49   999.99   -6.363
     97.54   999.99   -6.264
    100.58   999.99   -6.161
    103.63   999.99   -6.071
    106.68   999.99   -6.006
    109.73   999.99   -5.981
    112.78   999.99   -5.955
    115.82   999.99   -5.940
    118.87   999.99   -5.905
    121.92   999.99   -5.862
    124.97   999.99   -5.814
    128.02   999.99   -5.703
    131.06   999.99   -5.609
    134.11   999.99   -5.537
    137.16   999.99   -5.418
    140.21   999.99   -5.286
    143.26   999.99   -5.139
    146.30   999.99   -4.964
    149.35   999.99   -4.836
    152.40   999.99   -4.723
    155.45   999.99   -4.629
    158.50   999.99   -4.657
    161.54   999.99   -4.649
    164.59   999.99   -4.587
    167.64   999.99   -4.493
    170.69   999.99   -4.370
    173.74   999.99   -4.215
    176.78   999.99   -4.051
    179.83   999.99   -3.886
    182.88   999.99   -3.775
    185.93   999.99   -3.717
    188.98   999.99   -3.679
    192.02   999.99   -3.633
    195.07   999.99   -3.582
    198.12   999.99   -3.524
    201.17   999.99   -3.450
    204.22   999.99   -3.372
    207.26   999.99   -3.275
    210.31   999.99   -3.171
    213.36   999.99   -3.099
    216.41   999.99   -3.100
    219.46   999.99   -3.161
    222.50   999.99   -3.130
    225.55   999.99   -3.024
    228.60   999.99   -2.893
    231.65   999.99   -2.752
    234.70   999.99   -2.616
    237.74   999.99   -2.493
    240.79   999.99   -2.403
    243.84   999.99   -2.340
    246.89   999.99   -2.282
