 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KUY 
 Log Date:         84AUG02 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.40   999.99  -10.828
      6.71   999.99  -10.832
      7.01   999.99  -10.839
      7.32   999.99  -10.838
      7.62   999.99  -10.833
      7.92   999.99  -10.820
      8.23   999.99  -10.813
      8.53   999.99  -10.800
      8.84   999.99  -10.790
      9.14   999.99  -10.776
      9.45   999.99  -10.761
      9.75   999.99  -10.660
     10.06   999.99  -10.297
     10.36   999.99   -9.733
     10.67   999.99   -9.547
     10.97   999.99   -9.421
     11.28   999.99   -9.332
     11.58   999.99   -9.256
     11.89   999.99   -9.209
     12.19   999.99   -9.163
     12.50   999.99   -9.122
     12.80   999.99   -9.086
     13.11   999.99   -9.057
     13.41   999.99   -9.035
     13.72   999.99   -9.016
     14.02   999.99   -9.005
     14.33   999.99   -8.987
     14.63   999.99   -8.969
     14.94   999.99   -8.952
     15.24   999.99   -8.939
     15.54   999.99   -8.923
     15.85   999.99   -8.908
     16.15   999.99   -8.896
     16.46   999.99   -8.884
     16.76   999.99   -8.876
     17.07   999.99   -8.866
     17.37   999.99   -8.855
     17.68   999.99   -8.841
     17.98   999.99   -8.831
     18.29   999.99   -8.822
     18.59   999.99   -8.813
     18.90   999.99   -8.803
     19.20   999.99   -8.794
     19.51   999.99   -8.787
     19.81   999.99   -8.780
     20.12   999.99   -8.775
     20.42   999.99   -8.769
     20.73   999.99   -8.760
     21.03   999.99   -8.754
     21.34   999.99   -8.749
     21.64   999.99   -8.741
     21.95   999.99   -8.735
     22.25   999.99   -8.729
     22.56   999.99   -8.725
     22.86   999.99   -8.721
     23.16   999.99   -8.715
     23.47   999.99   -8.711
     23.77   999.99   -8.706
     24.08   999.99   -8.702
     24.38   999.99   -8.699
     24.69   999.99   -8.696
     24.99   999.99   -8.692
     25.30   999.99   -8.689
     25.60   999.99   -8.685
     25.91   999.99   -8.681
     26.21   999.99   -8.677
     26.52   999.99   -8.673
     26.82   999.99   -8.669
     27.13   999.99   -8.665
     27.43   999.99   -8.659
     27.74   999.99   -8.655
     28.04   999.99   -8.652
     28.35   999.99   -8.648
     28.65   999.99   -8.648
     28.96   999.99   -8.645
     29.26   999.99   -8.640
     29.57   999.99   -8.637
     29.87   999.99   -8.634
     30.18   999.99   -8.629
     30.48   999.99   -8.624
     30.78   999.99   -8.605
     31.09   999.99   -8.604
     31.39   999.99   -8.604
     31.70   999.99   -8.603
     32.00   999.99   -8.603
     32.31   999.99   -8.602
     32.61   999.99   -8.600
     32.92   999.99   -8.597
     33.22   999.99   -8.594
     33.53   999.99   -8.591
     33.83   999.99   -8.589
     34.14   999.99   -8.585
     34.44   999.99   -8.584
     34.75   999.99   -8.580
     35.05   999.99   -8.576
     35.36   999.99   -8.573
     35.66   999.99   -8.572
     35.97   999.99   -8.569
     36.27   999.99   -8.565
     36.58   999.99   -8.561
     36.88   999.99   -8.555
     37.19   999.99   -8.551
     37.49   999.99   -8.548
     37.80   999.99   -8.545
     38.10   999.99   -8.542
     38.40   999.99   -8.538
     38.71   999.99   -8.534
     39.01   999.99   -8.531
     39.32   999.99   -8.528
     39.62   999.99   -8.524
     39.93   999.99   -8.521
     40.23   999.99   -8.517
     40.54   999.99   -8.515
     40.84   999.99   -8.511
     41.15   999.99   -8.507
     41.45   999.99   -8.502
     41.76   999.99   -8.498
     42.06   999.99   -8.495
     42.37   999.99   -8.493
     42.67   999.99   -8.488
     42.98   999.99   -8.485
     43.28   999.99   -8.480
     43.59   999.99   -8.477
     43.89   999.99   -8.475
     44.20   999.99   -8.471
     44.50   999.99   -8.466
     44.81   999.99   -8.462
     45.11   999.99   -8.457
     45.42   999.99   -8.452
     45.72   999.99   -8.449
     46.02   999.99   -8.445
     46.33   999.99   -8.442
     46.63   999.99   -8.439
     46.94   999.99   -8.437
     47.24   999.99   -8.432
     47.55   999.99   -8.427
     47.85   999.99   -8.420
     48.16   999.99   -8.417
     48.46   999.99   -8.415
     48.77   999.99   -8.409
     49.07   999.99   -8.408
     49.38   999.99   -8.404
     49.68   999.99   -8.400
     49.99   999.99   -8.398
     50.29   999.99   -8.396
     50.60   999.99   -8.392
     50.90   999.99   -8.390
     51.21   999.99   -8.385
     51.51   999.99   -8.381
     51.82   999.99   -8.378
     52.12   999.99   -8.372
     52.43   999.99   -8.369
     52.73   999.99   -8.366
     53.04   999.99   -8.363
     53.34   999.99   -8.361
     53.64   999.99   -8.356
     53.95   999.99   -8.352
     54.25   999.99   -8.349
     54.56   999.99   -8.346
     54.86   999.99   -8.343
     55.17   999.99   -8.339
     55.47   999.99   -8.335
     55.78   999.99   -8.333
     56.08   999.99   -8.330
     56.39   999.99   -8.326
     56.69   999.99   -8.322
     57.00   999.99   -8.317
     57.30   999.99   -8.313
     57.61   999.99   -8.310
     57.91   999.99   -8.303
     58.22   999.99   -8.299
     58.52   999.99   -8.295
     58.83   999.99   -8.289
     59.13   999.99   -8.287
     59.44   999.99   -8.283
     59.74   999.99   -8.279
     60.05   999.99   -8.274
     60.35   999.99   -8.268
     60.66   999.99   -8.266
     60.96   999.99   -8.263
     61.26   999.99   -8.256
     61.57   999.99   -8.255
     61.87   999.99   -8.251
     62.18   999.99   -8.246
     62.48   999.99   -8.242
     62.79   999.99   -8.238
     63.09   999.99   -8.237
     63.40   999.99   -8.233
     63.70   999.99   -8.225
     64.01   999.99   -8.221
     64.31   999.99   -8.218
     64.62   999.99   -8.214
     64.92   999.99   -8.209
     65.23   999.99   -8.206
     65.53   999.99   -8.202
     65.84   999.99   -8.198
     66.14   999.99   -8.192
     66.45   999.99   -8.186
     66.75   999.99   -8.183
     67.06   999.99   -8.178
     67.36   999.99   -8.173
     67.67   999.99   -8.170
     67.97   999.99   -8.165
     68.28   999.99   -8.161
     68.58   999.99   -8.157
     68.88   999.99   -8.151
     69.19   999.99   -8.148
     69.49   999.99   -8.146
     69.80   999.99   -8.142
     70.10   999.99   -8.134
     70.41   999.99   -8.129
     70.71   999.99   -8.124
     71.02   999.99   -8.120
     71.32   999.99   -8.114
     71.63   999.99   -8.109
     71.93   999.99   -8.105
     72.24   999.99   -8.099
     72.54   999.99   -8.094
     72.85   999.99   -8.088
     73.15   999.99   -8.083
     73.46   999.99   -8.080
     73.76   999.99   -8.076
     74.07   999.99   -8.073
     74.37   999.99   -8.070
     74.68   999.99   -8.065
     74.98   999.99   -8.062
     75.29   999.99   -8.057
     75.59   999.99   -8.052
     75.90   999.99   -8.046
     76.20   999.99   -8.041
     76.50   999.99   -8.036
     76.81   999.99   -8.033
     77.11   999.99   -8.028
     77.42   999.99   -8.023
     77.72   999.99   -8.017
     78.03   999.99   -8.010
     78.33   999.99   -8.006
     78.64   999.99   -8.002
     78.94   999.99   -7.994
     79.25   999.99   -7.987
     79.55   999.99   -7.980
     79.86   999.99   -7.975
     80.16   999.99   -7.971
     80.47   999.99   -7.965
     80.77   999.99   -7.960
     81.08   999.99   -7.954
     81.38   999.99   -7.950
     81.69   999.99   -7.937
     81.99   999.99   -7.928
     82.30   999.99   -7.923
     82.60   999.99   -7.920
     82.91   999.99   -7.917
     83.21   999.99   -7.914
     83.52   999.99   -7.907
     83.82   999.99   -7.898
     84.12   999.99   -7.890
     84.43   999.99   -7.886
     84.73   999.99   -7.883
     85.04   999.99   -7.880
     85.34   999.99   -7.876
     85.65   999.99   -7.873
     85.95   999.99   -7.865
     86.26   999.99   -7.852
     86.56   999.99   -7.845
     86.87   999.99   -7.841
     87.17   999.99   -7.834
     87.48   999.99   -7.823
     87.78   999.99   -7.813
     88.09   999.99   -7.806
     88.39   999.99   -7.799
     88.70   999.99   -7.783
     89.00   999.99   -7.774
     89.31   999.99   -7.762
     89.61   999.99   -7.753
     89.92   999.99   -7.747
     90.22   999.99   -7.738
     90.53   999.99   -7.726
     90.83   999.99   -7.707
     91.14   999.99   -7.689
     91.44   999.99   -7.683
     91.74   999.99   -7.640
     92.05   999.99   -7.636
     92.35   999.99   -7.630
     92.66   999.99   -7.619
     92.96   999.99   -7.610
     93.27   999.99   -7.601
     93.57   999.99   -7.595
     93.88   999.99   -7.587
     94.18   999.99   -7.575
     94.49   999.99   -7.564
     94.79   999.99   -7.557
     95.10   999.99   -7.548
     95.40   999.99   -7.537
     95.71   999.99   -7.524
     96.01   999.99   -7.513
     96.32   999.99   -7.504
     96.62   999.99   -7.497
     96.93   999.99   -7.488
     97.23   999.99   -7.481
     97.54   999.99   -7.475
     97.84   999.99   -7.468
     98.15   999.99   -7.461
     98.45   999.99   -7.451
     98.76   999.99   -7.443
     99.06   999.99   -7.438
     99.36   999.99   -7.432
     99.67   999.99   -7.425
     99.97   999.99   -7.418
    100.28   999.99   -7.405
    100.58   999.99   -7.399
    100.89   999.99   -7.391
    101.19   999.99   -7.385
    101.50   999.99   -7.378
    101.80   999.99   -7.371
    102.11   999.99   -7.366
