 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             LBN 
 Log Date:         81AUG22 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -1.230
     18.29   999.99   -2.274
     21.34   999.99   -3.004
     24.38   999.99   -3.290
     27.43   999.99   -3.410
     30.48   999.99   -3.424
     33.53   999.99   -3.414
     36.58   999.99   -3.385
     39.62   999.99   -3.362
     42.67   999.99   -3.328
     45.72   999.99   -3.292
     48.77   999.99   -3.235
     51.82   999.99   -3.156
     54.86   999.99   -3.071
     57.91   999.99   -2.979
     60.96   999.99   -2.898
     64.01   999.99   -2.841
     67.06   999.99   -2.782
     70.10   999.99   -2.736
     73.15   999.99   -2.688
     76.20   999.99   -2.641
     79.25   999.99   -2.575
     82.30   999.99   -2.523
     85.34   999.99   -2.463
     88.39   999.99   -2.410
     91.44   999.99   -2.361
     94.49   999.99   -2.300
     97.54   999.99   -2.250
    100.58   999.99   -2.226
    103.63   999.99   -2.182
    106.68   999.99   -2.095
    109.73   999.99   -2.021
    112.78   999.99   -1.957
    115.82   999.99   -1.882
    118.87   999.99   -1.810
    121.92   999.99   -1.740
    124.97   999.99   -1.714
    128.02   999.99   -1.740
    131.06   999.99   -1.796
    134.11   999.99   -1.823
    137.16   999.99   -1.821
    140.21   999.99   -1.802
    143.26   999.99   -1.769
    146.30   999.99   -1.725
    149.35   999.99   -1.670
    152.40   999.99   -1.606
    155.45   999.99   -1.538
    158.50   999.99   -1.471
    161.54   999.99   -1.401
    164.59   999.99   -1.355
    167.64   999.99   -1.330
    170.69   999.99   -1.314
    173.74   999.99   -1.292
    176.78   999.99   -1.263
    179.83   999.99   -1.224
    182.88   999.99   -1.178
    185.93   999.99   -1.097
    188.98   999.99   -1.003
    192.02   999.99    -.900
    195.07   999.99    -.753
    198.12   999.99    -.532
    201.17   999.99    -.329
    204.22   999.99    -.228
    207.26   999.99    -.140
    210.31   999.99    -.095
    213.36   999.99    -.029
    216.41   999.99     .053
    219.46   999.99     .136
    222.50   999.99     .202
    225.55   999.99     .297
    228.60   999.99     .369
    231.65   999.99     .457
    234.70   999.99     .520
    237.74   999.99     .583
    240.79   999.99     .624
    243.84   999.99     .682
    246.89   999.99     .738
    249.94   999.99     .801
    252.98   999.99     .848
    256.03   999.99     .921
    259.08   999.99     .985
    262.13   999.99    1.062
    265.18   999.99    1.135
    268.22   999.99    1.208
    271.27   999.99    1.275
    274.32   999.99    1.357
    277.37   999.99    1.445
    280.42   999.99    1.543
    283.46   999.99    1.628
    286.51   999.99    1.725
    289.56   999.99    1.793
    292.61   999.99    1.865
    295.66   999.99    1.957
    298.70   999.99    2.019
    301.75   999.99    2.096
    304.80   999.99    2.146
    307.85   999.99    2.217
    310.90   999.99    2.282
    313.94   999.99    2.353
    316.99   999.99    2.422
    320.04   999.99    2.477
    323.09   999.99    2.551
    326.14   999.99    2.627
    329.18   999.99    2.696
    332.23   999.99    2.761
    335.28   999.99    2.831
    338.33   999.99    2.910
    341.38   999.99    2.969
    344.42   999.99    3.036
    347.47   999.99    3.098
    350.52   999.99    3.157
    353.57   999.99    3.218
    356.62   999.99    3.295
    359.66   999.99    3.354
    362.71   999.99    3.419
    365.76   999.99    3.473
    368.81   999.99    3.535
    371.86   999.99    3.592
    374.90   999.99    3.658
    377.95   999.99    3.715
    381.00   999.99    3.781
    384.05   999.99    3.845
    387.10   999.99    3.904
    390.14   999.99    3.963
    393.19   999.99    4.021
    396.24   999.99    4.080
    399.29   999.99    4.149
    402.34   999.99    4.202
    405.38   999.99    4.268
    408.43   999.99    4.329
    411.48   999.99    4.399
    414.53   999.99    4.453
    417.58   999.99    4.516
    420.62   999.99    4.573
    423.67   999.99    4.632
    426.72   999.99    4.694
    429.77   999.99    4.752
    432.82   999.99    4.841
    435.86   999.99    4.891
    438.91   999.99    4.939
    441.96   999.99    4.995
    445.01   999.99    5.052
    448.06   999.99    5.110
    451.10   999.99    5.165
    454.15   999.99    5.226
    457.20   999.99    5.289
    460.25   999.99    5.350
    463.30   999.99    5.408
    466.34   999.99    5.470
    469.39   999.99    5.534
    472.44   999.99    5.607
    475.49   999.99    5.674
    478.54   999.99    5.730
    481.58   999.99    5.803
    484.63   999.99    5.852
    487.68   999.99    5.913
    490.73   999.99    5.969
    493.78   999.99    6.034
    496.83   999.99    6.099
    499.87   999.99    6.163
    502.92   999.99    6.222
    505.97   999.99    6.280
    509.02   999.99    6.348
    512.07   999.99    6.402
    515.11   999.99    6.464
    518.16   999.99    6.505
    521.21   999.99    6.619
