 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             LUP 
 Log Date:         75AUG15 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      7.62   999.99     .052
     15.24   999.99    -.551
     18.29   999.99    -.566
     21.34   999.99    -.490
     24.38   999.99    -.375
     27.43   999.99    -.293
     30.48   999.99    -.181
     33.53   999.99    -.083
     36.58   999.99     .029
     39.62   999.99     .143
     42.67   999.99     .239
     45.72   999.99     .304
     48.77   999.99     .346
     51.82   999.99     .405
     54.86   999.99     .436
     57.91   999.99     .482
     60.96   999.99     .541
     64.01   999.99     .623
     67.06   999.99     .704
     70.10   999.99     .795
     73.15   999.99     .887
     76.20   999.99     .983
     79.25   999.99    1.065
     82.30   999.99    1.148
     85.34   999.99    1.221
     88.39   999.99    1.265
     91.44   999.99    1.304
     94.49   999.99    1.329
     97.54   999.99    1.337
    100.58   999.99    1.310
    103.63   999.99    1.280
    106.68   999.99    1.273
    109.73   999.99    1.280
    112.78   999.99    1.337
    115.82   999.99    1.433
    118.87   999.99    1.515
    121.92   999.99    1.677
    124.97   999.99    1.846
    128.02   999.99    1.984
    131.06   999.99    2.169
    134.11   999.99    2.317
    137.16   999.99    2.474
    140.21   999.99    2.605
    143.26   999.99    2.684
    146.30   999.99    2.815
    149.35   999.99    2.937
    152.40   999.99    3.060
    155.45   999.99    3.216
    158.50   999.99    3.329
    161.54   999.99    3.446
    164.59   999.99    3.496
    167.64   999.99    3.514
    170.69   999.99    3.531
    173.74   999.99    3.563
    176.78   999.99    3.593
    179.83   999.99    3.611
    182.88   999.99    3.625
    185.93   999.99    3.643
    188.98   999.99    3.709
    192.02   999.99    3.793
    195.07   999.99    3.880
    198.12   999.99    3.957
    201.17   999.99    4.053
    204.22   999.99    4.164
    207.26   999.99    4.229
    210.31   999.99    4.284
    213.36   999.99    4.329
    216.41   999.99    4.350
    219.46   999.99    4.380
    222.50   999.99    4.401
    225.55   999.99    4.414
    228.60   999.99    4.416
    231.65   999.99    4.377
    234.70   999.99    4.164
    237.74   999.99    4.090
    240.79   999.99    4.121
    243.84   999.99    4.280
    246.89   999.99    4.474
    249.94   999.99    4.668
    252.98   999.99    4.856
    256.03   999.99    5.000
    259.08   999.99    5.114
    262.13   999.99    5.157
    265.18   999.99    5.263
    268.22   999.99    5.282
    271.27   999.99    5.301
    274.32   999.99    5.309
    277.37   999.99    5.296
    280.42   999.99    5.247
    283.46   999.99    5.232
    286.51   999.99    5.232
    289.56   999.99    5.262
    292.61   999.99    5.293
    295.66   999.99    5.332
    298.70   999.99    5.368
    301.75   999.99    5.407
    304.80   999.99    5.451
    307.85   999.99    5.506
    310.90   999.99    5.564
    313.94   999.99    5.641
    316.99   999.99    5.708
    320.04   999.99    5.771
    323.09   999.99    5.856
    326.14   999.99    5.925
    329.18   999.99    6.022
    332.23   999.99    6.141
    335.28   999.99    6.221
    338.33   999.99    6.301
    341.38   999.99    6.384
    344.42   999.99    6.473
    347.47   999.99    6.577
    350.52   999.99    6.675
    353.57   999.99    6.790
    356.62   999.99    6.865
    359.66   999.99    6.918
    362.71   999.99    7.036
    365.76   999.99    7.073
    368.81   999.99    7.117
    371.86   999.99    7.160
    374.90   999.99    7.231
    377.95   999.99    7.296
    381.00   999.99    7.395
    384.05   999.99    7.469
    387.10   999.99    7.581
    390.14   999.99    7.682
    393.19   999.99    7.768
    396.24   999.99    7.811
    399.29   999.99    7.783
    402.34   999.99    7.527
    405.38   999.99    7.357
    408.43   999.99    7.342
    411.48   999.99    7.390
    414.53   999.99    7.432
    417.58   999.99    7.501
    420.62   999.99    7.658
    423.67   999.99    7.716
    426.72   999.99    7.755
    429.77   999.99    7.810
    432.82   999.99    7.893
    435.86   999.99    7.891
    438.91   999.99    7.929
    441.96   999.99    7.941
    445.01   999.99    7.991
    448.06   999.99    8.062
    451.10   999.99    8.196
    454.15   999.99    8.363
    457.20   999.99    8.498
    460.25   999.99    8.694
    463.30   999.99    8.881
    466.34   999.99    9.236
    469.39   999.99    9.282
    472.44   999.99    9.203
