 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             NHST
 Log Date:         87AUG28 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
       .30   999.99    6.722
       .61   999.99    6.689
       .91   999.99    6.641
      1.22   999.99    6.594
      1.52   999.99    6.543
      1.83   999.99    6.490
      2.13   999.99    6.422
      2.44   999.99    6.347
      2.74   999.99    6.270
      3.05   999.99    6.191
      3.35   999.99    6.098
      3.66   999.99    6.010
      3.96   999.99    5.910
      4.27   999.99    5.818
      4.57   999.99    5.723
      4.88   999.99    5.619
      5.18   999.99    5.523
      5.49   999.99    5.416
      5.79   999.99    5.317
      6.10   999.99    5.206
      6.40   999.99    3.887
      6.71   999.99    3.814
      7.01   999.99    3.739
      7.32   999.99    3.666
      7.62   999.99    3.583
      7.92   999.99    3.505
      8.23   999.99    3.425
      8.53   999.99    3.354
      8.84   999.99    3.276
      9.14   999.99    3.198
      9.45   999.99    3.130
      9.75   999.99     .241
     10.06   999.99   -1.906
     10.36   999.99   -3.913
     10.67   999.99   -5.132
     10.97   999.99   -6.194
     11.28   999.99   -6.974
     11.58   999.99   -7.538
     11.89   999.99   -7.980
     12.19   999.99   -8.292
     12.50   999.99   -8.501
     12.80   999.99   -8.687
     13.11   999.99   -8.847
     13.41   999.99   -8.942
     13.72   999.99   -9.045
     14.02   999.99   -9.116
     14.33   999.99   -9.153
     14.63   999.99   -9.194
     14.94   999.99   -9.225
     15.24   999.99   -9.253
     15.54   999.99   -9.270
     15.85   999.99   -9.279
     16.15   999.99   -9.286
     16.46   999.99   -9.292
     16.76   999.99   -9.294
     17.07   999.99   -9.257
     17.37   999.99   -9.284
     17.68   999.99   -9.283
     17.98   999.99   -9.275
     18.29   999.99   -9.266
     18.59   999.99   -9.260
     18.90   999.99   -9.251
     19.20   999.99   -9.242
     19.51   999.99   -9.231
     19.81   999.99   -9.221
     20.12   999.99   -9.210
     20.42   999.99   -9.198
     20.73   999.99   -9.190
     21.03   999.99   -9.180
     21.34   999.99   -9.171
     21.64   999.99   -9.161
     21.95   999.99   -9.148
     22.25   999.99   -9.139
     22.56   999.99   -9.128
     22.86   999.99   -9.123
     23.16   999.99   -9.117
     23.47   999.99   -9.108
     23.77   999.99   -9.101
     24.08   999.99   -9.094
     24.38   999.99   -9.087
     24.69   999.99   -9.075
     24.99   999.99   -9.069
     25.30   999.99   -9.062
     25.60   999.99   -9.055
     25.91   999.99   -9.047
     26.21   999.99   -9.037
     26.52   999.99   -9.031
     26.82   999.99   -9.025
     27.13   999.99   -9.018
     27.43   999.99   -9.012
     27.74   999.99   -9.007
     28.04   999.99   -9.001
     28.35   999.99   -8.997
     28.65   999.99   -8.994
     28.96   999.99   -8.987
     29.26   999.99   -8.982
     29.57   999.99   -8.976
     29.87   999.99   -8.972
     30.18   999.99   -8.968
     30.48   999.99   -8.964
     30.78   999.99   -8.959
     31.09   999.99   -8.956
     31.39   999.99   -8.952
     31.70   999.99   -8.948
     32.00   999.99   -8.945
     32.31   999.99   -8.942
     32.61   999.99   -8.938
     32.92   999.99   -8.934
     33.22   999.99   -8.930
     33.53   999.99   -8.925
     33.83   999.99   -8.922
