 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             NING
 Log Date:         85JUN29 
 Type of Log:      incremental  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -9.370
     18.29   999.99   -9.076
     21.34   999.99   -8.779
     24.38   999.99   -8.652
     27.43   999.99   -8.540
     30.48   999.99   -8.447
     33.53   999.99   -8.395
     36.58   999.99   -8.340
     39.62   999.99   -8.286
     42.67   999.99   -8.223
     45.72   999.99   -8.154
     48.77   999.99   -8.105
     51.82   999.99   -8.040
     54.86   999.99   -7.988
     57.91   999.99   -7.902
     60.96   999.99   -7.839
     64.01   999.99   -7.763
     67.06   999.99   -7.672
     70.10   999.99   -7.601
     73.15   999.99   -7.513
     76.20   999.99   -7.433
     79.25   999.99   -7.346
     82.30   999.99   -7.265
     85.34   999.99   -7.167
     88.39   999.99   -7.075
     91.44   999.99   -6.983
     94.49   999.99   -6.876
     97.54   999.99   -6.780
    100.58   999.99   -6.701
    103.63   999.99   -6.599
    106.68   999.99   -6.481
    109.73   999.99   -6.401
    112.78   999.99   -6.302
    115.82   999.99   -6.203
    118.87   999.99   -6.064
    121.92   999.99   -5.967
    124.97   999.99   -5.863
    128.02   999.99   -5.718
    131.06   999.99   -5.568
    134.11   999.99   -5.445
    137.16   999.99   -5.328
    140.21   999.99   -5.178
    143.26   999.99   -5.039
    146.30   999.99   -4.868
    149.35   999.99   -4.740
    152.40   999.99   -4.587
    160.02   999.99   -4.219
    167.64   999.99   -3.969
    175.26   999.99   -3.718
    182.88   999.99   -3.418
    190.50   999.99   -3.167
    198.12   999.99   -2.922
    205.74   999.99   -2.647
    213.36   999.99   -2.336
    220.98   999.99   -2.033
    228.60   999.99   -1.764
    236.22   999.99   -1.461
    243.84   999.99   -1.169
    251.46   999.99    -.932
    259.08   999.99    -.731
    266.70   999.99    -.477
    274.32   999.99    -.195
    281.94   999.99     .111
    289.56   999.99     .411
    297.18   999.99     .749
    304.80   999.99    1.042
    312.42   999.99    1.331
    320.04   999.99    1.576
    327.66   999.99    1.834
    335.28   999.99    2.093
    342.90   999.99    2.369
    350.52   999.99    2.653
    358.14   999.99    2.948
    365.76   999.99    3.245
    373.38   999.99    3.525
    381.00   999.99    3.820
    388.62   999.99    4.108
    396.24   999.99    4.388
    403.86   999.99    4.698
    411.48   999.99    4.986
    419.10   999.99    5.233
    426.72   999.99    5.530
    434.34   999.99    5.823
    441.96   999.99    6.101
    449.58   999.99    6.438
    457.20   999.99    6.771
    464.82   999.99    7.197
    472.44   999.99    7.522
    480.06   999.99    7.877
    487.68   999.99    8.129
    495.30   999.99    8.357
    502.92   999.99    8.628
    510.54   999.99    8.888
    518.16   999.99    9.166
    525.78   999.99    9.446
    533.40   999.99    9.734
    541.02   999.99   10.060
    548.64   999.99   10.363
    556.26   999.99   10.624
    563.88   999.99   10.901
    571.50   999.99   11.146
    579.12   999.99   11.342
    586.74   999.99   11.466
    594.36   999.99   11.845
    601.98   999.99   12.170
    609.60   999.99   12.452
    617.22   999.99   12.736
    624.84   999.99   12.891
