 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             NING
 Log Date:         82AUG31 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      3.05   999.99    -.382
      4.57   999.99    -.741
      6.10   999.99   -3.128
      7.62   999.99   -5.005
      9.14   999.99   -5.883
     10.67   999.99   -6.509
     12.19   999.99   -6.735
     13.72   999.99   -6.824
     15.24   999.99   -6.828
     16.76   999.99   -6.812
     18.29   999.99   -6.776
     19.81   999.99   -6.766
     21.34   999.99   -6.763
     22.86   999.99   -6.763
     24.38   999.99   -6.781
     25.91   999.99   -6.805
     27.43   999.99   -6.840
     28.96   999.99   -6.870
     30.48   999.99   -6.880
     32.00   999.99   -6.883
     33.53   999.99   -6.882
     35.05   999.99   -6.876
     36.58   999.99   -6.871
     38.10   999.99   -6.864
     39.62   999.99   -6.844
     41.15   999.99   -6.826
     42.67   999.99   -6.796
     44.20   999.99   -6.761
     45.72   999.99   -6.706
     47.24   999.99   -6.664
     48.77   999.99   -6.618
     50.29   999.99   -6.437
     51.82   999.99   -6.547
     53.34   999.99   -6.519
     54.86   999.99   -6.496
     56.39   999.99   -6.468
     57.91   999.99   -6.442
     59.44   999.99   -6.408
     60.96   999.99   -6.381
     62.48   999.99   -6.351
     64.01   999.99   -6.309
     67.06   999.99   -6.234
     68.58   999.99   -6.187
     70.10   999.99   -6.137
     71.63   999.99   -6.094
     73.15   999.99   -6.046
     74.68   999.99   -6.010
     76.20   999.99   -5.977
     77.72   999.99   -5.937
     79.25   999.99   -5.899
     80.77   999.99   -5.852
     82.30   999.99   -5.815
     83.82   999.99   -5.775
     85.34   999.99   -5.737
     86.87   999.99   -5.700
     88.39   999.99   -5.647
     89.92   999.99   -5.594
     91.44   999.99   -5.550
     92.96   999.99   -5.494
     94.49   999.99   -5.446
     96.01   999.99   -5.401
     97.54   999.99   -5.350
     99.06   999.99   -5.301
    100.58   999.99   -5.256
    102.11   999.99   -5.213
    103.63   999.99   -5.171
    105.16   999.99   -5.124
    106.68   999.99   -5.076
    108.20   999.99   -5.028
    109.73   999.99   -4.975
    111.25   999.99   -4.930
    112.78   999.99   -4.881
    114.30   999.99   -4.826
    115.82   999.99   -4.775
    117.35   999.99   -4.719
    118.87   999.99   -4.658
    120.40   999.99   -4.599
    121.92   999.99   -4.543
    123.44   999.99   -4.485
    124.97   999.99   -4.435
    126.49   999.99   -4.378
    128.02   999.99   -4.322
    131.06   999.99   -4.188
    135.64   999.99   -3.989
    137.16   999.99   -3.913
    138.68   999.99   -3.845
    140.21   999.99   -3.770
    141.73   999.99   -3.696
    144.78   999.99   -3.451
    146.30   999.99   -3.382
    147.83   999.99   -3.319
    149.35   999.99   -3.247
    150.88   999.99   -3.190
    152.40   999.99   -3.134
    153.92   999.99   -3.070
    155.45   999.99   -2.998
    156.97   999.99   -2.927
