 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             NKP 
 Log Date:         79SEP10 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -8.419
      9.14   999.99   -8.478
     12.19   999.99   -8.453
     18.29   999.99   -8.364
     24.38   999.99   -8.224
     30.48   999.99   -8.029
     36.58   999.99   -7.820
     42.67   999.99   -7.636
     48.77   999.99   -7.414
     54.86   999.99   -7.107
     60.96   999.99   -6.844
     67.06   999.99   -6.546
     73.15   999.99   -6.245
     79.25   999.99   -5.908
     85.34   999.99   -5.575
     91.44   999.99   -5.224
     97.54   999.99   -4.843
    103.63   999.99   -4.525
    109.73   999.99   -4.211
    115.82   999.99   -3.912
    121.92   999.99   -3.602
    128.02   999.99   -3.347
    134.11   999.99   -2.894
    140.21   999.99   -2.290
    146.30   999.99   -2.018
    152.40   999.99   -1.730
    158.50   999.99   -1.532
    164.59   999.99    -.991
    170.69   999.99    -.831
    176.78   999.99    -.758
    182.88   999.99    -.685
    188.98   999.99    -.347
    195.07   999.99     .042
    201.17   999.99     .196
    207.26   999.99     .513
    213.36   999.99     .800
    219.46   999.99    1.082
    225.55   999.99    1.354
    231.65   999.99    1.629
    237.74   999.99    1.934
    243.84   999.99    2.244
    249.94   999.99    2.525
    256.03   999.99    2.817
    262.13   999.99    3.106
    268.22   999.99    3.374
    274.32   999.99    3.638
    280.42   999.99    3.909
    286.51   999.99    4.206
    292.61   999.99    4.489
    298.70   999.99    4.750
    304.80   999.99    5.030
    310.90   999.99    5.324
    316.99   999.99    5.621
    323.09   999.99    5.919
    329.18   999.99    6.186
    335.28   999.99    6.500
    341.38   999.99    6.829
    347.47   999.99    7.087
    353.57   999.99    7.405
    359.66   999.99    7.640
    365.76   999.99    7.892
    371.86   999.99    8.171
    377.95   999.99    8.458
    384.05   999.99    8.747
    390.14   999.99    8.997
    396.24   999.99    9.256
    402.34   999.99    9.512
    408.43   999.99    9.796
    414.53   999.99   10.064
    420.62   999.99   10.323
    426.72   999.99   10.583
    432.82   999.99   10.876
    438.91   999.99   11.131
    445.01   999.99   11.422
    451.10   999.99   11.696
    457.20   999.99   11.990
    463.30   999.99   12.292
    469.39   999.99   12.575
    475.49   999.99   12.825
    481.58   999.99   13.135
    487.68   999.99   13.399
    490.73   999.99   13.555
    493.78   999.99   13.700
    496.83   999.99   13.839
    499.87   999.99   14.023
    502.92   999.99   14.176
    505.97   999.99   14.348
    509.02   999.99   14.493
    512.07   999.99   14.622
    515.11   999.99   14.773
    518.16   999.99   14.927
    521.21   999.99   15.053
    524.26   999.99   15.186
    527.31   999.99   15.325
    530.35   999.99   15.449
    533.40   999.99   15.605
    536.45   999.99   15.737
    539.50   999.99   15.851
    542.55   999.99   16.003
    545.59   999.99   16.142
    548.64   999.99   16.270
    551.69   999.99   16.431
    554.74   999.99   16.576
    557.79   999.99   16.704
    560.83   999.99   16.854
    563.88   999.99   16.989
    566.93   999.99   17.123
    569.98   999.99   17.269
    573.03   999.99   17.419
    576.07   999.99   17.540
    579.12   999.99   17.679
    582.17   999.99   17.804
    585.22   999.99   17.948
    588.27   999.99   18.073
    591.31   999.99   18.223
    594.36   999.99   18.343
    597.41   999.99   18.503
    600.46   999.99   18.617
    603.51   999.99   18.780
    606.55   999.99   18.921
    609.60   999.99   19.054
    612.65   999.99   19.189
    615.70   999.99   19.328
    618.75   999.99   19.458
    621.79   999.99   19.620
    624.84   999.99   19.777
    627.89   999.99   19.863
    630.94   999.99   20.062
    633.99   999.99   20.177
    637.03   999.99   20.292
    640.08   999.99   20.429
    643.13   999.99   20.525
    646.18   999.99   20.616
    649.23   999.99   20.988
    652.27   999.99   21.154
    655.32   999.99   21.329
    658.37   999.99   21.503
