 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             NWEN
 Log Date:         87AUG30 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      5.18   999.99     .518
      5.49   999.99   -2.365
      5.79   999.99   -4.523
      6.10   999.99   -5.745
      6.40   999.99   -6.628
      6.71   999.99   -7.249
      7.01   999.99   -7.756
      7.32   999.99   -8.164
      7.62   999.99   -8.476
      7.92   999.99   -8.783
      8.23   999.99   -8.995
      8.53   999.99   -9.168
      8.84   999.99   -9.363
      9.14   999.99   -9.506
      9.45   999.99   -9.627
      9.75   999.99   -9.743
     10.06   999.99   -9.835
     10.36   999.99   -9.910
     10.67   999.99   -9.970
     10.97   999.99  -10.013
     11.58   999.99  -10.063
     11.89   999.99  -10.074
     12.19   999.99  -10.081
     12.50   999.99  -10.085
     12.80   999.99  -10.087
     13.11   999.99  -10.088
     13.41   999.99  -10.086
     13.72   999.99  -10.080
     14.02   999.99  -10.074
     14.33   999.99  -10.066
     14.63   999.99  -10.043
     14.94   999.99   -9.983
     15.24   999.99   -9.929
     15.54   999.99   -9.892
     15.85   999.99   -9.860
     16.15   999.99   -9.838
     16.46   999.99   -9.819
     16.76   999.99   -9.804
     17.07   999.99   -9.786
     17.37   999.99   -9.767
     17.68   999.99   -9.754
     17.98   999.99   -9.739
     18.29   999.99   -9.728
     18.59   999.99   -9.711
     18.90   999.99   -9.693
     19.20   999.99   -9.678
     19.51   999.99   -9.658
     19.81   999.99   -9.643
     20.12   999.99   -9.625
     20.42   999.99   -9.609
     20.73   999.99   -9.596
     21.03   999.99   -9.583
     21.34   999.99   -9.572
     21.64   999.99   -9.554
     21.95   999.99   -9.534
     22.25   999.99   -9.518
     22.56   999.99   -9.504
     22.86   999.99   -9.492
     23.16   999.99   -9.483
     23.47   999.99   -9.471
     23.77   999.99   -9.459
     24.08   999.99   -9.445
     24.38   999.99   -9.428
     24.69   999.99   -9.415
     24.99   999.99   -9.402
     25.30   999.99   -9.393
     25.60   999.99   -9.384
     25.91   999.99   -9.376
     26.21   999.99   -9.367
     26.52   999.99   -9.356
     26.82   999.99   -9.346
     27.13   999.99   -9.336
     27.43   999.99   -9.325
     27.74   999.99   -9.316
     28.04   999.99   -9.310
     28.35   999.99   -9.305
     28.65   999.99   -9.300
     28.96   999.99   -9.296
     29.26   999.99   -9.293
     29.57   999.99   -9.291
     29.87   999.99   -9.290
     30.18   999.99   -9.289
     30.48   999.99   -9.288
     30.78   999.99   -9.276
     31.09   999.99   -9.262
     31.39   999.99   -9.250
     31.70   999.99   -9.237
     32.00   999.99   -9.229
     32.31   999.99   -9.220
     32.61   999.99   -9.214
     32.92   999.99   -9.202
     33.22   999.99   -9.191
     33.53   999.99   -9.180
     33.83   999.99   -9.173
     34.14   999.99   -9.168
     34.44   999.99   -9.163
     34.75   999.99   -9.158
     35.05   999.99   -9.155
     35.36   999.99   -9.153
     35.66   999.99   -9.149
     35.97   999.99   -9.146
     36.27   999.99   -9.144
     36.58   999.99   -9.139
     36.88   999.99   -9.135
     37.19   999.99   -9.133
     37.49   999.99   -9.129
     37.80   999.99   -9.127
     38.10   999.99   -9.124
     38.40   999.99   -9.120
     38.71   999.99   -9.118
     39.01   999.99   -9.115
     39.32   999.99   -9.110
     39.62   999.99   -9.107
     39.93   999.99   -9.103
     40.23   999.99   -9.100
     40.54   999.99   -9.098
     40.84   999.99   -9.095
     41.15   999.99   -9.093
     41.45   999.99   -9.090
     41.76   999.99   -9.086
     42.06   999.99   -9.082
     42.37   999.99   -9.079
     42.67   999.99   -9.075
     42.98   999.99   -9.072
