 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBA 
 Log Date:         71MAR26 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     27.43   999.99   -9.020
     35.05   999.99   -8.755
     42.67   999.99   -8.674
     50.29   999.99   -8.654
     57.91   999.99   -8.659
     65.53   999.99   -8.648
     73.15   999.99   -8.628
     80.77   999.99   -8.614
     88.39   999.99   -8.588
     96.01   999.99   -8.555
    103.63   999.99   -8.506
    111.25   999.99   -8.510
    118.87   999.99   -8.490
    126.49   999.99   -8.432
    134.11   999.99   -8.350
    141.73   999.99   -8.266
    149.35   999.99   -8.183
    156.97   999.99   -8.107
    164.59   999.99   -8.030
    172.21   999.99   -7.935
    179.83   999.99   -7.839
    187.45   999.99   -7.747
    195.07   999.99   -7.648
    202.69   999.99   -7.546
    210.31   999.99   -7.438
    217.93   999.99   -7.288
    225.55   999.99   -7.110
    233.17   999.99   -6.985
    240.79   999.99   -6.887
    248.41   999.99   -6.775
    256.03   999.99   -6.636
    263.65   999.99   -6.506
    271.27   999.99   -6.370
    278.89   999.99   -6.241
    286.51   999.99   -6.099
    294.13   999.99   -5.981
    301.75   999.99   -5.858
    309.37   999.99   -5.727
    316.99   999.99   -5.585
    324.61   999.99   -5.421
    332.23   999.99   -5.300
    339.85   999.99   -5.200
    347.47   999.99   -5.078
    355.09   999.99   -4.979
    362.71   999.99   -4.864
    370.33   999.99   -4.759
    377.95   999.99   -4.640
    385.57   999.99   -4.530
    393.19   999.99   -4.411
    400.81   999.99   -4.255
    408.43   999.99   -4.115
    416.05   999.99   -3.994
    423.67   999.99   -3.870
    431.29   999.99   -3.773
    438.91   999.99   -3.692
    446.53   999.99   -3.611
    454.15   999.99   -3.505
    461.77   999.99   -3.386
    469.39   999.99   -3.263
    477.01   999.99   -3.104
    484.63   999.99   -2.999
    492.25   999.99   -2.854
    499.87   999.99   -2.741
    507.49   999.99   -2.585
    515.11   999.99   -2.463
    522.73   999.99   -2.373
    530.35   999.99   -2.276
    537.97   999.99   -2.117
    545.59   999.99   -1.996
    553.21   999.99   -1.861
    560.83   999.99   -1.755
    568.45   999.99   -1.622
    576.07   999.99   -1.514
    583.69   999.99   -1.450
    591.31   999.99   -1.324
    598.93   999.99   -1.105
    606.55   999.99    -.896
    614.17   999.99    -.849
    621.79   999.99    -.712
    629.41   999.99    -.431
    637.03   999.99    -.196
    644.65   999.99     .065
    652.27   999.99     .318
    659.89   999.99     .524
    667.51   999.99     .727
    675.13   999.99     .929
    682.75   999.99    1.119
    690.37   999.99    1.311
    697.99   999.99    1.502
    705.61   999.99    1.706
    713.23   999.99    1.938
    720.85   999.99    2.151
    728.47   999.99    2.357
    736.09   999.99    2.574
    743.71   999.99    2.787
    751.33   999.99    2.972
    758.95   999.99    3.207
