 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBB 
 Log Date:         73SEP25 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      7.62   999.99   -8.149
     15.24   999.99   -8.927
     22.86   999.99   -8.975
     30.48   999.99   -8.982
     38.10   999.99   -8.975
     45.72   999.99   -8.963
     53.34   999.99   -8.943
     60.96   999.99   -8.921
     68.58   999.99   -8.884
     76.20   999.99   -8.848
     83.82   999.99   -8.792
     91.44   999.99   -8.765
     99.06   999.99   -8.735
    106.68   999.99   -8.694
    114.30   999.99   -8.634
    121.92   999.99   -8.575
    129.54   999.99   -8.505
    137.16   999.99   -8.401
    144.78   999.99   -8.306
    152.40   999.99   -8.246
    160.02   999.99   -8.128
    167.64   999.99   -8.033
    175.26   999.99   -7.880
    182.88   999.99   -7.778
    190.50   999.99   -7.643
    198.12   999.99   -7.526
    205.74   999.99   -7.382
    213.36   999.99   -7.266
    220.98   999.99   -7.126
    228.60   999.99   -6.988
    236.22   999.99   -6.894
    243.84   999.99   -6.766
    251.46   999.99   -6.624
    259.08   999.99   -6.529
    266.70   999.99   -6.419
    274.32   999.99   -6.284
    281.94   999.99   -6.179
    289.56   999.99   -6.018
    297.18   999.99   -5.896
    304.80   999.99   -5.763
    312.42   999.99   -5.606
    320.04   999.99   -5.478
    327.66   999.99   -5.345
    335.28   999.99   -5.229
    342.90   999.99   -5.057
    350.52   999.99   -4.939
    358.14   999.99   -4.788
    365.76   999.99   -4.680
    373.38   999.99   -4.559
    381.00   999.99   -4.366
    388.62   999.99   -4.152
    396.24   999.99   -3.964
    403.86   999.99   -3.907
    411.48   999.99   -3.787
    419.10   999.99   -3.740
    426.72   999.99   -3.704
    434.34   999.99   -3.580
    441.96   999.99   -3.513
    449.58   999.99   -3.484
    457.20   999.99   -3.388
    460.25   999.99   -3.340
    463.30   999.99   -3.312
    466.34   999.99   -3.288
    469.39   999.99   -3.247
    472.44   999.99   -3.219
    475.49   999.99   -3.200
    478.54   999.99   -3.188
    481.58   999.99   -3.176
    484.63   999.99   -3.164
    487.68   999.99   -3.150
    490.73   999.99   -3.110
    493.78   999.99   -2.873
    496.83   999.99   -2.745
    499.87   999.99   -2.709
    502.92   999.99   -2.692
    505.97   999.99   -2.675
    509.02   999.99   -2.656
    512.07   999.99   -2.626
    515.11   999.99   -2.583
    518.16   999.99   -2.479
    521.21   999.99   -2.408
    524.26   999.99   -2.278
    527.31   999.99   -2.158
    530.35   999.99   -1.993
    533.40   999.99   -1.962
    536.45   999.99   -1.941
    539.50   999.99   -1.927
    542.55   999.99   -1.912
    545.59   999.99   -1.887
    548.64   999.99   -1.865
    551.69   999.99   -1.847
    554.74   999.99   -1.816
    557.79   999.99   -1.774
    560.83   999.99   -1.706
    563.88   999.99   -1.641
    566.93   999.99   -1.582
    569.98   999.99   -1.527
    573.03   999.99   -1.462
    576.07   999.99   -1.394
    579.12   999.99   -1.334
    582.17   999.99   -1.278
    585.22   999.99   -1.209
    588.27   999.99   -1.142
    591.31   999.99   -1.104
    594.36   999.99   -1.057
    597.41   999.99    -.995
    600.46   999.99    -.939
    603.51   999.99    -.883
    606.55   999.99    -.796
    609.60   999.99    -.744
    612.65   999.99    -.680
    615.70   999.99    -.602
    618.75   999.99    -.535
    621.79   999.99    -.462
    624.84   999.99    -.374
    627.89   999.99    -.286
    630.94   999.99    -.187
    633.99   999.99    -.108
    637.03   999.99     .004
    640.08   999.99     .127
    643.13   999.99     .221
    646.18   999.99     .317
    649.23   999.99     .399
    652.27   999.99     .507
    655.32   999.99     .604
    658.37   999.99     .689
    661.42   999.99     .791
    664.47   999.99     .887
    667.51   999.99     .968
    670.56   999.99    1.048
    673.61   999.99    1.130
    676.66   999.99    1.213
    679.71   999.99    1.300
    682.75   999.99    1.390
    685.80   999.99    1.479
    688.85   999.99    1.558
    691.90   999.99    1.651
    694.95   999.99    1.745
    697.99   999.99    1.832
    701.04   999.99    1.901
    704.09   999.99    2.004
    707.14   999.99    2.082
    710.19   999.99    2.176
    713.23   999.99    2.283
    716.28   999.99    2.384
    719.33   999.99    2.489
    722.38   999.99    2.609
    725.43   999.99    2.743
    728.47   999.99    2.889
    731.52   999.99    3.024
    734.57   999.99    3.156
    737.62   999.99    3.313
    740.67   999.99    3.453
    743.71   999.99    3.563
    746.76   999.99    3.695
    749.81   999.99    3.810
    752.86   999.99    3.917
    755.91   999.99    3.984
    758.95   999.99    4.060
    762.00   999.99    4.071
