 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBD 
 Log Date:         71MAR26 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     20.42   999.99   -8.689
     35.66   999.99   -8.363
     50.90   999.99   -8.330
     66.14   999.99   -8.062
     81.38   999.99   -7.805
     96.62   999.99   -7.751
    111.86   999.99   -7.444
    127.10   999.99   -7.466
    142.34   999.99   -7.607
    157.58   999.99   -7.462
    172.82   999.99   -7.268
    188.06   999.99   -6.939
    203.30   999.99   -6.739
    218.54   999.99   -6.496
    233.78   999.99   -6.250
    249.02   999.99   -5.971
    264.26   999.99   -5.662
    279.50   999.99   -5.351
    294.74   999.99   -5.062
    309.98   999.99   -4.759
    325.22   999.99   -4.327
    340.46   999.99   -2.818
    355.70   999.99   -3.480
    370.94   999.99   -3.227
    386.18   999.99   -3.203
    401.42   999.99   -2.905
    416.66   999.99   -1.744
    431.90   999.99   -1.725
    447.14   999.99   -1.472
    462.38   999.99   -1.771
    477.62   999.99   -1.351
    492.86   999.99    -.858
    508.10   999.99    -.866
    523.34   999.99    -.630
    538.58   999.99    -.581
    553.82   999.99    -.498
    569.06   999.99    -.465
    584.30   999.99    -.519
    599.54   999.99    -.003
    614.78   999.99     .554
    630.02   999.99    1.033
    645.26   999.99    1.432
    660.50   999.99    1.868
    675.74   999.99    2.377
    690.98   999.99    2.731
    698.60   999.99    2.967
    706.22   999.99    3.163
    713.84   999.99    3.374
    721.46   999.99    3.599
    729.08   999.99    3.786
    736.70   999.99    3.941
    744.32   999.99    4.203
