 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBD 
 Log Date:         70JUN25 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -5.924
     30.48   999.99   -5.545
     45.72   999.99   -6.176
     60.96   999.99   -4.157
     76.20   999.99   -2.366
     91.44   999.99   -4.676
    106.68   999.99   -3.411
    121.92   999.99   -3.031
    137.16   999.99   -5.612
    152.40   999.99   -5.058
    167.64   999.99   -5.066
    182.88   999.99   -4.560
    198.12   999.99   -4.768
    213.36   999.99   -4.366
    228.60   999.99   -2.265
    243.84   999.99   -3.520
    259.08   999.99   -2.059
    274.32   999.99   -1.755
    289.56   999.99   -1.412
    304.80   999.99   -1.147
    320.04   999.99    -.715
    335.28   999.99    -.624
    350.52   999.99    -.693
    365.76   999.99    -.645
    381.00   999.99    -.655
    396.24   999.99    -.650
    411.48   999.99    -.735
    426.72   999.99    -.743
    441.96   999.99    -.745
    457.20   999.99    -.675
    472.44   999.99    -.586
    487.68   999.99    -.562
    502.92   999.99    -.560
    518.16   999.99    -.574
    533.40   999.99    -.543
    548.64   999.99    -.534
    563.88   999.99    -.502
    579.12   999.99    -.517
    594.36   999.99    -.548
    609.60   999.99     .844
    624.84   999.99    1.636
    640.08   999.99    2.132
    655.32   999.99    2.418
    670.56   999.99    2.779
    685.80   999.99    3.241
    701.04   999.99    3.684
    716.28   999.99    4.154
    731.52   999.99    4.531
    746.76   999.99    4.871
    762.00   999.99    5.327
    769.62   999.99    5.459
