 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBE 
 Log Date:         71MAR29 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     11.89   999.99   -8.905
     19.51   999.99   -8.606
     27.13   999.99   -8.653
     34.75   999.99   -8.800
     42.37   999.99   -8.895
     49.99   999.99   -8.891
     57.61   999.99   -8.898
     65.23   999.99   -8.893
     72.85   999.99   -8.883
     80.47   999.99   -8.907
     88.09   999.99   -8.904
     95.71   999.99   -8.836
    103.33   999.99   -8.779
    110.95   999.99   -8.730
    118.57   999.99   -8.662
    126.19   999.99   -8.585
    133.81   999.99   -8.499
    141.43   999.99   -8.414
    149.05   999.99   -8.306
    156.67   999.99   -8.203
    164.29   999.99   -8.061
    171.91   999.99   -7.898
    179.53   999.99   -7.748
    187.15   999.99   -7.453
    194.77   999.99   -7.210
    202.39   999.99   -7.094
    210.01   999.99   -7.054
    217.63   999.99   -6.951
    225.25   999.99   -6.774
    232.87   999.99   -6.630
    240.49   999.99   -6.512
    248.11   999.99   -6.420
    255.73   999.99   -6.298
    263.35   999.99   -6.169
    270.97   999.99   -6.061
    278.59   999.99   -5.928
    286.21   999.99   -5.722
    293.83   999.99   -5.503
    301.45   999.99   -5.284
    309.07   999.99   -5.115
    316.69   999.99   -4.993
    324.31   999.99   -4.967
    331.93   999.99   -4.764
    339.55   999.99   -4.505
    347.17   999.99   -4.374
    354.79   999.99   -4.304
    362.41   999.99   -4.118
    370.03   999.99   -3.969
    377.65   999.99   -3.873
    385.27   999.99   -3.754
    392.89   999.99   -3.585
    400.51   999.99   -3.413
    408.13   999.99   -3.295
    415.75   999.99   -3.065
    423.37   999.99   -2.928
    430.99   999.99   -2.753
    438.61   999.99   -2.559
    446.23   999.99   -2.429
    453.85   999.99   -2.302
    461.47   999.99   -2.135
    469.09   999.99   -1.968
    476.71   999.99   -1.746
    484.33   999.99   -1.625
    491.95   999.99   -1.452
    499.57   999.99   -1.304
    507.19   999.99   -1.198
    514.81   999.99   -1.045
    522.43   999.99    -.711
    530.05   999.99    -.570
    537.67   999.99    -.600
    545.29   999.99    -.776
    552.91   999.99    -.758
    560.53   999.99    -.665
    568.15   999.99    -.266
    575.77   999.99     .015
    583.39   999.99     .271
    591.01   999.99     .478
    598.63   999.99     .686
    606.25   999.99     .926
    613.87   999.99    1.200
    621.49   999.99    1.414
    629.11   999.99    1.597
    633.68   999.99    1.707
