 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBE 
 Log Date:         73APR03 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -9.652
     30.48   999.99   -9.189
     45.72   999.99   -9.281
     60.96   999.99   -9.330
     76.20   999.99   -9.314
     91.44   999.99   -9.273
    106.68   999.99   -9.159
    121.92   999.99   -9.027
    137.16   999.99   -8.878
    152.40   999.99   -8.707
    167.64   999.99   -8.505
    182.88   999.99   -8.257
    198.12   999.99   -7.865
    213.36   999.99   -7.589
    228.60   999.99   -7.334
    243.84   999.99   -7.057
    259.08   999.99   -6.817
    274.32   999.99   -6.569
    289.56   999.99   -6.233
    304.80   999.99   -5.838
    320.04   999.99   -5.536
    335.28   999.99   -5.258
    350.52   999.99   -4.945
    365.76   999.99   -4.645
    381.00   999.99   -4.388
    396.24   999.99   -4.115
    411.48   999.99   -3.821
    426.72   999.99   -3.516
    441.96   999.99   -3.107
    457.20   999.99   -3.002
    460.25   999.99   -2.928
    463.30   999.99   -2.884
    466.34   999.99   -2.826
    469.39   999.99   -2.763
    472.44   999.99   -2.686
    475.49   999.99   -2.611
    478.54   999.99   -2.546
    481.58   999.99   -2.489
    484.63   999.99   -2.469
    487.68   999.99   -2.418
    490.73   999.99   -2.374
    493.78   999.99   -2.306
    496.83   999.99   -2.251
    499.87   999.99   -2.188
    502.92   999.99   -2.117
    505.97   999.99   -2.027
    509.02   999.99   -1.947
    512.07   999.99   -1.848
    515.11   999.99   -1.776
    518.16   999.99   -1.697
    521.21   999.99   -1.635
    524.26   999.99   -1.579
    527.31   999.99   -1.531
    530.35   999.99   -1.463
    533.40   999.99   -1.405
    536.45   999.99   -1.353
    539.50   999.99   -1.309
    542.55   999.99   -1.261
    545.59   999.99   -1.213
    548.64   999.99   -1.174
    551.69   999.99   -1.143
    554.74   999.99   -1.124
    557.79   999.99   -1.076
    560.83   999.99    -.987
    563.88   999.99    -.884
    566.93   999.99    -.787
    569.98   999.99    -.698
    573.03   999.99    -.602
    576.07   999.99    -.506
    579.12   999.99    -.414
    582.17   999.99    -.309
    585.22   999.99    -.225
    588.27   999.99    -.142
    591.31   999.99    -.029
    594.36   999.99     .056
    597.41   999.99     .144
    600.46   999.99     .245
    603.51   999.99     .339
    606.55   999.99     .414
    609.60   999.99     .511
