 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBE 
 Log Date:         73SEP20 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     22.86   999.99   -9.063
     30.48   999.99   -9.112
     38.10   999.99   -9.196
     45.72   999.99   -9.258
     53.34   999.99   -9.297
     60.96   999.99   -9.326
     68.58   999.99   -9.323
     76.20   999.99   -9.313
     83.82   999.99   -9.293
     91.44   999.99   -9.272
     99.06   999.99   -9.228
    106.68   999.99   -9.166
    114.30   999.99   -9.110
    121.92   999.99   -9.046
    129.54   999.99   -8.975
    137.16   999.99   -8.888
    144.78   999.99   -8.817
    152.40   999.99   -8.725
    160.02   999.99   -8.623
    167.64   999.99   -8.523
    175.26   999.99   -8.401
    182.88   999.99   -8.300
    190.50   999.99   -8.096
    198.12   999.99   -7.922
    205.74   999.99   -7.757
    213.36   999.99   -7.607
    220.98   999.99   -7.508
    228.60   999.99   -7.362
    236.22   999.99   -7.219
    243.84   999.99   -7.073
    251.46   999.99   -6.953
    259.08   999.99   -6.835
    266.70   999.99   -6.690
    274.32   999.99   -6.571
    281.94   999.99   -6.442
    289.56   999.99   -6.242
    297.18   999.99   -6.059
    304.80   999.99   -5.878
    312.42   999.99   -5.708
    320.04   999.99   -5.538
    327.66   999.99   -5.406
    335.28   999.99   -5.252
    342.90   999.99   -5.071
    350.52   999.99   -4.932
    358.14   999.99   -4.778
    365.76   999.99   -4.642
    373.38   999.99   -4.495
    381.00   999.99   -4.352
    388.62   999.99   -4.233
    396.24   999.99   -4.099
    403.86   999.99   -3.942
    411.48   999.99   -3.809
    419.10   999.99   -3.649
    426.72   999.99   -3.500
    434.34   999.99   -3.345
    441.96   999.99   -3.195
    449.58   999.99   -3.058
    457.20   999.99   -2.936
    460.25   999.99   -2.845
    463.30   999.99   -2.814
    466.34   999.99   -2.810
    469.39   999.99   -2.724
    472.44   999.99   -2.672
    475.49   999.99   -2.563
    478.54   999.99   -2.512
    481.58   999.99   -2.430
    484.63   999.99   -2.399
    487.68   999.99   -2.401
    490.73   999.99   -2.296
    493.78   999.99   -2.325
    496.83   999.99   -2.248
    499.87   999.99   -2.220
    502.92   999.99   -2.185
    504.45   999.99   -1.999
    507.80   999.99   -1.999
    509.02   999.99   -1.924
    512.07   999.99   -1.887
    515.11   999.99   -1.850
    518.16   999.99   -1.720
    521.21   999.99   -1.653
    524.26   999.99   -1.597
    527.31   999.99   -1.496
    530.35   999.99   -1.511
    533.40   999.99   -1.391
    536.45   999.99   -1.356
    539.50   999.99   -1.292
    542.55   999.99   -1.235
    545.59   999.99   -1.235
    548.64   999.99   -1.159
    551.69   999.99   -1.086
    554.74   999.99   -1.060
    557.79   999.99   -1.092
    560.83   999.99   -1.049
    563.88   999.99   -1.038
    566.93   999.99    -.899
    569.98   999.99    -.786
    573.03   999.99    -.660
    576.07   999.99    -.566
    579.12   999.99    -.393
    582.17   999.99    -.357
    585.22   999.99    -.315
    588.27   999.99    -.294
    591.31   999.99    -.175
    594.36   999.99    -.086
    597.41   999.99     .091
    600.46   999.99     .085
    603.51   999.99     .207
    606.55   999.99     .438
    609.60   999.99     .449
    612.65   999.99     .479
    615.70   999.99     .598
    618.75   999.99     .625
    621.79   999.99     .684
    624.84   999.99     .925
    627.89   999.99     .963
    630.94   999.99     .982
    633.99   999.99    1.018
    637.03   999.99    1.045
    640.08   999.99    1.169
    643.13   999.99    1.362
    646.18   999.99    1.532
    649.23   999.99    1.580
    652.27   999.99    1.638
    655.32   999.99    1.675
    658.37   999.99    1.819
    661.42   999.99    1.926
    664.47   999.99    2.087
    667.51   999.99    2.202
    670.56   999.99    2.250
    673.61   999.99    2.321
