 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBF 
 Log Date:         73SEP22 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      7.62   999.99   -8.784
     15.24   999.99   -9.369
     22.86   999.99   -9.231
     30.48   999.99   -9.167
     38.10   999.99   -9.100
     45.72   999.99   -9.052
     53.34   999.99   -9.002
     60.96   999.99   -8.957
     68.58   999.99   -8.909
     76.20   999.99   -8.867
     83.82   999.99   -8.818
     91.44   999.99   -8.771
     99.06   999.99   -8.717
    106.68   999.99   -8.661
    114.30   999.99   -8.598
    121.92   999.99   -8.520
    129.54   999.99   -8.435
    137.16   999.99   -8.339
    144.78   999.99   -8.234
    152.40   999.99   -8.124
    160.02   999.99   -7.989
    167.64   999.99   -7.864
    175.26   999.99   -7.739
    182.88   999.99   -7.619
    190.50   999.99   -7.508
    198.12   999.99   -7.390
    205.74   999.99   -7.266
    213.36   999.99   -7.144
    220.98   999.99   -7.006
    228.60   999.99   -6.873
    236.22   999.99   -6.741
    243.84   999.99   -6.602
    251.46   999.99   -6.466
    259.08   999.99   -6.324
    266.70   999.99   -6.166
    274.32   999.99   -6.029
    281.94   999.99   -5.878
    289.56   999.99   -5.742
    297.18   999.99   -5.589
    304.80   999.99   -5.462
    312.42   999.99   -5.321
    320.04   999.99   -5.190
    327.66   999.99   -5.066
    335.28   999.99   -4.935
    342.90   999.99   -4.798
    350.52   999.99   -4.674
    358.14   999.99   -4.565
    365.76   999.99   -4.454
    373.38   999.99   -4.353
    381.00   999.99   -4.247
    388.62   999.99   -4.147
    396.24   999.99   -4.039
    403.86   999.99   -3.890
    411.48   999.99   -3.725
    419.10   999.99   -3.588
    426.72   999.99   -3.453
    434.34   999.99   -3.320
    441.96   999.99   -3.182
    449.58   999.99   -3.071
    457.20   999.99   -2.961
    460.25   999.99   -2.908
    463.30   999.99   -2.862
    466.34   999.99   -2.811
    469.39   999.99   -2.764
    472.44   999.99   -2.722
    475.49   999.99   -2.677
    478.54   999.99   -2.630
    481.58   999.99   -2.585
    484.63   999.99   -2.535
    487.68   999.99   -2.493
    490.73   999.99   -2.451
    493.78   999.99   -2.403
    496.83   999.99   -2.360
    499.87   999.99   -2.310
    502.92   999.99   -2.278
    505.97   999.99   -2.238
    509.02   999.99   -2.186
    512.07   999.99   -2.135
    515.11   999.99   -2.071
    518.16   999.99   -2.006
    521.21   999.99   -1.954
    524.26   999.99   -1.883
    527.31   999.99   -1.826
    530.35   999.99   -1.758
    533.40   999.99   -1.697
    536.45   999.99   -1.647
    539.50   999.99   -1.599
    542.55   999.99   -1.541
    545.59   999.99   -1.478
    548.64   999.99   -1.418
    551.69   999.99   -1.373
    554.74   999.99   -1.297
    557.79   999.99   -1.223
    560.83   999.99   -1.146
    563.88   999.99   -1.053
    566.93   999.99    -.975
    569.98   999.99    -.885
    573.03   999.99    -.833
    576.07   999.99    -.806
    579.12   999.99    -.778
    580.65   999.99    -.760
    582.17   999.99    -.747
    585.22   999.99    -.771
    588.27   999.99    -.752
    591.31   999.99    -.697
    594.36   999.99    -.641
    597.41   999.99    -.577
    600.46   999.99    -.488
    603.51   999.99    -.397
    606.55   999.99    -.291
    609.60   999.99    -.195
    612.65   999.99    -.139
    615.70   999.99     .024
    618.75   999.99     .136
    621.79   999.99     .252
    624.84   999.99     .339
    627.89   999.99     .420
    630.94   999.99     .516
    633.99   999.99     .600
    637.03   999.99     .680
    640.08   999.99     .761
    643.13   999.99     .849
    646.18   999.99     .947
    649.23   999.99    1.028
    652.27   999.99    1.118
    655.32   999.99    1.223
    658.37   999.99    1.311
    661.42   999.99    1.397
    664.47   999.99    1.468
    667.51   999.99    1.573
    670.56   999.99    1.664
    673.61   999.99    1.784
    676.66   999.99    1.860
    679.71   999.99    1.961
    682.75   999.99    2.162
    685.80   999.99    2.271
    688.85   999.99    2.411
    691.90   999.99    2.548
    694.95   999.99    2.645
    697.99   999.99    2.787
    701.04   999.99    2.885
    704.09   999.99    2.998
    707.14   999.99    3.087
    710.19   999.99    3.177
    713.23   999.99    3.265
    716.28   999.99    3.349
    719.33   999.99    3.443
    722.38   999.99    3.531
    725.43   999.99    3.623
    728.47   999.99    3.709
    731.52   999.99    3.802
    734.57   999.99    3.880
    737.62   999.99    3.962
    740.67   999.99    4.134
    743.71   999.99    4.291
    746.76   999.99    4.427
    749.81   999.99    4.493
    752.86   999.99    4.627
    755.91   999.99    4.726
    758.95   999.99    4.790
    762.00   999.99    4.841
