 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBF 
 Log Date:         70OCT21 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99    -.530
     30.48   999.99    -.400
     45.72   999.99    -.300
     60.96   999.99    -.250
     76.20   999.99    -.200
     91.44   999.99    -.300
    106.68   999.99    -.260
    121.92   999.99    -.210
    152.40   999.99    -.030
    182.88   999.99     .020
    213.36   999.99     .200
    243.84   999.99     .380
    274.32   999.99     .640
    304.80   999.99     .740
    335.28   999.99     .910
    365.76   999.99    1.040
    396.24   999.99    1.230
    426.72   999.99    1.220
    457.20   999.99    1.890
    487.68   999.99    1.480
    518.16   999.99    1.520
    548.64   999.99    1.880
    579.12   999.99    2.540
    609.60   999.99    2.600
    640.08   999.99    6.830
    670.56   999.99    9.350
    701.04   999.99    9.910
    731.52   999.99   11.380
    762.00   999.99   12.750
