 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBF 
 Log Date:         70OCT28 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -1.280
     27.43   999.99   -1.130
     42.67   999.99    -.900
     57.91   999.99   -1.070
     88.39   999.99    -.670
    118.87   999.99    -.380
    149.35   999.99    -.520
    179.83   999.99    -.510
    210.31   999.99    -.280
    240.79   999.99    -.270
    271.27   999.99    -.240
    301.75   999.99    -.180
    332.23   999.99    -.110
    362.71   999.99    -.100
    393.19   999.99    -.060
    423.67   999.99     .020
    454.15   999.99    -.020
    484.63   999.99     .030
    515.11   999.99     .250
    545.59   999.99     .460
    576.07   999.99     .530
    606.55   999.99    4.380
    637.03   999.99    6.860
    667.51   999.99    7.510
    697.99   999.99    8.820
    728.47   999.99   10.010
    758.95   999.99   11.170
