 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBF 
 Log Date:         70DEC03 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      7.62   999.99   -7.953
     15.24   999.99   -6.790
     22.86   999.99   -6.471
     30.48   999.99   -6.252
     38.10   999.99   -6.077
     45.72   999.99   -6.012
     53.34   999.99   -6.142
     60.96   999.99   -6.148
     68.58   999.99   -5.977
     76.20   999.99   -5.838
     83.82   999.99   -5.747
     91.44   999.99   -5.646
     99.06   999.99   -5.541
    106.68   999.99   -5.406
    114.30   999.99   -5.224
    121.92   999.99   -4.781
    129.54   999.99   -4.457
    137.16   999.99   -4.272
    144.78   999.99   -3.761
    152.40   999.99   -3.173
    182.88   999.99   -2.506
    213.36   999.99   -1.528
    243.84   999.99    -.950
    274.32   999.99    -.823
    304.80   999.99    -.682
    335.28   999.99    -.577
    365.76   999.99    -.579
    396.24   999.99    -.644
    426.72   999.99    -.517
    457.20   999.99    -.497
    487.68   999.99    -.476
    518.16   999.99    -.389
    548.64   999.99    -.382
    556.26   999.99    -.365
    563.88   999.99    -.339
    571.50   999.99    -.334
    579.12   999.99    -.309
    586.74   999.99    -.267
    594.36   999.99    -.126
    601.98   999.99     .278
    609.60   999.99    1.212
    617.22   999.99    2.116
    624.84   999.99    2.702
    632.46   999.99    3.007
    640.08   999.99    3.254
    655.32   999.99    3.520
    670.56   999.99    4.002
    685.80   999.99    4.662
    701.04   999.99    5.256
