 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBG 
 Log Date:         70JUN20 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     60.96   999.99   -7.249
     76.20   999.99   -7.178
     91.44   999.99   -7.086
    106.68   999.99   -6.947
    121.92   999.99   -6.760
    137.16   999.99   -6.374
    152.40   999.99   -5.956
    167.64   999.99   -5.684
    182.88   999.99   -5.882
    198.12   999.99   -5.754
    213.36   999.99   -5.345
    228.60   999.99   -4.917
    243.84   999.99   -4.486
    259.08   999.99   -4.228
    274.32   999.99   -3.930
    289.56   999.99   -3.654
    304.80   999.99   -3.338
    320.04   999.99   -2.875
    335.28   999.99   -2.453
    350.52   999.99   -2.114
    365.76   999.99   -1.875
    381.00   999.99   -1.815
    396.24   999.99   -1.698
    411.48   999.99   -1.530
    426.72   999.99   -1.359
    441.96   999.99   -1.522
    457.20   999.99   -1.424
    472.44   999.99   -1.243
    487.68   999.99   -1.122
    502.92   999.99    -.980
    518.16   999.99    -.994
    533.40   999.99   -1.023
    548.64   999.99    -.913
    563.88   999.99    -.963
    579.12   999.99    -.826
    594.36   999.99    -.649
    609.60   999.99    -.630
    624.84   999.99     .390
    640.08   999.99    1.351
    655.32   999.99    1.995
    670.56   999.99    2.476
    685.80   999.99    2.904
    701.04   999.99    3.243
    716.28   999.99    3.602
    731.52   999.99    3.988
    746.76   999.99    4.493
    762.00   999.99    5.037
    777.24   999.99    5.495
    792.48   999.99    5.966
    807.72   999.99    6.217
    822.96   999.99    6.581
    838.20   999.99    7.177
    853.44   999.99    7.672
    868.68   999.99    8.078
    883.92   999.99    8.579
    899.16   999.99    9.190
    914.40   999.99    9.802
    929.64   999.99   10.458
    944.88   999.99   11.081
    960.12   999.99   11.696
    975.36   999.99   12.158
    990.60   999.99   12.592
   1005.84   999.99   13.120
   1021.08   999.99   13.773
   1036.32   999.99   14.305
   1051.56   999.99   14.724
   1066.80   999.99   15.189
   1082.04   999.99   15.688
   1097.28   999.99   16.150
   1112.52   999.99   16.678
   1127.76   999.99   17.322
   1143.00   999.99   17.976
   1158.24   999.99   18.477
   1173.48   999.99   18.892
   1188.72   999.99   19.496
   1219.20   999.99   20.783
   1234.44   999.99   21.241
   1249.68   999.99   21.972
   1264.92   999.99   22.522
   1280.16   999.99   22.969
   1295.40   999.99   23.836
   1310.64   999.99   24.575
   1325.88   999.99   25.646
   1341.12   999.99   26.173
   1356.36   999.99   26.745
   1371.60   999.99   27.186
   1386.84   999.99   27.781
   1402.08   999.99   28.711
   1417.32   999.99   29.465
   1432.56   999.99   29.936
   1447.80   999.99   30.598
   1463.04   999.99   31.216
   1478.28   999.99   31.946
   1493.52   999.99   33.366
   1508.76   999.99   33.895
   1524.00   999.99   34.453
   1539.24   999.99   35.037
   1554.48   999.99   35.493
   1569.72   999.99   36.206
   1584.96   999.99   36.665
   1600.20   999.99   37.148
   1615.44   999.99   37.591
   1630.68   999.99   38.078
   1645.92   999.99   38.484
   1661.16   999.99   38.886
   1676.40   999.99   39.305
   1691.64   999.99   39.698
   1706.88   999.99   40.073
   1722.12   999.99   40.437
   1737.36   999.99   40.911
   1752.60   999.99   41.380
   1767.84   999.99   41.765
   1783.08   999.99   42.209
   1798.32   999.99   42.613
   1813.56   999.99   43.078
   1828.80   999.99   43.597
   1844.04   999.99   44.054
   1859.28   999.99   44.436
   1874.52   999.99   44.824
   1889.76   999.99   45.225
   1905.00   999.99   45.633
   1920.24   999.99   46.074
   1935.48   999.99   46.534
   1950.72   999.99   47.057
   1965.96   999.99   47.648
   1981.20   999.99   48.259
   1996.44   999.99   48.843
   2011.68   999.99   49.449
   2026.92   999.99   50.086
   2042.16   999.99   50.723
   2057.40   999.99   51.365
   2072.64   999.99   52.057
   2087.88   999.99   52.818
   2103.12   999.99   53.542
   2118.36   999.99   54.185
   2133.60   999.99   54.835
   2148.84   999.99   55.473
   2164.08   999.99   56.137
   2179.32   999.99   56.794
   2194.56   999.99   57.463
   2209.80   999.99   58.139
   2225.04   999.99   58.820
   2240.28   999.99   59.486
   2255.52   999.99   60.151
   2270.76   999.99   60.809
   2286.00   999.99   61.494
   2301.25   999.99   62.328
   2316.49   999.99   63.233
   2331.73   999.99   63.992
   2346.97   999.99   64.829
   2362.21   999.99   65.645
   2377.45   999.99   66.410
   2392.69   999.99   67.307
   2407.93   999.99   68.278
   2423.17   999.99   69.196
   2438.41   999.99   70.231
   2453.65   999.99   71.116
   2468.89   999.99   72.136
   2484.13   999.99   73.317
   2499.36   999.99   74.155
   2514.60   999.99   75.510
   2529.84   999.99   76.653
   2545.08   999.99   77.544
   2560.32   999.99   78.133
   2575.56   999.99   79.071
   2590.80   999.99   79.910
   2606.04   999.99   81.013
   2621.28   999.99   82.198
   2636.52   999.99   83.379
   2651.76   999.99   84.571
   2669.75   999.99   85.791
   2682.25   999.99   86.982
   2697.49   999.99   88.233
   2712.73   999.99   89.375
   2727.97   999.99   90.557
   2743.21   999.99   91.492
   2758.45   999.99   92.577
   2773.69   999.99   93.831
   2788.93   999.99   95.028
   2804.17   999.99   96.240
   2819.41   999.99   97.258
   2834.65   999.99   98.285
   2849.89   999.99   99.277
   2865.13   999.99  100.252
   2880.37   999.99  101.152
   2895.61   999.99  101.801
   2910.85   999.99  102.217
   2926.09   999.99  102.781
   2941.33   999.99  103.168
   2956.57   999.99  103.557
   2971.81   999.99  103.923
   2987.05   999.99  104.376
   3002.29   999.99  104.754
   3017.53   999.99  105.103
   3032.77   999.99  105.458
   3040.39   999.99  105.770
   3048.01   999.99  105.912
