 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBG 
 Log Date:         73SEP21 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -9.073
     22.86   999.99   -9.017
     30.48   999.99   -8.945
     38.10   999.99   -8.872
     45.72   999.99   -8.808
     53.34   999.99   -8.758
     60.96   999.99   -8.709
     68.58   999.99   -8.666
     76.20   999.99   -8.629
     83.82   999.99   -8.589
     91.44   999.99   -8.548
     99.06   999.99   -8.500
    106.68   999.99   -8.443
    114.30   999.99   -8.393
    121.92   999.99   -8.337
    129.54   999.99   -8.263
    137.16   999.99   -8.181
    144.78   999.99   -8.094
    152.40   999.99   -7.997
    160.02   999.99   -7.891
    167.64   999.99   -7.733
    175.26   999.99   -7.658
    182.88   999.99   -7.570
    190.50   999.99   -7.470
    198.12   999.99   -7.349
    205.74   999.99   -7.233
    213.36   999.99   -7.137
    220.98   999.99   -7.037
    228.60   999.99   -6.914
    236.22   999.99   -6.775
    243.84   999.99   -6.656
    251.46   999.99   -6.534
    259.08   999.99   -6.383
    266.70   999.99   -6.240
    274.32   999.99   -6.127
    281.94   999.99   -6.013
    289.56   999.99   -5.907
    297.18   999.99   -5.777
    304.80   999.99   -5.654
    312.42   999.99   -5.553
    320.04   999.99   -5.441
    327.66   999.99   -5.333
    335.28   999.99   -5.225
    342.90   999.99   -5.138
    350.52   999.99   -5.015
    358.14   999.99   -4.839
    365.76   999.99   -4.684
    373.38   999.99   -4.559
    381.00   999.99   -4.456
    388.62   999.99   -4.351
    396.24   999.99   -4.249
    403.86   999.99   -4.139
    411.48   999.99   -4.027
    419.10   999.99   -3.910
    426.72   999.99   -3.816
    434.34   999.99   -3.727
    441.96   999.99   -3.627
    449.58   999.99   -3.505
    457.20   999.99   -3.393
    460.25   999.99   -3.349
    463.30   999.99   -3.299
    466.34   999.99   -3.264
    469.39   999.99   -3.227
    472.44   999.99   -3.183
    475.49   999.99   -3.141
    478.54   999.99   -3.098
    481.58   999.99   -3.052
    484.63   999.99   -3.009
    487.68   999.99   -2.967
    490.73   999.99   -2.929
    493.78   999.99   -2.884
    496.83   999.99   -2.839
    499.87   999.99   -2.791
    502.92   999.99   -2.750
    505.97   999.99   -2.698
    509.02   999.99   -2.656
    512.07   999.99   -2.619
    515.11   999.99   -2.585
    518.16   999.99   -2.537
    521.21   999.99   -2.504
    524.26   999.99   -2.471
    527.31   999.99   -2.430
    530.35   999.99   -2.392
    533.40   999.99   -2.349
    536.45   999.99   -2.307
    539.50   999.99   -2.267
    542.55   999.99   -2.230
    545.59   999.99   -2.186
    548.64   999.99   -2.141
    551.69   999.99   -2.105
    554.74   999.99   -2.060
    557.79   999.99   -2.022
    560.83   999.99   -1.962
    563.88   999.99   -1.905
    566.93   999.99   -1.836
    569.98   999.99   -1.786
    573.03   999.99   -1.729
    576.07   999.99   -1.679
    579.12   999.99   -1.626
    582.17   999.99   -1.573
    585.22   999.99   -1.527
    588.27   999.99   -1.404
    591.31   999.99   -1.335
    594.36   999.99   -1.282
    597.41   999.99   -1.206
    600.46   999.99   -1.104
    603.51   999.99   -1.114
    606.55   999.99   -1.062
    609.60   999.99    -.989
    612.65   999.99    -.933
    615.70   999.99    -.859
    618.75   999.99    -.778
    621.79   999.99    -.698
    624.84   999.99    -.609
    627.89   999.99    -.516
    630.94   999.99    -.402
    633.99   999.99    -.305
    637.03   999.99    -.197
    640.08   999.99    -.117
    643.13   999.99    -.001
    646.18   999.99     .107
    649.23   999.99     .212
    652.27   999.99     .320
    655.32   999.99     .426
    658.37   999.99     .526
    661.42   999.99     .621
    664.47   999.99     .725
    670.56   999.99     .910
    673.61   999.99    1.007
    676.66   999.99    1.105
    679.71   999.99    1.189
    682.75   999.99    1.282
    685.80   999.99    1.355
    688.85   999.99    1.434
    691.90   999.99    1.523
    694.95   999.99    1.620
    697.99   999.99    1.700
    701.04   999.99    1.786
    704.09   999.99    1.873
    707.14   999.99    1.957
    710.19   999.99    2.039
    713.23   999.99    2.130
    716.28   999.99    2.194
    719.33   999.99    2.275
    722.38   999.99    2.354
    725.43   999.99    2.450
    728.47   999.99    2.542
    731.52   999.99    2.629
    734.57   999.99    2.736
    737.62   999.99    2.831
    740.67   999.99    2.934
    743.71   999.99    3.029
    746.76   999.99    3.131
    749.81   999.99    3.245
    752.86   999.99    3.341
    755.91   999.99    3.443
    758.95   999.99    3.531
    762.00   999.99    3.646
