 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBI 
 Log Date:         71MAR28 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -9.713
     30.48   999.99   -8.306
     45.72   999.99   -7.831
     60.96   999.99   -7.653
     76.20   999.99   -7.638
     91.44   999.99   -7.578
    106.68   999.99   -7.527
    121.92   999.99   -7.387
    137.16   999.99   -6.929
    152.40   999.99   -6.331
    167.64   999.99   -5.976
    182.88   999.99   -5.535
    198.12   999.99   -5.635
    213.36   999.99   -4.901
    228.60   999.99   -4.058
    243.84   999.99   -4.485
    259.08   999.99   -4.167
    274.32   999.99   -3.617
    289.56   999.99   -3.526
    304.80   999.99   -2.950
    320.04   999.99   -2.712
    335.28   999.99   -1.635
    350.52   999.99   -1.485
    365.76   999.99   -1.372
    381.00   999.99   -1.260
    396.24   999.99   -1.494
    411.48   999.99    -.907
    426.72   999.99    -.904
    441.96   999.99    -.823
    457.20   999.99    -.794
    472.44   999.99    -.807
    487.68   999.99    -.769
    502.92   999.99    -.795
    518.16   999.99    -.810
    533.40   999.99    -.689
    548.64   999.99    -.819
    563.88   999.99    -.691
    579.12   999.99    -.776
    594.36   999.99    -.810
    609.60   999.99    -.624
    624.84   999.99     .408
    640.08   999.99    1.369
    655.32   999.99    1.923
    670.56   999.99    2.346
    685.80   999.99    2.763
    701.04   999.99    3.116
    716.28   999.99    3.657
    731.52   999.99    4.062
    746.76   999.99    4.253
    762.00   999.99    4.676
