 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBK 
 Log Date:         71MAR29 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.48   999.99   -9.206
     45.72   999.99   -8.762
     60.96   999.99   -8.278
     76.20   999.99   -7.993
     91.44   999.99   -7.865
    106.68   999.99   -7.747
    121.92   999.99   -7.566
    137.16   999.99   -7.376
    152.40   999.99   -7.199
    167.64   999.99   -6.999
    182.88   999.99   -6.813
    198.12   999.99   -6.666
    213.36   999.99   -6.459
    228.60   999.99   -6.262
    243.84   999.99   -5.991
    259.08   999.99   -5.691
    274.32   999.99   -5.349
    289.56   999.99   -5.067
    304.80   999.99   -4.730
    320.04   999.99   -4.455
    335.28   999.99   -4.211
    350.52   999.99   -3.949
    365.76   999.99   -3.684
    381.00   999.99   -3.479
    396.24   999.99   -3.304
    411.48   999.99   -3.027
    426.72   999.99   -2.761
    441.96   999.99   -2.406
    457.20   999.99   -2.017
    472.44   999.99   -1.760
    487.68   999.99   -1.468
    502.92   999.99    -.963
    518.16   999.99    -.891
    533.40   999.99    -.853
    548.64   999.99    -.871
    563.88   999.99    -.751
    579.12   999.99    -.769
    594.36   999.99    -.684
    609.60   999.99    -.170
    624.84   999.99     .331
    633.99   999.99     .557
