 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBL 
 Log Date:         70JUN24 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -6.549
     30.48   999.99   -6.821
     45.72   999.99   -6.736
     60.96   999.99   -6.545
     76.20   999.99   -6.665
     91.44   999.99   -6.603
    106.68   999.99   -6.374
    121.92   999.99   -6.130
    137.16   999.99   -5.728
    152.40   999.99   -5.396
    167.64   999.99   -5.541
    182.88   999.99   -5.407
    198.12   999.99   -5.332
    213.36   999.99   -4.789
    228.60   999.99   -4.948
    243.84   999.99   -4.799
    259.08   999.99   -4.352
    274.32   999.99   -2.981
    289.56   999.99   -1.183
    304.80   999.99    -.834
    320.04   999.99    -.684
    335.28   999.99    -.702
    350.52   999.99    -.702
    365.76   999.99    -.733
    381.00   999.99    -.724
    396.24   999.99    -.756
    411.48   999.99    -.732
    426.72   999.99    -.697
    441.96   999.99    -.646
    457.20   999.99    -.623
    472.44   999.99    -.588
    487.68   999.99    -.620
    502.92   999.99    -.614
    518.16   999.99    -.602
    533.40   999.99    -.593
    548.64   999.99    -.535
    563.88   999.99    -.514
    579.12   999.99    -.604
    586.74   999.99    -.399
    594.36   999.99     .134
    609.60   999.99    1.352
    624.84   999.99    2.016
    640.08   999.99    2.447
    655.32   999.99    2.866
    670.56   999.99    3.333
    685.80   999.99    3.748
    701.04   999.99    4.127
    716.28   999.99    4.548
    731.52   999.99    4.928
    746.76   999.99    5.559
    754.38   999.99    5.812
