 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBM 
 Log Date:         71MAR25 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -9.153
     22.86   999.99   -8.691
     30.48   999.99   -8.672
     38.10   999.99   -8.672
     45.72   999.99   -8.664
     53.34   999.99   -8.628
     60.96   999.99   -8.582
     68.58   999.99   -8.525
     76.20   999.99   -8.473
     83.82   999.99   -8.429
     91.44   999.99   -8.374
     99.06   999.99   -8.326
    106.68   999.99   -8.270
    114.30   999.99   -8.200
    121.92   999.99   -8.129
    129.54   999.99   -8.033
    137.16   999.99   -7.908
    144.78   999.99   -7.793
    152.40   999.99   -7.683
    160.02   999.99   -7.614
    167.64   999.99   -7.534
    175.26   999.99   -7.428
    182.88   999.99   -7.307
    190.50   999.99   -7.189
    198.12   999.99   -7.067
    205.74   999.99   -6.968
    213.36   999.99   -6.860
    220.98   999.99   -6.730
    228.60   999.99   -6.626
    236.22   999.99   -6.491
    243.84   999.99   -6.341
    251.46   999.99   -6.211
    259.08   999.99   -6.092
    266.70   999.99   -5.976
    274.32   999.99   -5.859
    281.94   999.99   -5.771
    289.56   999.99   -5.642
    297.18   999.99   -5.521
    304.80   999.99   -5.396
    312.42   999.99   -5.254
    320.04   999.99   -5.127
    327.66   999.99   -4.999
    335.28   999.99   -4.856
    342.90   999.99   -4.698
    350.52   999.99   -4.564
    358.14   999.99   -4.490
    365.76   999.99   -4.380
    373.38   999.99   -4.260
    381.00   999.99   -4.124
    388.62   999.99   -3.992
    396.24   999.99   -3.859
    403.86   999.99   -3.756
    411.48   999.99   -3.653
    419.10   999.99   -3.557
    426.72   999.99   -3.451
    434.34   999.99   -3.327
    441.96   999.99   -3.210
    449.58   999.99   -3.104
    457.20   999.99   -3.013
    464.82   999.99   -2.902
    472.44   999.99   -2.785
    480.06   999.99   -2.640
    487.68   999.99   -2.455
    495.30   999.99   -2.394
    502.92   999.99   -2.257
    510.54   999.99   -2.126
    518.16   999.99   -2.018
    525.78   999.99   -1.920
    533.40   999.99   -1.836
    541.02   999.99   -1.688
    548.64   999.99   -1.571
    556.26   999.99   -1.501
    563.88   999.99   -1.330
    571.50   999.99   -1.276
    579.12   999.99   -1.123
    586.74   999.99    -.970
    594.36   999.99    -.671
    601.98   999.99    -.438
    609.60   999.99    -.141
    617.22   999.99     .094
    624.84   999.99     .247
    632.46   999.99     .612
    640.08   999.99     .773
    647.70   999.99     .971
    655.32   999.99    1.189
    662.94   999.99    1.419
    670.56   999.99    1.592
    678.18   999.99    1.765
    685.80   999.99    2.160
    693.42   999.99    2.470
    701.04   999.99    2.719
    708.66   999.99    2.926
    716.28   999.99    3.205
    723.90   999.99    3.381
    731.52   999.99    3.627
    739.14   999.99    3.861
    746.76   999.99    4.040
    754.38   999.99    4.218
